,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.429,9.9,0.297,,,22.594,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.726,2.5,0.495,25,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.221,3.5,0.594,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,15,15,51.72413793,,
,4,1.815,4.5,0.264,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,18,3,10.34482759,,
,5,2.079,3.6,0.264,36,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,23,5,17.24137931,,
,6,2.343,3.5,0.528,35,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,2,6.896551724,,
,7,2.871,5.6,0.858,56,15.37035804,,,,,,,,,,,,,6,20,24,28,3,10.34482759,,
,8,3.729,5.5,0.396,55,7.4575,,,目視時間の分布（秒）,,22.297,,,,,,,,7,24,28,29,1,3.448275862,,
,9,4.125,2.4,1.287,24,21.49511354,,,,1,2,3,4,5,6,7,8,,8,28,32,29,0,0,,
,10,5.412,3.4,0.165,34,6.72,,,5,0,0,0,0,0.924,2.838,0,0,,9,32,36,29,0,0,,
,11,5.577,3.5,0.231,35,7.4575,,,4,0,0,0,0.66,8.25,0,0,0,,10,36,40,29,0,0,,
,12,5.808,4.5,3.828,45,6.72,,,3,0,0,0,0.858,1.485,0.594,0.66,0,,11,40,44,29,0,0,,
,13,9.636,5.6,1.98,56,10.03856097,,,2,0,0.627,0.462,3.256,1.188,0,0,0,,12,44,48,29,0,0,,
,14,11.616,4.5,0.825,45,10.03856097,,,1,0,0,0,0.495,0,0,0,0,,13,48,52,29,0,0,,
