,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.244,9.9,0.528,,,23.463,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.772,4.5,0.495,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.267,3.5,0.693,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,16,16,59.25925926,,
,4,3.96,4.5,0.264,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,22,6,22.22222222,,
,5,4.224,3.6,0.297,36,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,24,2,7.407407407,,
,6,4.521,5.6,0.462,56,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,1,3.703703704,,
,7,4.983,4.6,0.495,46,6.72,,,,,,,,,,,,,6,20,24,25,0,0,,
,8,5.478,3.5,0.891,35,10.03856097,,,目視時間の分布（秒）,,22.935,,,,,,,,7,24,28,25,0,0,,
,9,6.369,4.5,1.023,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,27,2,7.407407407,,
,10,7.392,5.5,0.396,55,6.72,,,5,0,0,0,0,2.211,2.08,0,0,,9,32,36,27,0,0,,
,11,7.788,5.6,0.991,56,7.4575,,,4,0,0,0,0.33,7.359,1.188,0,0,,10,36,40,27,0,0,,
,12,8.779,3.5,1.319,35,15.37035804,,,3,0,0,0.132,0,3.794,0.297,0,0.792,,11,40,44,27,0,0,,
,13,10.098,4.5,1.98,45,6.72,,,2,0,0,0.858,1.089,0,0,0,0,,12,44,48,27,0,0,,
,14,12.078,3.5,0.891,35,6.72,,,1,0,0,0,2.805,0,0,0,0,,13,48,52,27,0,0,,
