,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.914,4.4,0.297,44,,23.562,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.211,3.4,0.132,34,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.343,2.4,0.396,24,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,33,33,89.18918919,,
,4,2.739,2.5,0.132,25,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,36,3,8.108108108,,
,5,2.871,2.6,0.132,26,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,36,0,0,,
,6,3.003,3.6,1.485,36,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,37,1,2.702702703,,
,7,4.488,4.6,0.429,46,6.72,,,,,,,,,,,,,6,20,24,37,0,0,,
,8,4.917,5.6,1.782,56,6.72,,,目視時間の分布（秒）,,23.562,,,,,,,,7,24,28,37,0,0,,
,9,6.699,4.6,2.508,46,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,37,0,0,,
,10,9.207,4.5,1.749,45,7.4575,,,5,0,0,0,0,0,4.587,0,0,,9,32,36,37,0,0,,
,11,10.956,3.5,0.033,35,6.72,,,4,0,0,0.693,0.363,4.653,4.521,0,0,,10,36,40,37,0,0,,
,12,10.989,3.4,0.033,34,7.4575,,,3,0,0,0,0.627,0.297,1.881,0,0,,11,40,44,37,0,0,,
,13,11.022,2.4,0.66,24,6.72,,,2,0,0,0.528,1.584,0.792,0.792,0.033,0.132,,12,44,48,37,0,0,,
,14,11.682,2.5,0.132,25,7.4575,,,1,0,0,0,0,2.079,0,0,0,,13,48,52,37,0,0,,
