,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.617,1.5,0.396,15,,22.407,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.013,2.5,0.066,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.079,3.5,2.013,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,41,41,93.18181818,,
,4,4.092,4.5,0.297,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,41,0,0,,
,5,4.389,4.6,0.627,46,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,44,3,6.818181818,,
,6,5.016,4.5,0.066,45,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,44,0,0,,
,7,5.082,3.5,0.198,35,6.72,,,,,,,,,,,,,6,20,24,44,0,0,,
,8,5.28,2.5,0.099,25,6.72,,,目視時間の分布（秒）,,22.407,,,,,,,,7,24,28,44,0,0,,
,9,5.379,2.4,1.056,24,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,44,0,0,,
,10,6.435,3.4,0.33,34,6.72,,,5,0,0,0,0.264,2.706,0.957,0,0,,9,32,36,44,0,0,,
,11,6.765,3.5,0.33,35,7.4575,,,4,0,0,0,0.396,7.194,1.056,0,0,,10,36,40,44,0,0,,
,12,7.095,4.5,2.937,45,6.72,,,3,0,0,0,0.462,3.432,0,0,0,,11,40,44,44,0,0,,
,13,10.032,4.6,0.099,46,7.4575,,,2,0,0,0.528,2.211,0.561,0,0,0,,12,44,48,44,0,0,,
,14,10.131,5.6,0.363,56,6.72,,,1,0,0,0,2.244,0.396,0,0,0,,13,48,52,44,0,0,,
,15,10.494,4.6,0.198,46,6.72,,,,,,,,,,,,,14,52,56,44,0,0,,
,16,10.692,4.5,1.287,45,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,44,0,0,,
,17,11.979,5.5,0.396,55,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,44,0,0,,
,18,12.375,4.5,0.033,45,6.72,,,5,0.0,0.0,0.0,1.2,12.1,4.3,0.0,0.0,,17,64,68,44,0,0,,
,19,12.408,3.5,0.132,35,6.72,,,4,0.0,0.0,0.0,1.8,32.1,4.7,0.0,0.0,,18,68,72,44,0,0,,
,20,12.54,2.5,0.396,25,6.72,,,3,0.0,0.0,0.0,2.1,15.3,0.0,0.0,0.0,,19,72,76,44,0,0,,
,21,12.936,4.5,0.165,45,13.44,,,2,0.0,0.0,2.4,9.9,2.5,0.0,0.0,0.0,,20,76,80,44,0,0,,
,22,13.101,5.5,0.891,55,6.72,,,1,0.0,0.0,0.0,10.0,1.8,0.0,0.0,0.0,,,,,,,100,,
,23,13.992,4.5,1.485,45,6.72,,,,,,,,,,,,,,,,,,,,
,24,15.477,3.5,0.429,35,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,15.906,4.5,0.396,45,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,16.302,5.5,0.396,55,6.72,,,5,14,14,14,13,3,7,14,14,,,,,,,,,
,27,16.698,5.6,0.396,56,7.4575,,,4,14,14,14,12,1,6,14,14,,,,,,,,,
,28,17.094,5.5,1.023,55,7.4575,,,3,14,14,14,10,2,14,14,14,,,,,,,,,
,29,18.117,5.6,0.198,56,7.4575,,,2,14,14,9,5,8,14,14,14,,,,,,,,,
,30,18.315,4.6,0.132,46,6.72,,,1,14,14,14,4,11,14,14,14,,,,,,,,,
,31,18.447,4.5,0.165,45,7.4575,,,,,,,,,,,,,,,,,,,,
,32,18.612,3.5,0.33,35,6.72,,,,,,,,,,,,,,,,,,,,
,33,18.942,4.5,0.363,45,6.72,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,14,,,,,,,,,,,,
,34,19.305,2.4,0.066,24,15.37035804,,,目視個所Ｔｏｐ　No.2,3.5,2,,4.1,14,,,,,,,,,,,,
,35,19.371,1.4,0.627,14,6.72,,,目視個所Ｔｏｐ　No.3,5.5,3,,3.1,14,,,,,,,,,,,,
,36,19.998,2.4,0.033,24,6.72,,,目視個所Ｔｏｐ　No.4,1.4,4,,2.1,14,,,,,,,,,,,,
,37,20.031,4.4,0.363,44,13.44,,,目視個所Ｔｏｐ　No.5,2.4,5,,1.1,14,,,,,,,,,,,,
,38,20.394,5.4,0.264,54,6.72,,,目視個所（累積ではない）,13,,,5.2,14,,,,,,,,,,,,
,39,20.658,4.4,0.033,44,6.72,,,非目視個所,27,,,4.2,14,,,,,,,,,,,,
,40,20.691,3.4,0.132,34,6.72,,,合計,40,,,3.2,14,,,,,,,,,,,,
,41,20.823,2.4,0.132,24,6.72,,,,,,,2.2,14,,,,,,,,,,,,
,42,20.955,1.4,1.617,14,6.72,,,,,,,1.2,14,,,,,,,,,,,,
,43,22.572,2.4,0.396,24,6.72,,,,,,,5.3,14,,,,,,,,,,,,
,44,22.968,2.3,0.528,23,7.4575,,,,,,,4.3,14,,,,,1,2,3,4,5,6,7,8
,45,23.496,2.4,0.528,24,7.4575,,,,,,,3.3,14,,,,5,14,14,14,13,3,7,14,14
,46,24.024,2.4,,,,,,,,,,2.3,9,,,,4,14,14,14,12,1,6,14,14
,観測時間［秒］,22.407,,,,,,,,,,,1.3,14,,,,3,14,14,14,10,2,14,14,14
,,,,,最少移動距離,6.72,,,,,,,5.4,13,,,,2,14,14,9,5,8,14,14,14
,任意個所の最大目視時間［s］,,,2.94,最大移動距離,15.37,,,,,,,4.4,12,,,,1,14,14,14,4,11,14,14,14
,任意個所の目視時間の標準偏差,,,0.57,平均移動距離,7.42,,,,,,,3.4,10,,,,,,,,,,,,
,,,,,距離標準偏差,1.85,,,,,,,2.4,5,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,4,,,,,,,,,,,,
,原本再生時間,23.53,秒,,9.9のカウント数,0,,,,,,,5.5,3,,,,,,,,,,,,
,観察時間,22.407,秒,,9.9の秒数,0,,,,,,,4.5,1,,,,,,,,,,,,
,観察割合,0.952,,,0のカウント数,0,,,,,,,3.5,2,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,2.5,8,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,1.5,11,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,5.6,7,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0,,,,,,,4.6,6,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0,,,,,,,3.6,14,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,14,,,,,,,,,,,,
,,,,チェックデジット,22.407,,,,,,,,1.6,14,,,,,,,,,,,,
,,,,OK,22.407,,,,,,,,5.7,14,,,,,,,,,,,,
,,,,,22.407,,,,,,,,4.7,14,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,14,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,14,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,14,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,14,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,14,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,14,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,14,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,14,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
