,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.957,9.9,0.363,,,22.066,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.32,3.5,0.759,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.079,3.6,0.891,36,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,35.71428571,,
,4,2.97,5.6,1.353,56,13.44,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,16,6,21.42857143,,
,5,4.323,4.6,0.462,46,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,20,4,14.28571429,,
,6,4.785,4.5,0.198,45,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,20,0,0,,
,7,4.983,3.6,0.99,36,10.03856097,,,,,,,,,,,,,6,20,24,25,5,17.85714286,,
,8,5.973,3.5,0.066,35,7.4575,,,目視時間の分布（秒）,,21.703,,,,,,,,7,24,28,27,2,7.142857143,,
,9,6.039,4.5,0.594,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,28,1,3.571428571,,
,10,6.633,3.6,0.231,36,10.03856097,,,5,0,0,0,0,1.386,4.983,0,0,,9,32,36,28,0,0,,
,11,6.864,2.5,0.495,25,10.03856097,,,4,0,0,0.165,0,6.402,0.693,0,0,,10,36,40,28,0,0,,
,12,7.359,4.5,3.234,45,13.44,,,3,0,0.726,0,0.055,1.386,2.475,0.198,0,,11,40,44,28,0,0,,
,13,10.593,1.4,0.363,14,21.49511354,,,2,0,0,0,0.99,0.495,0,0,0,,12,44,48,28,0,0,,
,14,10.956,4.5,0.231,45,21.49511354,,,1,0,0,0,0.363,1.188,0,0,0.198,,13,48,52,28,0,0,,
