,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.914,4.5,0.429,45,,23.595,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.343,3.5,0.858,35,6.72,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,3.201,5.6,0.891,56,15.37035804,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,17,17,43.58974359,,
,4,4.092,4.5,0.132,45,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,29,12,30.76923077,,
,5,4.224,3.5,0.561,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,36,7,17.94871795,,
,6,4.785,4.5,0.792,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,36,0,0,,
,7,5.577,5.5,0.627,55,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,38,2,5.128205128,,
,8,6.204,5.6,0.957,56,7.4575,,,,,,,,,,,,,7,24,28,38,0,0,,
,9,7.161,3.5,1.056,35,15.37035804,,,目視時間の分布（秒）,,23.595,,,,,,,,8,28,32,39,1,2.564102564,,
,10,8.217,2.4,0.363,24,10.03856097,,,,1,2,3,4,5,6,7,8,,9,32,36,39,0,0,,
,11,8.58,1.5,0.198,15,10.03856097,,,5,0,0,0,0,3.937,1.904,0,0,,10,36,40,39,0,0,,
,12,8.778,2.4,0.561,24,10.03856097,,,4,0,0,0,0.264,5.676,0,0,0,,11,40,44,39,0,0,,
,13,9.339,4.5,0.792,45,15.37035804,,,3,0,0,0,1.089,2.607,0,0,0,,12,44,48,39,0,0,,
,14,10.131,3.5,0.132,35,6.72,,,2,0,0,0.693,3.3,1.452,0,0,0.462,,13,48,52,39,0,0,,
,15,10.263,4.5,0.891,45,6.72,,,1,0,0,0,2.013,0.198,0,0,0,,14,52,56,39,0,0,,
,16,11.154,2.5,0.561,25,13.44,,,,,,,,,,,,,15,56,60,39,0,0,,
,17,11.715,1.4,0.792,14,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,39,0,0,,
,18,12.507,4.5,1.023,45,21.49511354,,,,1,2,3,4,5,6,7,8,,17,64,68,39,0,0,,
,19,13.53,5.6,0.528,56,10.03856097,,,5,0.0,0.0,0.0,0.0,16.7,8.1,0.0,0.0,,18,68,72,39,0,0,,
,20,14.058,4.5,0.759,45,10.03856097,,,4,0.0,0.0,0.0,1.1,24.1,0.0,0.0,0.0,,19,72,76,39,0,0,,
