,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.122,3.4,0.066,34,,23.403,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.188,2.4,0.198,24,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.386,2.3,0.363,23,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,38,38,73.07692308,,
,4,1.749,1.4,0.264,14,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,45,7,13.46153846,,
,5,2.013,3.5,0.264,35,15.37035804,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,50,5,9.615384615,,
,6,2.277,3.6,0.429,36,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,51,1,1.923076923,,
,7,2.706,4.6,2.475,46,6.72,,,,,,,,,,,,,6,20,24,52,1,1.923076923,,
,8,5.181,3.6,0.462,36,6.72,,,目視時間の分布（秒）,,23.403,,,,,,,,7,24,28,52,0,0,,
,9,5.643,4.6,1.419,46,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,52,0,0,,
,10,7.062,5.6,1.32,56,6.72,,,5,0,0,0,0,0,1.32,0,0,,9,32,36,52,0,0,,
,11,8.382,4.6,1.98,46,6.72,,,4,0,0.33,0,1.221,4.455,6.699,0,0,,10,36,40,52,0,0,,
,12,10.362,3.6,0.297,36,6.72,,,3,0,0.264,0.363,0.462,2.739,1.584,0.297,0,,11,40,44,52,0,0,,
,13,10.659,3.5,0.264,35,7.4575,,,2,0,0,0.363,0.33,0.726,0.429,0,0,,12,44,48,52,0,0,,
,14,10.923,4.5,0.264,45,6.72,,,1,0,0,0,0.462,0.825,0.264,0,0.27,,13,48,52,52,0,0,,
