,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.924,3.5,0.33,35,,23.595,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.254,2.4,0.363,24,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.617,2.5,0.33,25,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,43,43,82.69230769,,
,4,1.947,3.5,2.871,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,50,7,13.46153846,,
,5,4.818,2.4,0.363,24,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,52,2,3.846153846,,
,6,5.181,1.4,0.396,14,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,52,0,0,,
,7,5.577,2.4,0.099,24,6.72,,,,,,,,,,,,,6,20,24,52,0,0,,
,8,5.676,3.4,0.132,34,6.72,,,目視時間の分布（秒）,,23.595,,,,,,,,7,24,28,52,0,0,,
,9,5.808,3.5,0.165,35,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,52,0,0,,
,10,5.973,4.5,0.594,45,6.72,,,5,0,0,0,0,0.918,1.386,0,0,,9,32,36,52,0,0,,
,11,6.567,5.6,0.924,56,10.03856097,,,4,0,0,0,0.231,7.959,1.089,0,0,,10,36,40,52,0,0,,
,12,7.491,4.6,0.561,46,6.72,,,3,0,0,0,0.792,4.719,0.099,0,0,,11,40,44,52,0,0,,
,13,8.052,4.5,0.759,45,7.4575,,,2,0,0,0.66,2.211,0.462,0.132,0,0,,12,44,48,52,0,0,,
,14,8.811,4.4,0.066,44,7.4575,,,1,0,0,0,2.376,0.231,0.066,0.099,0.165,,13,48,52,52,0,0,,
,15,8.877,3.4,0.264,34,6.72,,,,,,,,,,,,,14,52,56,52,0,0,,
,16,9.141,3.5,0.198,35,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,52,0,0,,
,17,9.339,4.5,0.561,45,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,52,0,0,,
,18,9.9,4.6,0.528,46,7.4575,,,5,0.0,0.0,0.0,0.0,3.9,5.9,0.0,0.0,,17,64,68,52,0,0,,
,19,10.428,5.6,0.462,56,6.72,,,4,0.0,0.0,0.0,1.0,33.7,4.6,0.0,0.0,,18,68,72,52,0,0,,
,20,10.89,5.5,0.495,55,7.4575,,,3,0.0,0.0,0.0,3.4,20.0,0.4,0.0,0.0,,19,72,76,52,0,0,,
,21,11.385,4.5,1.326,45,6.72,,,2,0.0,0.0,2.8,9.4,2.0,0.6,0.0,0.0,,20,76,80,52,0,0,,
,22,12.711,5.5,0.423,55,6.72,,,1,0.0,0.0,0.0,10.1,1.0,0.3,0.4,0.7,,,,,,,100,,
,23,13.134,4.5,4.719,45,6.72,,,,,,,,,,,,,,,,,,,,
,24,17.853,3.5,0.957,35,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
