,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.287,2.4,0.627,24,,22.737,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.914,3.5,0.198,35,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.112,9.9,0.264,99,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,24,24,88.88888889,,
,4,2.376,3.5,1.551,35,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,3,11.11111111,,
,5,3.927,3.6,0.66,36,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,27,0,0,,
,6,4.587,4.5,0.297,45,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,27,0,0,,
,7,4.884,3.5,0.165,35,6.72,,,,,,,,,,,,,6,20,24,27,0,0,,
,8,5.049,2.5,0.165,25,6.72,,,目視時間の分布（秒）,,22.473,,,,,,,,7,24,28,27,0,0,,
,9,5.214,2.4,0.495,24,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,27,0,0,,
,10,5.709,3.5,0.66,35,10.03856097,,,5,0,0,0,0,0,0,0,0,,9,32,36,27,0,0,,
,11,6.369,4.5,0.528,45,6.72,,,4,0,0,0,0,3.036,1.716,0,0,,10,36,40,27,0,0,,
,12,6.897,3.5,2.442,35,6.72,,,3,0,0,0,1.023,10.989,0.66,0,0,,11,40,44,27,0,0,,
,13,9.339,4.5,0.363,45,6.72,,,2,0,0,0,4.818,0.231,0,0,0,,12,44,48,27,0,0,,
,14,9.702,4.6,0.33,46,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,27,0,0,,
,15,10.032,4.5,0.066,45,7.4575,,,,,,,,,,,,,14,52,56,27,0,0,,
,16,10.098,3.5,2.376,35,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,27,0,0,,
,17,12.474,4.5,0.198,45,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,27,0,0,,
,18,12.672,4.6,1.254,46,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,27,0,0,,
,19,13.926,4.5,1.188,45,7.4575,,,4,0.0,0.0,0.0,0.0,13.5,7.6,0.0,0.0,,18,68,72,27,0,0,,
,20,15.114,4.6,0.132,46,7.4575,,,3,0.0,0.0,0.0,4.6,48.9,2.9,0.0,0.0,,19,72,76,27,0,0,,
,21,15.246,4.5,0.165,45,7.4575,,,2,0.0,0.0,0.0,21.4,1.0,0.0,0.0,0.0,,20,76,80,27,0,0,,
,22,15.411,3.5,1.617,35,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,17.028,4.5,0.231,45,6.72,,,,,,,,,,,,,,,,,,,,
,24,17.259,3.5,1.782,35,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,19.041,3.4,0.198,34,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,19.239,2.4,0.429,24,6.72,,,5,8,8,8,8,8,8,8,8,,,,,,,,,
,27,19.668,3.4,0.825,34,6.72,,,4,8,8,8,8,3,4,8,8,,,,,,,,,
,28,20.493,3.5,0.198,35,7.4575,,,3,8,8,8,5,1,6,8,8,,,,,,,,,
,29,20.691,2.5,0.066,25,6.72,,,2,8,8,8,2,7,8,8,8,,,,,,,,,
,30,20.757,2.4,3.267,24,7.4575,,,1,8,8,8,8,8,8,8,8,,,,,,,,,
,31,24.024,2.4,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［s］,22.737,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,目視個所Ｔｏｐ　No.1,3.5,1,,5.1,8,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.27,最大移動距離,10.04,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,8,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.81,平均移動距離,7.39,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,8,,,,,,,,,,,,
