,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.825,3.5,0.198,35,,23.496,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.023,4.5,0.528,45,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.551,3.5,0.363,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,40,40,88.88888889,,
,4,1.914,4.5,0.099,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,45,5,11.11111111,,
,5,2.013,4.6,1.485,46,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,45,0,0,,
,6,3.498,3.6,0.099,36,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,45,0,0,,
,7,3.597,3.5,0.528,35,7.4575,,,,,,,,,,,,,6,20,24,45,0,0,,
,8,4.125,2.5,0.363,25,6.72,,,目視時間の分布（秒）,,22.968,,,,,,,,7,24,28,45,0,0,,
,9,4.488,2.4,0.396,24,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,45,0,0,,
,10,4.884,3.5,0.132,35,10.03856097,,,5,0,0,0,0,0,0.198,0,0,,9,32,36,45,0,0,,
,11,5.016,4.5,0.825,45,6.72,,,4,0,0,0,0,3.069,6.666,0,0,,10,36,40,45,0,0,,
,12,5.841,4.6,0.33,46,7.4575,,,3,0,0,0,0,5.082,1.122,0,0,,11,40,44,45,0,0,,
,13,6.171,3.6,0.66,36,6.72,,,2,0,0,0,2.706,1.188,0.594,0.264,0,,12,44,48,45,0,0,,
,14,6.831,3.5,1.518,35,7.4575,,,1,0,0,0,0.066,1.683,0.231,0.099,0,,13,48,52,45,0,0,,
,15,8.349,4.5,0.132,45,6.72,,,,,,,,,,,,,14,52,56,45,0,0,,
,16,8.481,4.6,0.231,46,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,45,0,0,,
,17,8.712,3.6,0.099,36,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,45,0,0,,
