,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.848,3.4,0.231,34,,23.177,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.079,4.4,0.462,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.541,4.5,0.792,45,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,35,35,89.74358974,,
,4,3.333,5.5,0.264,55,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,38,3,7.692307692,,
,5,3.597,5.6,0.495,56,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,39,1,2.564102564,,
,6,4.092,4.6,0.066,46,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,0,0,,
,7,4.158,4.5,0.132,45,7.4575,,,,,,,,,,,,,6,20,24,39,0,0,,
,8,4.29,3.5,0.792,35,6.72,,,目視時間の分布（秒）,,22.253,,,,,,,,7,24,28,39,0,0,,
,9,5.082,2.5,0.693,25,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,39,0,0,,
,10,5.775,2.4,0.627,24,7.4575,,,5,0,0,0,0,2.541,1.221,0,0,,9,32,36,39,0,0,,
,11,6.402,3.4,0.132,34,6.72,,,4,0,0,0,0.462,5.379,0.627,0,0,,10,36,40,39,0,0,,
,12,6.534,3.5,0.858,35,7.4575,,,3,0,0,0,0.66,3.762,0,0,0,,11,40,44,39,0,0,,
,13,7.392,4.5,0.396,45,6.72,,,2,0,0.33,0.528,2.42,0.693,0,0,0,,12,44,48,39,0,0,,
,14,7.788,3.5,0.462,35,6.72,,,1,0,0,0.363,3.267,0,0,0,0,,13,48,52,39,0,0,,
,15,8.25,4.5,0.132,45,6.72,,,,,,,,,,,,,14,52,56,39,0,0,,
,16,8.382,5.5,0.462,55,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,39,0,0,,
,17,8.844,5.6,0.66,56,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,39,0,0,,
,18,9.504,9.9,0.924,99,,,,5,0.0,0.0,0.0,0.0,11.4,5.5,0.0,0.0,,17,64,68,39,0,0,,
,19,10.428,5.5,0.198,55,,,,4,0.0,0.0,0.0,2.1,24.2,2.8,0.0,0.0,,18,68,72,39,0,0,,
,20,10.626,4.5,0.693,45,6.72,,,3,0.0,0.0,0.0,3.0,16.9,0.0,0.0,0.0,,19,72,76,39,0,0,,
,21,11.319,4.6,0.561,46,7.4575,,,2,0.0,1.5,2.4,10.9,3.1,0.0,0.0,0.0,,20,76,80,39,0,0,,
,22,11.88,3.5,1.155,35,10.03856097,,,1,0.0,0.0,1.6,14.7,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,13.035,2.4,0.099,24,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,13.134,1.4,0.231,14,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,13.365,1.3,0.363,13,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,13.728,3.4,0.165,34,15.37035804,,,5,14,14,14,14,4,6,14,14,,,,,,,,,
,27,13.893,3.5,0.462,35,7.4575,,,4,14,14,14,11,1,9,14,14,,,,,,,,,
,28,14.355,4.5,1.551,45,6.72,,,3,14,14,14,8,2,14,14,14,,,,,,,,,
,29,15.906,5.5,0.33,55,6.72,,,2,14,13,10,5,7,14,14,14,,,,,,,,,
,30,16.236,5.6,0.066,56,7.4575,,,1,14,14,12,3,14,14,14,14,,,,,,,,,
,31,16.302,5.5,0.099,55,7.4575,,,,,,,,,,,,,,,,,,,,
,32,16.401,4.5,1.32,45,6.72,,,,,,,,,,,,,,,,,,,,
,33,17.721,5.5,1.188,55,6.72,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,14,,,,,,,,,,,,
