,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.627,9.9,0.726,,,23.397,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.353,5.6,0.33,56,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.683,4.6,0.594,46,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,13,13,52,,
,4,2.277,3.5,2.64,35,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,17,4,16,,
,5,4.917,2.3,0.198,23,16.35896161,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,22,5,20,,
,6,5.115,2.4,0.396,24,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,24,2,8,,
,7,5.511,4.5,0.924,45,15.37035804,,,,,,,,,,,,,6,20,24,25,1,4,,
,8,6.435,4.6,0.33,46,7.4575,,,目視時間の分布（秒）,,22.671,,,,,,,,7,24,28,25,0,0,,
,9,6.765,5.6,1.32,56,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,25,0,0,,
,10,8.085,4.5,1.98,45,10.03856097,,,5,0,0,0,0,0.429,1.65,0,0,,9,32,36,25,0,0,,
,11,10.065,3.5,0.924,35,6.72,,,4,0,0,1.122,0.396,9.537,0.924,0,0,,10,36,40,25,0,0,,
,12,10.989,4.5,1.65,45,6.72,,,3,0,0,0,0.726,3.564,0,0,0,,11,40,44,25,0,0,,
,13,12.639,5.5,0.429,55,6.72,,,2,0,0.297,0.363,1.485,0.759,0,0,0,,12,44,48,25,0,0,,
,14,13.068,4.5,4.983,45,6.72,,,1,0,0,0,1.419,0,0,0,0,,13,48,52,25,0,0,,
,15,18.051,4.4,0.396,44,7.4575,,,,,,,,,,,,,14,52,56,25,0,0,,
