,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.211,9.9,0.429,99,,31.202,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.64,0,0.528,0,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.168,3.5,0.396,35,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,17,17,53.125,,
,4,3.564,0,0.462,0,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,10,31.25,,
,5,4.026,4.5,0.33,45,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,29,2,6.25,,
,6,4.356,4.4,0.759,44,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,30,1,3.125,,
,7,5.115,3.4,0.825,34,6.72,,,,,,,,,,,,,6,20,24,32,2,6.25,,
,8,5.94,3.5,1.089,35,7.4575,,,目視時間の分布（秒）,,29.387,,,,,,,,7,24,28,32,0,0,,
,9,7.029,2.5,2.838,25,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,32,0,0,,
,10,9.867,3.5,0.165,35,6.72,,,5,0,0.957,0,0,0.545,0,0,0,,9,32,36,32,0,0,,
,11,10.032,4.4,1.782,44,10.03856097,,,4,0,0,0.825,3.663,3.498,0,0,0,,10,36,40,32,0,0,,
,12,11.814,3.5,0.924,35,10.03856097,,,3,0,0.132,0.528,6.369,5.808,0.33,0,0,,11,40,44,32,0,0,,
,13,12.738,4.5,0.462,45,6.72,,,2,0,0,0,2.706,4.026,0,0,0,,12,44,48,32,0,0,,
,14,13.2,4.4,0.66,44,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,32,0,0,,
,15,13.86,3.4,1.452,34,6.72,,,,,,,,,,,,,14,52,56,32,0,0,,
,16,15.312,3.5,1.188,35,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,32,0,0,,
,17,16.5,9.9,0.396,99,,,,,1,2,3,4,5,6,7,8,,16,60,64,32,0,0,,
,18,16.896,3.4,0.396,34,,,,5,0.0,3.3,0.0,0.0,1.9,0.0,0.0,0.0,,17,64,68,32,0,0,,
,19,17.292,2.4,0.528,24,6.72,,,4,0.0,0.0,2.8,12.5,11.9,0.0,0.0,0.0,,18,68,72,32,0,0,,
,20,17.82,3.3,0.528,33,10.03856097,,,3,0.0,0.4,1.8,21.7,19.8,1.1,0.0,0.0,,19,72,76,32,0,0,,
,21,18.348,4.5,0.33,45,16.35896161,,,2,0.0,0.0,0.0,9.2,13.7,0.0,0.0,0.0,,20,76,80,32,0,0,,
,22,18.678,5.5,0.545,55,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,19.223,3.5,0.561,35,13.44,,,,,,,,,,,,,,,,,,,,
,24,19.784,2.5,0.429,25,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,20.213,3.4,1.089,34,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,21.302,2.4,2.178,24,6.72,,,5,13,7,13,13,9,13,13,13,,,,,,,,,
,27,23.48,3.5,0.627,35,10.03856097,,,4,13,13,8,4,5,13,13,13,,,,,,,,,
,28,24.107,3.2,0.132,32,22.3725,,,3,13,12,10,1,2,11,13,13,,,,,,,,,
,29,24.239,4.3,0.825,43,10.03856097,,,2,13,13,13,6,3,13,13,13,,,,,,,,,
,30,25.064,5.2,0.957,52,10.03856097,,,1,13,13,13,13,13,13,13,13,,,,,,,,,
,31,26.021,4.5,1.023,45,23.35994769,,,,,,,,,,,,,,,,,,,,
,32,27.044,4.4,0.462,44,7.4575,,,,,,,,,,,,,,,,,,,,
,33,27.506,3.4,2.607,34,6.72,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,13,,,,,,,,,,,,
,34,30.113,3.5,0.858,35,7.4575,,,目視個所Ｔｏｐ　No.2,3.5,2,,4.1,13,,,,,,,,,,,,
,35,30.971,2.5,0.759,25,6.72,,,目視個所Ｔｏｐ　No.3,2.5,3,,3.1,13,,,,,,,,,,,,
,36,31.73,4.5,0.561,45,13.44,,,目視個所Ｔｏｐ　No.4,4.4,4,,2.1,13,,,,,,,,,,,,
,37,32.291,3.6,0.33,36,10.03856097,,,目視個所Ｔｏｐ　No.5,4.5,5,,1.1,13,,,,,,,,,,,,
,38,32.621,4.5,0.792,45,10.03856097,,,目視個所（累積ではない）,12,,,5.2,7,,,,,,,,,,,,
,39,33.413,3.6,0.165,36,10.03856097,,,非目視個所,28,,,4.2,13,,,,,,,,,,,,
,40,33.578,3.6,,36,,,,合計,40,,,3.2,12,,,,,,,,,,,,
,観測時間［秒］,31.202,,,,,,,,,,,2.2,13,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.2,13,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.84,最大移動距離,23.36,,,,,,,5.3,13,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.62,平均移動距離,9.63,,,,,,,4.3,8,,,,,1,2,3,4,5,6,7,8
,,,,,距離標準偏差,4.14,,,,,,,3.3,10,,,,5,13,7,13,13,9,13,13,13
,,,,,,,,,,,,,2.3,13,,,,4,13,13,8,4,5,13,13,13
,原本再生時間,31.253,秒,,9.9のカウント数,2,,,,,,,1.3,13,,,,3,13,12,10,1,2,11,13,13
,観察時間,31.202,秒,,9.9の秒数,0.825,,,,,,,5.4,13,,,,2,13,13,13,6,3,13,13,13
,観察割合,0.998,,,0のカウント数,2,,,,,,,4.4,4,,,,1,13,13,13,13,13,13,13,13
,,,,,0の秒数,0.99,,,,,,,3.4,1,,,,,,,,,,,,
,総ロスト時間［秒］,1.815,,原本再生に占める9.9の割合,,0.026,,,,,,,2.4,6,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.058,,観察時間に占める9.9の割合,,0.026,,,,,,,1.4,13,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.058,,原本再生に占める0の割合,,0.032,,,,,,,5.5,9,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.032,,,,,,,4.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,2,,,,,,,,,,,,
,,,,チェックデジット,29.387,,,,,,,,2.5,3,,,,,,,,,,,,
,,,,OK,29.387,,,,,,,,1.5,13,,,,,,,,,,,,
,,,,,29.387,,,,,,,,5.6,13,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,13,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,11,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,13,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,13,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,13,,,,,,,,,,,,
終了時刻,,,,,,,,,,,,,1.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,13,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,13,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,13,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,13,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,13,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
