,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.122,4.4,0.132,44,,31.449,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.254,4.5,0.594,45,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.848,4.4,1.254,44,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,27,27,96.42857143,,
,4,3.102,4.5,0.165,45,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,28,1,3.571428571,,
,5,3.267,4.4,1.023,44,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,28,0,0,,
,6,4.29,5.4,1.089,54,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,28,0,0,,
,7,5.379,4.4,1.32,44,6.72,,,,,,,,,,,,,6,20,24,28,0,0,,
,8,6.699,4.5,0.429,45,7.4575,,,目視時間の分布（秒）,,31.449,,,,,,,,7,24,28,28,0,0,,
,9,7.128,4.6,0.198,46,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,28,0,0,,
,10,7.326,3.6,0.132,36,6.72,,,5,0,0,0.198,1.32,1.452,0.396,0,0,,9,32,36,28,0,0,,
,11,7.458,4.5,0.726,45,10.03856097,,,4,0,0,0.099,19.437,2.574,1.254,0,0,,10,36,40,28,0,0,,
,12,8.184,3.5,0.924,35,6.72,,,3,0,0,0,3.201,1.023,0.495,0,0,,11,40,44,28,0,0,,
,13,9.108,3.6,0.363,36,7.4575,,,2,0,0,0,0,0,0,0,0,,12,44,48,28,0,0,,
,14,9.471,3.5,0.099,35,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,28,0,0,,
,15,9.57,4.5,0.297,45,6.72,,,,,,,,,,,,,14,52,56,28,0,0,,
,16,9.867,4.6,1.056,46,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,28,0,0,,
,17,10.923,4.5,0.297,45,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,28,0,0,,
,18,11.22,4.4,3.102,44,7.4575,,,5,0.0,0.0,0.6,4.2,4.6,1.3,0.0,0.0,,17,64,68,28,0,0,,
,19,14.322,3.4,3.201,34,6.72,,,4,0.0,0.0,0.3,61.8,8.2,4.0,0.0,0.0,,18,68,72,28,0,0,,
,20,17.523,4.4,0.924,44,6.72,,,3,0.0,0.0,0.0,10.2,3.3,1.6,0.0,0.0,,19,72,76,28,0,0,,
,21,18.447,4.3,0.099,43,7.4575,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20,76,80,28,0,0,,
,22,18.546,5.3,0.198,53,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,18.744,5.4,0.231,54,7.4575,,,,,,,,,,,,,,,,,,,,
,24,18.975,5.5,1.089,55,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,20.064,5.6,0.396,56,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,20.46,5.5,0.363,55,7.4575,,,5,12,12,10,5,4,9,12,12,,,,,,,,,
,27,20.823,4.5,0.066,45,6.72,,,4,12,12,11,1,3,6,12,12,,,,,,,,,
,28,20.889,4.4,11.682,44,7.4575,,,3,12,12,12,2,7,8,12,12,,,,,,,,,
,29,32.571,4.5,0.132,45,7.4575,,,2,12,12,12,12,12,12,12,12,,,,,,,,,
,30,32.703,4.6,0.528,46,7.4575,,,1,12,12,12,12,12,12,12,12,,,,,,,,,
,31,33.231,4.7,0.231,47,7.4575,,,,,,,,,,,,,,,,,,,,
,32,33.462,4.6,0.561,46,7.4575,,,,,,,,,,,,,,,,,,,,
,33,34.023,4.7,0.165,47,7.4575,,,目視個所Ｔｏｐ　No.1,4.4,1,,5.1,12,,,,,,,,,,,,
,34,34.188,4.6,0.066,46,7.4575,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,12,,,,,,,,,,,,
,35,34.254,4.5,0.132,45,7.4575,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,12,,,,,,,,,,,,
,36,34.386,4.4,0.66,44,7.4575,,,目視個所Ｔｏｐ　No.4,5.5,4,,2.1,12,,,,,,,,,,,,
