,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.254,4.5,2.541,45,,30.657,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.795,4.4,1.32,44,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,5.115,3.4,0.462,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,34,34,87.17948718,,
,4,5.577,3.5,0.264,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,38,4,10.25641026,,
,5,5.841,4.5,1.716,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,39,1,2.564102564,,
,6,7.557,5.5,0.297,55,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,0,0,,
,7,7.854,5.4,0.858,54,7.4575,,,,,,,,,,,,,6,20,24,39,0,0,,
,8,8.712,4.4,0.462,44,6.72,,,目視時間の分布（秒）,,30.657,,,,,,,,7,24,28,39,0,0,,
,9,9.174,4.5,2.343,45,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,39,0,0,,
,10,11.517,3.5,0.495,35,6.72,,,5,0,0,0.726,1.947,0.825,0.594,0.396,0,,9,32,36,39,0,0,,
,11,12.012,4.5,0.693,45,6.72,,,4,0,0,0,4.554,11.55,1.419,0.066,0.264,,10,36,40,39,0,0,,
,12,12.705,3.5,4.653,35,6.72,,,3,0,0,0,1.122,6.171,0.363,0.594,0,,11,40,44,39,0,0,,
,13,17.358,4.5,0.198,45,6.72,,,2,0,0,0,0.066,0,0,0,0,,12,44,48,39,0,0,,
,14,17.556,4.4,2.112,44,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,39,0,0,,
,15,19.668,3.4,0.528,34,6.72,,,,,,,,,,,,,14,52,56,39,0,0,,
,16,20.196,2.4,0.066,24,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,39,0,0,,
,17,20.262,3.4,0.132,34,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,39,0,0,,
,18,20.394,4.4,0.33,44,6.72,,,5,0.0,0.0,2.4,6.4,2.7,1.9,1.3,0.0,,17,64,68,39,0,0,,
,19,20.724,5.4,1.089,54,6.72,,,4,0.0,0.0,0.0,14.9,37.7,4.6,0.2,0.9,,18,68,72,39,0,0,,
,20,21.813,5.5,0.528,55,7.4575,,,3,0.0,0.0,0.0,3.7,20.1,1.2,1.9,0.0,,19,72,76,39,0,0,,
,21,22.341,4.5,0.066,45,6.72,,,2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,20,76,80,39,0,0,,
,22,22.407,5.6,0.594,56,10.03856097,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,23.001,5.7,0.396,57,7.4575,,,,,,,,,,,,,,,,,,,,
,24,23.397,4.8,0.264,48,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,23.661,4.7,0.066,47,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,23.727,4.5,0.429,45,14.915,,,5,16,16,8,4,7,9,11,16,,,,,,,,,
,27,24.156,3.5,0.099,35,6.72,,,4,16,16,16,3,1,5,14,13,,,,,,,,,
,28,24.255,3.6,0.198,36,7.4575,,,3,16,16,16,6,2,12,9,16,,,,,,,,,
,29,24.453,3.7,0.594,37,7.4575,,,2,16,16,16,14,16,16,16,16,,,,,,,,,
,30,25.047,3.6,0.165,36,7.4575,,,1,16,16,16,16,16,16,16,16,,,,,,,,,
,31,25.212,3.5,0.495,35,7.4575,,,,,,,,,,,,,,,,,,,,
,32,25.707,4.5,0.033,45,6.72,,,,,,,,,,,,,,,,,,,,
,33,25.74,4.4,0.165,44,7.4575,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,16,,,,,,,,,,,,
,34,25.905,5.3,0.726,53,10.03856097,,,目視個所Ｔｏｐ　No.2,3.5,2,,4.1,16,,,,,,,,,,,,
,35,26.631,4.4,0.165,44,10.03856097,,,目視個所Ｔｏｐ　No.3,4.4,3,,3.1,16,,,,,,,,,,,,
,36,26.796,4.5,1.815,45,7.4575,,,目視個所Ｔｏｐ　No.4,5.4,4,,2.1,16,,,,,,,,,,,,
,37,28.611,4.6,1.419,46,7.4575,,,目視個所Ｔｏｐ　No.5,4.6,5,,1.1,16,,,,,,,,,,,,
,38,30.03,4.5,1.716,45,7.4575,,,目視個所（累積ではない）,15,,,5.2,16,,,,,,,,,,,,
,39,31.746,3.5,0.165,35,6.72,,,非目視個所,25,,,4.2,16,,,,,,,,,,,,
,40,31.911,4.5,1.623,45,6.72,,,合計,40,,,3.2,16,,,,,,,,,,,,
,41,33.534,4.5,,,,,,,,,,2.2,16,,,,,,,,,,,,
,観測時間［秒］,30.657,,,,,,,,,,,1.2,16,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,5.3,8,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.65,最大移動距離,14.92,,,,,,,4.3,16,,,,,1,2,3,4,5,6,7,8
,任意個所の目視時間の標準偏差,,,0.92,平均移動距離,7.57,,,,,,,3.3,16,,,,5,16,16,8,4,7,9,11,16
,,,,,距離標準偏差,1.53,,,,,,,2.3,16,,,,4,16,16,16,3,1,5,14,13
,,,,,,,,,,,,,1.3,16,,,,3,16,16,16,6,2,12,9,16
,原本再生時間,31.253,秒,,9.9のカウント数,0,,,,,,,5.4,4,,,,2,16,16,16,14,16,16,16,16
,観察時間,30.657,秒,,9.9の秒数,0,,,,,,,4.4,3,,,,1,16,16,16,16,16,16,16,16
,観察割合,0.981,,,0のカウント数,0,,,,,,,3.4,6,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,2.4,14,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,1.4,16,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,5.5,7,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,4.5,1,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,3.5,2,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,16,,,,,,,,,,,,
