,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.353,3.4,0.594,34,,31.18,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.947,3.5,1.023,35,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.97,4.4,1.353,44,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,33,33,94.28571429,,
,4,4.323,3.4,1.353,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,35,2,5.714285714,,
,5,5.676,4.4,0.759,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,35,0,0,,
,6,6.435,3.4,0.759,34,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,35,0,0,,
,7,7.194,4.4,0.627,44,6.72,,,,,,,,,,,,,6,20,24,35,0,0,,
,8,7.821,4.5,0.33,45,7.4575,,,目視時間の分布（秒）,,31.18,,,,,,,,7,24,28,35,0,0,,
,9,8.151,4.4,0.594,44,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,35,0,0,,
,10,8.745,3.4,1.485,34,6.72,,,5,0,0,0,0.825,0,0,0,0,,9,32,36,35,0,0,,
,11,10.23,3.5,1.155,35,7.4575,,,4,0,0,0,7.453,0.462,0,0,0,,10,36,40,35,0,0,,
,12,11.385,4.5,0.033,45,6.72,,,3,0,0,0,15.51,6.6,0,0,0,,11,40,44,35,0,0,,
,13,11.418,4.4,0.561,44,7.4575,,,2,0,0,0,0.33,0,0,0,0,,12,44,48,35,0,0,,
,14,11.979,5.4,0.825,54,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,35,0,0,,
,15,12.804,4.4,0.297,44,6.72,,,,,,,,,,,,,14,52,56,35,0,0,,
,16,13.101,3.4,1.353,34,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,35,0,0,,
