,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.904,9.9,0.462,,,31.317,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.366,4.5,0.858,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.224,4.4,1.056,44,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,18,18,52.94117647,,
,4,5.28,4.5,0.759,45,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,30,12,35.29411765,,
,5,6.039,3.4,1.716,34,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,34,4,11.76470588,,
,6,7.755,4.4,0.792,44,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,34,0,0,,
,7,8.547,3.4,3.168,34,6.72,,,,,,,,,,,,,6,20,24,34,0,0,,
,8,11.715,4.5,0.726,45,10.03856097,,,目視時間の分布（秒）,,30.855,,,,,,,,7,24,28,34,0,0,,
,9,12.441,3.4,1.254,34,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,34,0,0,,
,10,13.695,5.4,0.396,54,13.44,,,5,0,0,0,0.396,0,0,0,0,,9,32,36,34,0,0,,
,11,14.091,3.4,0.231,34,13.44,,,4,0,0,0.363,4.884,3.762,0,0,0,,10,36,40,34,0,0,,
,12,14.322,4.5,0.429,45,10.03856097,,,3,0,0,0.726,16.929,0,0.858,0,0,,11,40,44,34,0,0,,
,13,14.751,3.4,0.627,34,10.03856097,,,2,0,0,0.594,0.297,2.046,0,0,0,,12,44,48,34,0,0,,
,14,15.378,2.5,2.046,25,10.03856097,,,1,0,0,0,0,0,0,0,0,,13,48,52,34,0,0,,
,15,17.424,4.5,0.561,45,13.44,,,,,,,,,,,,,14,52,56,34,0,0,,
,16,17.985,3.4,1.782,34,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,34,0,0,,
,17,19.767,4.4,0.264,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,34,0,0,,
,18,20.031,3.3,0.396,33,10.03856097,,,5,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,,17,64,68,34,0,0,,
,19,20.427,3.4,5.247,34,7.4575,,,4,0.0,0.0,1.2,15.8,12.2,0.0,0.0,0.0,,18,68,72,34,0,0,,
,20,25.674,3.6,0.858,36,14.915,,,3,0.0,0.0,2.4,54.9,0.0,2.8,0.0,0.0,,19,72,76,34,0,0,,
,21,26.532,4.5,0.165,45,10.03856097,,,2,0.0,0.0,1.9,1.0,6.6,0.0,0.0,0.0,,20,76,80,34,0,0,,
,22,26.697,4.4,0.297,44,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,26.994,4.3,0.363,43,7.4575,,,,,,,,,,,,,,,,,,,,
,24,27.357,4.4,0.495,44,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,27.852,3.4,1.551,34,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
