,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.518,1.4,0.429,14,,30.014,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.947,2.4,0.264,24,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.211,3.4,0.132,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,40,40,90.90909091,,
,4,2.343,4.4,0.495,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,44,4,9.090909091,,
,5,2.838,3.4,0.297,34,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,44,0,0,,
,6,3.135,3.5,0.363,35,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,44,0,0,,
,7,3.498,4.4,0.132,44,10.03856097,,,,,,,,,,,,,6,20,24,44,0,0,,
,8,3.63,4.3,0.099,43,7.4575,,,目視時間の分布（秒）,,30.014,,,,,,,,7,24,28,44,0,0,,
,9,3.729,5.3,0.231,53,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,44,0,0,,
,10,3.96,4.3,0.627,43,6.72,,,5,0,0,0.231,1.782,0.198,0.165,0.264,0,,9,32,36,44,0,0,,
,11,4.587,4.4,0.033,44,7.4575,,,4,0,0,0.726,6.386,3.267,0,0.066,0,,10,36,40,44,0,0,,
,12,4.62,5.5,0.198,55,10.03856097,,,3,0,0,0,13.2,2.937,0.099,0,0,,11,40,44,44,0,0,,
,13,4.818,5.6,0.165,56,7.4575,,,2,0,0,0,0.264,0,0,0,0,,12,44,48,44,0,0,,
,14,4.983,5.7,0.264,57,7.4575,,,1,0,0,0,0.429,0,0,0,0,,13,48,52,44,0,0,,
,15,5.247,4.7,0.066,47,6.72,,,,,,,,,,,,,14,52,56,44,0,0,,
,16,5.313,3.6,0.099,36,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,44,0,0,,
,17,5.412,3.5,0.099,35,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,44,0,0,,
,18,5.511,3.4,0.693,34,7.4575,,,5,0.0,0.0,0.8,5.9,0.7,0.5,0.9,0.0,,17,64,68,44,0,0,,
,19,6.204,4.4,0.165,44,6.72,,,4,0.0,0.0,2.4,21.3,10.9,0.0,0.2,0.0,,18,68,72,44,0,0,,
,20,6.369,5.4,1.32,54,6.72,,,3,0.0,0.0,0.0,44.0,9.8,0.3,0.0,0.0,,19,72,76,44,0,0,,
,21,7.689,4.4,0.165,44,6.72,,,2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,,20,76,80,44,0,0,,
