,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.178,1.5,0.132,15,,30.921,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.31,2.5,0.132,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.442,3.5,0.693,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,30,30,93.75,,
,4,3.135,3.4,2.805,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,32,2,6.25,,
,5,5.94,3.5,0.33,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,0,0,,
,6,6.27,4.5,1.782,45,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,32,0,0,,
,7,8.052,3.4,2.574,34,10.03856097,,,,,,,,,,,,,6,20,24,32,0,0,,
,8,10.626,2.4,0.462,24,6.72,,,目視時間の分布（秒）,,30.624,,,,,,,,7,24,28,32,0,0,,
,9,11.088,3.4,0.198,34,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,32,0,0,,
,10,11.286,3.5,2.145,35,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,32,0,0,,
,11,13.431,3.4,0.528,34,7.4575,,,4,0,0,0,0.528,6.633,0,0,0,,10,36,40,32,0,0,,
,12,13.959,2.4,0.363,24,6.72,,,3,0,0,0,15.741,6.138,0,0,0,,11,40,44,32,0,0,,
,13,14.322,3.4,4.521,34,6.72,,,2,0,0,0,1.32,0.132,0,0,0,,12,44,48,32,0,0,,
,14,18.843,3.5,0.726,35,7.4575,,,1,0,0,0,0,0.132,0,0,0,,13,48,52,32,0,0,,
,15,19.569,3.4,2.409,34,7.4575,,,,,,,,,,,,,14,52,56,32,0,0,,
