,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.947,3.4,1.683,34,,31.152,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.63,4.4,1.518,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,5.148,3.4,1.914,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,42,42,89.36170213,,
,4,7.062,4.4,0.825,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,47,5,10.63829787,,
,5,7.887,3.4,0.099,34,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,47,0,0,,
,6,7.986,3.5,1.98,35,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,47,0,0,,
,7,9.966,3.4,0.429,34,7.4575,,,,,,,,,,,,,6,20,24,47,0,0,,
,8,10.395,9.9,0.363,99,,,,目視時間の分布（秒）,,26.862,,,,,,,,7,24,28,47,0,0,,
,9,10.758,3.4,0.132,34,,,,,1,2,3,4,5,6,7,8,,8,28,32,47,0,0,,
,10,10.89,4.5,0.099,45,10.03856097,,,5,0,0,0,0,0.429,0,0,0,,9,32,36,47,0,0,,
,11,10.989,3.5,0.726,35,6.72,,,4,0,0,0,4.389,1.023,0,0,0,,10,36,40,47,0,0,,
,12,11.715,3.4,0.462,34,7.4575,,,3,0,0,0.924,13.101,6.138,0,0,0,,11,40,44,47,0,0,,
,13,12.177,4.4,0.33,44,6.72,,,2,0,0,0.099,0.528,0.231,0,0,0,,12,44,48,47,0,0,,
,14,12.507,4.5,0.561,45,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,47,0,0,,
,15,13.068,9.9,0.594,99,,,,,,,,,,,,,,14,52,56,47,0,0,,
,16,13.662,4.5,0.198,45,,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,47,0,0,,
,17,13.86,5.5,0.429,55,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,47,0,0,,
,18,14.289,4.4,0.099,44,10.03856097,,,5,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,,17,64,68,47,0,0,,
,19,14.388,3.4,0.33,34,6.72,,,4,0.0,0.0,0.0,16.3,3.8,0.0,0.0,0.0,,18,68,72,47,0,0,,
,20,14.718,3.5,0.33,35,7.4575,,,3,0.0,0.0,3.4,48.8,22.9,0.0,0.0,0.0,,19,72,76,47,0,0,,
,21,15.048,3.4,1.65,34,7.4575,,,2,0.0,0.0,0.4,2.0,0.9,0.0,0.0,0.0,,20,76,80,47,0,0,,
,22,16.698,3.5,0.132,35,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,16.83,4.5,0.165,45,6.72,,,,,,,,,,,,,,,,,,,,
