,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.848,3.4,1.584,34,,31.686,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.432,4.4,0.627,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.059,3.4,0.297,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,24,24,80,,
,4,4.356,2.3,0.363,23,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,30,6,20,,
,5,4.719,3.4,1.023,34,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,30,0,0,,
,6,5.742,4.4,0.264,44,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,30,0,0,,
,7,6.006,4.5,1.518,45,7.4575,,,,,,,,,,,,,6,20,24,30,0,0,,
,8,7.524,5.5,1.089,55,6.72,,,目視時間の分布（秒）,,31.389,,,,,,,,7,24,28,30,0,0,,
,9,8.613,4.4,0.264,44,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,30,0,0,,
,10,8.877,3.4,1.782,34,6.72,,,5,0,0,0,0,1.089,0,0,0,,9,32,36,30,0,0,,
,11,10.659,3.5,0.264,35,7.4575,,,4,0,0,0,4.62,2.409,0,0,0,,10,36,40,30,0,0,,
,12,10.923,3.6,0.297,36,7.4575,,,3,0,0,0.825,16.605,1.584,0.297,0,0,,11,40,44,30,0,0,,
,13,11.22,3.5,0.891,35,7.4575,,,2,0,0,3.201,0.759,0,0,0,0,,12,44,48,30,0,0,,
,14,12.111,3.4,0.594,34,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,30,0,0,,
,15,12.705,2.3,1.287,23,10.03856097,,,,,,,,,,,,,14,52,56,30,0,0,,
,16,13.992,3.3,0.264,33,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,30,0,0,,
,17,14.256,3.4,1.98,34,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,30,0,0,,
,18,16.236,3.3,0.462,33,7.4575,,,5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,,17,64,68,30,0,0,,
,19,16.698,3.4,0.363,34,7.4575,,,4,0.0,0.0,0.0,14.7,7.7,0.0,0.0,0.0,,18,68,72,30,0,0,,
,20,17.061,9.9,0.297,99,,,,3,0.0,0.0,2.6,52.9,5.0,0.9,0.0,0.0,,19,72,76,30,0,0,,
,21,17.358,3.4,0.297,34,,,,2,0.0,0.0,10.2,2.4,0.0,0.0,0.0,0.0,,20,76,80,30,0,0,,
,22,17.655,4.4,2.211,44,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,19.866,3.4,0.594,34,6.72,,,,,,,,,,,,,,,,,,,,
,24,20.46,2.3,0.231,23,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,20.691,3.3,0.099,33,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
