,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.079,3.4,1.881,34,,31.284,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,3.96,3.5,0.297,35,7.4575,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,4.257,3.4,1.056,34,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,38,38,95,,
,4,5.313,4.4,0.66,44,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,40,2,5,,
,5,5.973,3.4,3.828,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,40,0,0,,
,6,9.801,3.5,0.759,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,40,0,0,,
,7,10.56,3.4,0.693,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,40,0,0,,
,8,11.253,3.5,0.924,35,7.4575,,,,,,,,,,,,,7,24,28,40,0,0,,
,9,12.177,3.4,6.006,34,7.4575,,,目視時間の分布（秒）,,31.284,,,,,,,,8,28,32,40,0,0,,
,10,18.183,2.4,0.198,24,6.72,,,,1,2,3,4,5,6,7,8,,9,32,36,40,0,0,,
,11,18.381,3.4,0.231,34,6.72,,,5,0,0,0,1.452,0,0,0,0,,10,36,40,40,0,0,,
,12,18.612,4.4,1.089,44,6.72,,,4,0,0,0.528,3.663,1.485,0,0,0,,11,40,44,40,0,0,,
,13,19.701,5.4,1.452,54,6.72,,,3,0,0,0.165,15.906,6.204,0,0,0,,12,44,48,40,0,0,,
,14,21.153,4.4,0.165,44,6.72,,,2,0,0,0.165,1.32,0.396,0,0,0,,13,48,52,40,0,0,,
,15,21.318,4.5,0.231,45,7.4575,,,1,0,0,0,0,0,0,0,0,,14,52,56,40,0,0,,
,16,21.549,4.4,0.165,44,7.4575,,,,,,,,,,,,,15,56,60,40,0,0,,
,17,21.714,3.4,0.627,34,6.72,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,40,0,0,,
