,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,4.5,0.594,45,,31.416,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.386,3.4,2.904,34,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.29,4.5,0.627,45,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,15,15,71.42857143,,
,4,4.917,3.4,0.693,34,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,19,4,19.04761905,,
,5,5.61,4.4,1.287,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,20,1,4.761904762,,
,6,6.897,3.4,1.254,34,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,20,0,0,,
,7,8.151,4.4,1.782,44,6.72,,,,,,,,,,,,,6,20,24,21,1,4.761904762,,
,8,9.933,3.4,0.363,34,6.72,,,目視時間の分布（秒）,,31.416,,,,,,,,7,24,28,21,0,0,,
,9,10.296,4.4,2.145,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,21,0,0,,
,10,12.441,3.4,3.663,34,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,21,0,0,,
,11,16.104,4.4,4.455,44,6.72,,,4,0,0,0,12.012,1.947,0,0,0,,10,36,40,21,0,0,,
,12,20.559,3.4,2.475,34,6.72,,,3,0,0,0,16.665,0.396,0,0.231,0,,11,40,44,21,0,0,,
,13,23.034,3.5,0.099,35,7.4575,,,2,0,0,0,0.165,0,0,0,0,,12,44,48,21,0,0,,
,14,23.133,4.5,0.429,45,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,21,0,0,,
,15,23.562,4.4,0.429,44,7.4575,,,,,,,,,,,,,14,52,56,21,0,0,,
