,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.254,3.5,0.429,35,,18.645,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.683,4.5,0.561,45,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.244,5.5,0.429,55,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,29,29,76.31578947,,
,4,2.673,4.5,0.231,45,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,32,3,7.894736842,,
,5,2.904,3.5,1.65,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,37,5,13.15789474,,
,6,4.554,3.3,0.198,33,14.915,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,37,0,0,,
,7,4.752,3.5,0.132,35,14.915,,,,,,,,,,,,,6,20,24,38,1,2.631578947,,
,8,4.884,3.6,0.759,36,7.4575,,,目視時間の分布（秒）,,18.645,,,,,,,,7,24,28,38,0,0,,
,9,5.643,3.5,1.716,35,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,38,0,0,,
,10,7.359,2.6,0.165,26,10.03856097,,,5,0,1.155,0.396,0,0.429,0,0,0,,9,32,36,38,0,0,,
,11,7.524,2.7,0.792,27,7.4575,,,4,0,0.33,0,0,0.792,0,0,0,,10,36,40,38,0,0,,
,12,8.316,3.7,0.594,37,6.72,,,3,0,0.297,2.706,0.759,4.092,1.716,0.627,0,,11,40,44,38,0,0,,
,13,8.91,3.6,0.759,36,7.4575,,,2,0,0.858,0.165,0.099,0.396,1.65,2.178,0,,12,44,48,38,0,0,,
,14,9.669,2.6,1.386,26,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,38,0,0,,
