,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.65,3.4,0.495,34,,18.838,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.145,4.5,0.528,45,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.673,2.5,0.693,25,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,24.3902439,,
,4,3.366,2.7,0.132,27,14.915,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,18,8,19.51219512,,
,5,3.498,4.5,0.33,45,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,27,9,21.95121951,,
,6,3.828,1.7,0.264,17,25.07753626,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,31,4,9.756097561,,
,7,4.092,2.5,1.287,25,16.35896161,,,,,,,,,,,,,6,20,24,37,6,14.63414634,,
,8,5.379,4.4,0.363,44,15.37035804,,,目視時間の分布（秒）,,18.838,,,,,,,,7,24,28,39,2,4.87804878,,
,9,5.742,4.5,0.198,45,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,40,1,2.43902439,,
,10,5.94,5.4,0.231,54,10.03856097,,,5,0,0.528,0,0.231,0,0,0,0,,9,32,36,41,1,2.43902439,,
,11,6.171,5.2,0.297,52,14.915,,,4,0,0,1.221,0.693,1.056,0,0,0,,10,36,40,41,0,0,,
,12,6.468,4.4,0.33,44,16.35896161,,,3,0,0,0,1.419,0.429,1.716,0.396,0,,11,40,44,41,0,0,,
,13,6.798,3.5,0.198,35,10.03856097,,,2,0,0,0.985,1.452,2.772,2.871,2.211,0,,12,44,48,41,0,0,,
,14,6.996,3.7,0.396,37,14.915,,,1,0,0,0,0,0,0.594,0.264,0,,13,48,52,41,0,0,,
,15,7.392,2.5,0.33,25,16.35896161,,,,,,,,,,,,,14,52,56,41,0,0,,
,16,7.722,1.6,0.231,16,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,41,0,0,,
,17,7.953,2.5,0.363,25,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,41,0,0,,
