,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,10.123,9.9,0.957,,,16.764,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,11.08,4.5,0.891,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,11.971,3.4,0.627,34,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,50,,
,4,12.598,3.5,0.297,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,13,3,15,,
,5,12.895,5.3,0.792,53,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,15,2,10,,
,6,13.687,3.5,1.188,35,20.07712193,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,15,0,0,,
,7,14.875,2.6,0.627,26,10.03856097,,,,,,,,,,,,,6,20,24,18,3,15,,
,8,15.502,2.7,0.759,27,7.4575,,,目視時間の分布（秒）,,15.807,,,,,,,,7,24,28,19,1,5,,
,9,16.261,2.6,1.65,26,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,20,1,5,,
,10,17.911,2.2,0.528,22,29.83,,,5,0,0,2.079,0,0,0,0,0,,9,32,36,20,0,0,,
,11,18.439,2.3,0.891,23,7.4575,,,4,0,0,0.363,0,0.891,0,0,0,,10,36,40,20,0,0,,
,12,19.33,3.3,0.66,33,6.72,,,3,0,0,1.353,0.924,2.871,0,0,0,,11,40,44,20,0,0,,
,13,19.99,4.3,0.363,43,6.72,,,2,0.924,0.528,0.891,0.66,0.33,2.343,0.759,0,,12,44,48,20,0,0,,
,14,20.353,5.3,1.287,53,6.72,,,1,0,0,0,0,0,0.891,0,0,,13,48,52,20,0,0,,
,15,21.64,2.1,0.924,21,25.07753626,,,,,,,,,,,,,14,52,56,20,0,0,,
