,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.993,9.9,0.033,,,18.975,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.026,2.2,0.33,22,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.356,3.2,0.165,32,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,45,45,80.35714286,,
,4,4.521,2.3,0.198,23,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,48,3,5.357142857,,
,5,4.719,2.4,0.231,24,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,49,1,1.785714286,,
,6,4.95,3.4,0.066,34,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,53,4,7.142857143,,
,7,5.016,3.5,0.165,35,7.4575,,,,,,,,,,,,,6,20,24,56,3,5.357142857,,
,8,5.181,4.5,0.231,45,6.72,,,目視時間の分布（秒）,,18.942,,,,,,,,7,24,28,56,0,0,,
,9,5.412,3.5,0.132,35,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,56,0,0,,
,10,5.544,2.5,0.528,25,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,56,0,0,,
,11,6.072,1.5,0.396,15,6.72,,,4,0,0,0,0,0.231,0,0,0,,10,36,40,56,0,0,,
,12,6.468,2.5,0.198,25,6.72,,,3,0,0.165,0,0.066,0.297,0,0,0,,11,40,44,56,0,0,,
,13,6.666,1.3,0.099,13,16.35896161,,,2,0,0.33,0.528,3.63,2.079,0.825,0.033,0,,12,44,48,56,0,0,,
,14,6.765,1.2,0.264,12,7.4575,,,1,0,0.726,1.089,0.627,0.759,2.904,4.653,0,,13,48,52,56,0,0,,
