,,15.598,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.165,9.9,0.957,,,19.855,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.122,2.4,0.198,24,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.32,2.5,0.165,25,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,8,8,72.72727273,,
,4,1.485,9.9,2.145,99,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,10,2,18.18181818,,
,5,3.63,5.5,0.099,55,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,11,1,9.090909091,,
,6,3.729,0,0.726,0,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,11,0,0,,
,7,4.455,5.4,0.165,54,,,,,,,,,,,,,,6,20,24,11,0,0,,
,8,4.62,5.5,0.033,55,7.4575,,,目視時間の分布（秒）,,2.937,,,,,,,,7,24,28,11,0,0,,
,9,4.653,4.5,0.165,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,11,0,0,,
,10,4.818,3.5,0.594,35,6.72,,,5,0.231,0,0,0.165,0.132,0,0,0,,9,32,36,11,0,0,,
,11,5.412,2.5,0.066,25,6.72,,,4,0.132,0,0,0,0.165,0,0,0,,10,36,40,11,0,0,,
,12,5.478,9.9,4.554,99,,,,3,0,0.66,0.099,0,0.594,0,0,0,,11,40,44,11,0,0,,
,13,10.032,3.2,0.132,32,,,,2,0,0.132,0.132,0.264,0.231,0,0,0,,12,44,48,11,0,0,,
,14,10.164,5.1,0.231,51,15.37035804,,,1,0,0,0,0,0,0,0,0,,13,48,52,11,0,0,,
,15,10.395,4.1,0.132,41,6.72,,,,,,,,,,,,,14,52,56,11,0,0,,
,16,10.527,3.2,0.528,32,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,11,0,0,,
,17,11.055,3.3,0.099,33,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,11,0,0,,
,18,11.154,2.2,0.132,22,10.03856097,,,5,7.9,0.0,0.0,5.6,4.5,0.0,0.0,0.0,,17,64,68,11,0,0,,
,19,11.286,9.9,3.663,99,,,,4,4.5,0.0,0.0,0.0,5.6,0.0,0.0,0.0,,18,68,72,11,0,0,,
,20,14.949,0,0.33,0,,,,3,0.0,22.5,3.4,0.0,20.2,0.0,0.0,0.0,,19,72,76,11,0,0,,
,21,15.279,2.3,0.132,23,,,,2,0.0,4.5,4.5,9.0,7.9,0.0,0.0,0.0,,20,76,80,11,0,0,,
,22,15.411,2.4,0.066,24,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,15.477,9.9,0.396,99,,,,,,,,,,,,,,,,,,,,,
,24,15.873,0,0.264,0,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,16.137,9.9,3.883,99,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,20.02,9.9,,,,,,5,4,13,13,6,8,13,13,13,,,,,,,,,
,観測時間［秒］,19.855,,,,,,,4,8,13,13,13,6,13,13,13,,,,,,,,,
,,,,,最少移動距離,6.72,,,3,13,1,12,13,2,13,13,13,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.55,最大移動距離,15.37,,,2,13,8,8,3,4,13,13,13,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.28,平均移動距離,8.38,,,1,13,13,13,13,13,13,13,13,,,,,,,,,
,,,,,距離標準偏差,2.50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
