,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.089,2.5,2.178,25,,18.942,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.267,2.6,0.165,26,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.432,1.7,1.155,17,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,40,40,80,,
,4,4.587,2.7,0.792,27,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,47,7,14,,
,5,5.379,2.6,0.264,26,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,49,2,4,,
,6,5.643,1.6,0.231,16,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,49,0,0,,
,7,5.874,1.5,0.099,15,7.4575,,,,,,,,,,,,,6,20,24,50,1,2,,
,8,5.973,1.3,0.165,13,14.915,,,目視時間の分布（秒）,,18.942,,,,,,,,7,24,28,50,0,0,,
,9,6.138,1.2,0.132,12,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,50,0,0,,
,10,6.27,2.2,0.099,22,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,50,0,0,,
,11,6.369,2.3,0.033,23,7.4575,,,4,0,0,0.495,0.198,0.297,0,0,0,,10,36,40,50,0,0,,
,12,6.402,2.4,0.165,24,7.4575,,,3,0,0,0,1.122,0.066,0.528,0,0,,11,40,44,50,0,0,,
,13,6.567,2.5,0.132,25,7.4575,,,2,0,0.099,2.046,1.221,2.739,2.706,3.531,0,,12,44,48,50,0,0,,
,14,6.699,2.6,0.165,26,7.4575,,,1,0,0.132,0.165,0.165,0.165,0.924,2.343,0,,13,48,52,50,0,0,,
