,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.33,1.4,0.132,14,,18.876,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.462,1.5,0.099,15,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,0.561,2.5,0.297,25,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,54,54,77.14285714,,
,4,0.858,1.5,0.132,15,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,63,9,12.85714286,,
,5,0.99,2.5,0.198,25,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,67,4,5.714285714,,
,6,1.188,3.5,0.594,35,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,68,1,1.428571429,,
,7,1.782,2.5,0.759,25,6.72,,,,,,,,,,,,,6,20,24,69,1,1.428571429,,
,8,2.541,3.5,0.429,35,6.72,,,目視時間の分布（秒）,,18.876,,,,,,,,7,24,28,69,0,0,,
,9,2.97,2.5,0.231,25,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,69,0,0,,
,10,3.201,4.5,0.165,45,13.44,,,5,0,0,0.198,0.429,0.033,0,0,0,,9,32,36,69,0,0,,
,11,3.366,5.5,0.033,55,6.72,,,4,0,0,0.231,0.198,0.363,0,0,0,,10,36,40,70,1,1.428571429,,
,12,3.399,5.4,0.429,54,7.4575,,,3,0,0,0.33,0.858,1.221,0.165,0.627,0,,11,40,44,70,0,0,,
,13,3.828,4.5,0.198,45,10.03856097,,,2,0,0.495,0.924,1.65,2.541,1.584,1.485,0,,12,44,48,70,0,0,,
,14,4.026,2.6,0.066,26,15.37035804,,,1,0,0,0,0.132,0.561,1.749,3.102,0,,13,48,52,70,0,0,,
,15,4.092,2.7,0.264,27,7.4575,,,,,,,,,,,,,14,52,56,70,0,0,,
,16,4.356,1.7,0.462,17,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,70,0,0,,
,17,4.818,2.2,0.495,22,37.88820471,,,,1,2,3,4,5,6,7,8,,16,60,64,70,0,0,,
,18,5.313,2.3,0.066,23,7.4575,,,5,0.0,0.0,1.0,2.3,0.2,0.0,0.0,0.0,,17,64,68,70,0,0,,
,19,5.379,2.4,0.264,24,7.4575,,,4,0.0,0.0,1.2,1.0,1.9,0.0,0.0,0.0,,18,68,72,70,0,0,,
,20,5.643,2.5,0.66,25,7.4575,,,3,0.0,0.0,1.7,4.5,6.5,0.9,3.3,0.0,,19,72,76,70,0,0,,
,21,6.303,1.6,0.759,16,10.03856097,,,2,0.0,2.6,4.9,8.7,13.5,8.4,7.9,0.0,,20,76,80,70,0,0,,
,22,7.062,1.7,0.297,17,7.4575,,,1,0.0,0.0,0.0,0.7,3.0,9.3,16.4,0.0,,,,,,,100,,
,23,7.359,3.5,0.132,35,20.07712193,,,,,,,,,,,,,,,,,,,,
,24,7.491,3.4,0.198,34,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,7.689,2.4,0.726,24,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,8.415,2.5,0.132,25,7.4575,,,5,22,22,17,13,21,22,22,22,,,,,,,,,
,27,8.547,2.6,0.759,26,7.4575,,,4,22,22,16,17,14,22,22,22,,,,,,,,,
,28,9.306,1.6,0.495,16,6.72,,,3,22,22,15,9,7,19,10,22,,,,,,,,,
,29,9.801,1.7,0.231,17,7.4575,,,2,22,12,8,4,2,5,6,22,,,,,,,,,
,30,10.032,2.7,0.198,27,6.72,,,1,22,22,22,20,11,3,1,22,,,,,,,,,
,31,10.23,2.6,0.066,26,7.4575,,,,,,,,,,,,,,,,,,,,
,32,10.296,3.6,0.165,36,6.72,,,,,,,,,,,,,,,,,,,,
,33,10.461,3.5,0.066,35,7.4575,,,目視個所Ｔｏｐ　No.1,1.7,1,,5.1,22,,,,,,,,,,,,
,34,10.527,3.4,0.165,34,7.4575,,,目視個所Ｔｏｐ　No.2,2.5,2,,4.1,22,,,,,,,,,,,,
,35,10.692,4.4,0.198,44,6.72,,,目視個所Ｔｏｐ　No.3,1.6,3,,3.1,22,,,,,,,,,,,,
,36,10.89,3.4,0.066,34,6.72,,,目視個所Ｔｏｐ　No.4,2.4,4,,2.1,22,,,,,,,,,,,,
,37,10.956,3.3,0.099,33,7.4575,,,目視個所Ｔｏｐ　No.5,2.6,5,,1.1,22,,,,,,,,,,,,
,38,11.055,2.3,0.264,23,6.72,,,目視個所（累積ではない）,21,,,5.2,22,,,,,,,,,,,,
,39,11.319,2.4,0.297,24,7.4575,,,非目視個所,19,,,4.2,22,,,,,,,,,,,,
,40,11.616,1.5,0.066,15,10.03856097,,,合計,40,,,3.2,22,,,,,,,,,,,,
,41,11.682,1.6,0.297,16,7.4575,,,,,,,2.2,12,,,,,,,,,,,,
,42,11.979,1.7,0.627,17,7.4575,,,,,,,1.2,22,,,,,,,,,,,,
,43,12.606,2.6,0.297,26,10.03856097,,,,,,,5.3,17,,,,,,,,,,,,
,44,12.903,2.7,0.165,27,7.4575,,,,,,,4.3,16,,,,,1,2,3,4,5,6,7,8
,45,13.068,1.7,0.396,17,6.72,,,,,,,3.3,15,,,,5,22,22,17,13,21,22,22,22
,46,13.464,2.6,0.132,26,10.03856097,,,,,,,2.3,8,,,,4,22,22,16,17,14,22,22,22
,47,13.596,3.4,0.231,34,16.35896161,,,,,,,1.3,22,,,,3,22,22,15,9,7,19,10,22
,48,13.827,3.3,0.231,33,7.4575,,,,,,,5.4,13,,,,2,22,12,8,4,2,5,6,22
,49,14.058,4.3,0.099,43,6.72,,,,,,,4.4,17,,,,1,22,22,22,20,11,3,1,22
,50,14.157,5.3,0.198,53,6.72,,,,,,,3.4,9,,,,,,,,,,,,
,51,14.355,4.3,0.132,43,6.72,,,,,,,2.4,4,,,,,,,,,,,,
,52,14.487,2.3,0.594,23,13.44,,,,,,,1.4,20,,,,,,,,,,,,
,53,15.081,2.4,0.066,24,7.4575,,,,,,,5.5,21,,,,,,,,,,,,
,54,15.147,1.5,0.066,15,10.03856097,,,,,,,4.5,14,,,,,,,,,,,,
,55,15.213,1.6,0.132,16,7.4575,,,,,,,3.5,7,,,,,,,,,,,,
,56,15.345,2.7,0.297,27,10.03856097,,,,,,,2.5,2,,,,,,,,,,,,
,57,15.642,3.7,0.627,37,6.72,,,,,,,1.5,11,,,,,,,,,,,,
,58,16.269,2.7,0.231,27,6.72,,,,,,,5.6,22,,,,,,,,,,,,
,59,16.5,1.7,0.924,17,6.72,,,,,,,4.6,22,,,,,,,,,,,,
,60,17.424,1.5,0.099,15,14.915,,,,,,,3.6,19,,,,,,,,,,,,
,61,17.523,2.5,0.099,25,6.72,,,,,,,2.6,5,,,,,,,,,,,,
,62,17.622,2.4,0.099,24,7.4575,,,,,,,1.6,3,,,,,,,,,,,,
,63,17.721,3.4,0.198,34,6.72,,,,,,,5.7,22,,,,,,,,,,,,
,64,17.919,2.5,0.165,25,10.03856097,,,,,,,4.7,22,,,,,,,,,,,,
,65,18.084,2.6,0.264,26,7.4575,,,,,,,3.7,10,,,,,,,,,,,,
,66,18.348,2.7,0.33,27,7.4575,,,,,,,2.7,6,,,,,,,,,,,,
,67,18.678,1.7,0.165,17,6.72,,,,,,,1.7,1,,,,,,,,,,,,
,68,18.843,1.6,0.066,16,7.4575,,,,,,,5.8,22,,,,,,,,,,,,
,69,18.909,1.5,0.099,15,7.4575,,,,,,,4.8,22,,,,,,,,,,,,
,70,19.008,2.4,0.198,24,10.03856097,,,,,,,3.8,22,,,,,,,,,,,,
