,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.333,9.9,0.429,,,18.876,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.762,3.5,0.264,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.026,2.4,0.099,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,25.64102564,,
,4,4.125,3.5,0.396,35,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,17,7,17.94871795,,
,5,4.521,4.5,0.132,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,22,5,12.82051282,,
,6,4.653,4.6,0.33,46,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,23,1,2.564102564,,
,7,4.983,2.5,0.429,25,15.37035804,,,,,,,,,,,,,6,20,24,33,10,25.64102564,,
,8,5.412,5.5,0.495,55,20.16,,,目視時間の分布（秒）,,18.447,,,,,,,,7,24,28,35,2,5.128205128,,
,9,5.907,1.8,0.528,18,34.97231986,,,,1,2,3,4,5,6,7,8,,8,28,32,37,2,5.128205128,,
,10,6.435,2.2,0.627,22,45.24680569,,,5,0,0,0.594,0.693,0.495,0,0,0,,9,32,36,38,1,2.564102564,,
,11,7.062,4.4,0.132,44,20.07712193,,,4,0,0,1.254,1.023,0.132,0.33,0,0,,10,36,40,38,0,0,,
,12,7.194,2.2,0.66,22,20.07712193,,,3,0,0,1.419,0.759,0.66,0.363,0.066,0,,11,40,44,38,0,0,,
,13,7.854,3.4,0.462,34,16.35896161,,,2,0,1.287,0,2.97,2.013,0.528,0.231,1.683,,12,44,48,39,1,2.564102564,,
