,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.561,2.5,0.528,25,,18.81,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.089,2.4,0.066,24,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.155,3.4,0.066,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,52,52,77.6119403,,
,4,1.221,4.5,0.33,45,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,64,12,17.91044776,,
,5,1.551,3.5,0.165,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,65,1,1.492537313,,
,6,1.716,2.5,0.462,25,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,67,2,2.985074627,,
,7,2.178,2.4,0.099,24,7.4575,,,,,,,,,,,,,6,20,24,67,0,0,,
,8,2.277,2.3,0.231,23,7.4575,,,目視時間の分布（秒）,,18.81,,,,,,,,7,24,28,67,0,0,,
,9,2.508,2.2,0.264,22,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,67,0,0,,
,10,2.772,2.3,0.066,23,7.4575,,,5,0,0,0,0.264,0,0,0,0,,9,32,36,67,0,0,,
,11,2.838,2.4,0.033,24,7.4575,,,4,0,0,0.489,0.825,0.429,0,0,0,,10,36,40,67,0,0,,
,12,2.871,2.5,1.221,25,7.4575,,,3,0,0.231,0.132,1.062,0.627,0,0,0,,11,40,44,67,0,0,,
,13,4.092,3.5,0.033,35,6.72,,,2,0,0.264,0.924,1.221,4.191,1.716,0,0,,12,44,48,67,0,0,,
,14,4.125,4.4,0.33,44,10.03856097,,,1,0,0,1.023,0.264,0.198,3.927,1.023,0,,13,48,52,67,0,0,,
,15,4.455,5.4,0.264,54,6.72,,,,,,,,,,,,,14,52,56,67,0,0,,
,16,4.719,4.5,0.033,45,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,67,0,0,,
,17,4.752,3.5,0.066,35,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,67,0,0,,
,18,4.818,2.6,0.462,26,10.03856097,,,5,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,,17,64,68,67,0,0,,
,19,5.28,1.7,0.33,17,10.03856097,,,4,0.0,0.0,2.6,4.4,2.3,0.0,0.0,0.0,,18,68,72,67,0,0,,
,20,5.61,1.6,0.891,16,7.4575,,,3,0.0,1.2,0.7,5.6,3.3,0.0,0.0,0.0,,19,72,76,67,0,0,,
,21,6.501,2.5,0.99,25,10.03856097,,,2,0.0,1.4,4.9,6.5,22.3,9.1,0.0,0.0,,20,76,80,67,0,0,,
,22,7.491,2.6,0.495,26,7.4575,,,1,0.0,0.0,5.4,1.4,1.1,20.9,5.4,0.0,,,,,,,100,,
,23,7.986,2.5,0.429,25,7.4575,,,,,,,,,,,,,,,,,,,,
,24,8.415,2.6,0.297,26,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,8.712,1.6,1.65,16,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,10.362,2.6,0.033,26,6.72,,,5,19,19,19,14,19,19,19,19,,,,,,,,,
,27,10.395,2.5,0.297,25,7.4575,,,4,19,19,11,9,12,19,19,19,,,,,,,,,
,28,10.692,2.6,0.165,26,7.4575,,,3,19,16,18,5,10,19,19,19,,,,,,,,,
