,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
動画開始時刻,1,0.561,3.5,0.33,35,,18.843,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,0.891,4.5,0.132,45,6.72,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,1.023,3.5,0.165,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,46,46,77.96610169,,
,4,1.188,2.5,0.759,25,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,53,7,11.86440678,,
,5,1.947,1.5,0.132,15,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,56,3,5.084745763,,
,6,2.079,1.4,0.099,14,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,58,2,3.389830508,,
,7,2.178,1.5,0.066,15,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,59,1,1.694915254,,
,8,2.244,1.6,0.33,16,7.4575,,,,,,,,,,,,,7,24,28,59,0,0,,
,9,2.574,1.7,0.198,17,7.4575,,,目視時間の分布（秒）,,18.843,,,,,,,,8,28,32,59,0,0,,
,10,2.772,1.8,0.231,18,7.4575,,,,1,2,3,4,5,6,7,8,,9,32,36,59,0,0,,
,11,3.003,1.7,0.132,17,7.4575,,,5,0,0,0,0,0,0,0,0,,10,36,40,59,0,0,,
,12,3.135,1.6,0.066,16,7.4575,,,4,0,0,0,0.231,0.132,0,0,0,,11,40,44,59,0,0,,
,13,3.201,2.6,0.825,26,6.72,,,3,0,0,0,0,0.792,0,0,0,,12,44,48,59,0,0,,
,14,4.026,2.5,1.023,25,7.4575,,,2,0,0,0.264,1.683,3.036,2.145,0.825,0,,13,48,52,59,0,0,,
,15,5.049,3.5,0.198,35,6.72,,,1,0,0,0.231,0.363,0.561,1.353,6.996,0.231,,14,52,56,59,0,0,,
,16,5.247,4.4,0.231,44,10.03856097,,,,,,,,,,,,,15,56,60,59,0,0,,
,17,5.478,3.5,0.099,35,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,59,0,0,,
,18,5.577,2.6,0.198,26,10.03856097,,,,1,2,3,4,5,6,7,8,,17,64,68,59,0,0,,
,19,5.775,1.6,0.099,16,6.72,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,59,0,0,,
,20,5.874,1.7,0.363,17,7.4575,,,4,0.0,0.0,0.0,1.2,0.7,0.0,0.0,0.0,,19,72,76,59,0,0,,
,21,6.237,1.6,0.099,16,7.4575,,,3,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,,20,76,80,59,0,0,,
,22,6.336,1.7,1.122,17,7.4575,,,2,0.0,0.0,1.4,8.9,16.1,11.4,4.4,0.0,,,,,,,100,,
,23,7.458,1.6,0.033,16,7.4575,,,1,0.0,0.0,1.2,1.9,3.0,7.2,37.1,1.2,,,,,,,,,
,24,7.491,2.5,0.66,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,25,8.151,2.6,0.132,26,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,8.283,1.6,0.231,16,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,8.514,1.7,0.66,17,7.4575,,,5,15,15,15,15,15,15,15,15,,,,,,,,,
,28,9.174,2.7,0.297,27,6.72,,,4,15,15,15,12,14,15,15,15,,,,,,,,,
,29,9.471,1.7,1.749,17,6.72,,,3,15,15,15,15,7,15,15,15,,,,,,,,,
,30,11.22,2.7,0.528,27,6.72,,,2,15,15,10,4,2,3,6,15,,,,,,,,,
,31,11.748,2.5,0.066,25,14.915,,,1,15,15,12,9,8,5,1,11,,,,,,,,,
