,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.386,9.9,0.891,,,18.843,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.277,3.4,0.33,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.607,5.5,0.561,55,15.37035804,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,10,10,30.3030303,,
,4,3.168,2.3,0.33,23,25.07753626,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,17,7,21.21212121,,
,5,3.498,2.4,0.429,24,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,20,3,9.090909091,,
,6,3.927,1.5,0.099,15,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,24,4,12.12121212,,
,7,4.026,2.6,0.66,26,10.03856097,,,,,,,,,,,,,6,20,24,28,4,12.12121212,,
,8,4.686,9.9,0.132,99,,,,目視時間の分布（秒）,,17.655,,,,,,,,7,24,28,31,3,9.090909091,,
,9,4.818,3.5,0.627,35,,,,,1,2,3,4,5,6,7,8,,8,28,32,33,2,6.060606061,,
,10,5.445,2.6,0.132,26,10.03856097,,,5,0,0.693,2.178,0.759,0.561,0,0,0,,9,32,36,33,0,0,,
,11,5.577,4.4,0.066,44,20.07712193,,,4,0,0,0.66,0.066,0.396,0,0,0,,10,36,40,33,0,0,,
,12,5.643,5.4,0.759,54,6.72,,,3,0,0,0.726,0.99,0.627,0.495,0.627,0.099,,11,40,44,33,0,0,,
,13,6.402,5.3,0.594,53,7.4575,,,2,0,0,0.594,0.462,0.495,4.125,2.244,0,,12,44,48,33,0,0,,
,14,6.996,2.6,1.485,26,30.1156829,,,1,0,0,0.297,0.033,0.528,0,0,0,,13,48,52,33,0,0,,
