,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.749,1.5,0.033,15,,18.777,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.782,1.4,0.198,14,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.98,1.3,0.396,13,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,57,57,91.93548387,,
,4,2.376,2.3,0.066,23,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,61,4,6.451612903,,
,5,2.442,2.4,0.165,24,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,62,1,1.612903226,,
,6,2.607,2.5,2.046,25,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,62,0,0,,
,7,4.653,3.5,0.066,35,6.72,,,,,,,,,,,,,6,20,24,62,0,0,,
,8,4.719,4.5,0.132,45,6.72,,,目視時間の分布（秒）,,18.777,,,,,,,,7,24,28,62,0,0,,
,9,4.851,4.4,0.495,44,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,62,0,0,,
,10,5.346,3.4,0.33,34,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,62,0,0,,
,11,5.676,2.4,0.066,24,6.72,,,4,0,0,0.594,0.693,0.132,0,0,0,,10,36,40,62,0,0,,
,12,5.742,2.5,0.231,25,7.4575,,,3,0,0,1.254,1.815,0.462,0,0,0,,11,40,44,62,0,0,,
,13,5.973,2.6,0.495,26,7.4575,,,2,0,0.165,0.924,3.498,3.498,1.386,0.231,0,,12,44,48,62,0,0,,
,14,6.468,2.5,0.033,25,7.4575,,,1,0,0.363,2.079,0.495,0.165,0.429,0.594,0,,13,48,52,62,0,0,,
,15,6.501,2.6,0.099,26,7.4575,,,,,,,,,,,,,14,52,56,62,0,0,,
,16,6.6,1.7,0.594,17,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,62,0,0,,
,17,7.194,1.6,0.297,16,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,62,0,0,,
,18,7.491,1.4,0.264,14,14.915,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,62,0,0,,
