,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.3,9.9,0.561,,,54.813,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.861,3.5,0.924,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.785,2.4,0.957,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,34.48275862,,
,4,5.742,1.3,0.915,13,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,39,19,32.75862069,,
,5,6.657,2.4,4.629,24,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,44,5,8.620689655,,
,6,11.286,9.9,0.528,99,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,50,6,10.34482759,,
,7,11.814,2.6,0.825,26,,,,,,,,,,,,,,6,20,24,55,5,8.620689655,,
,8,12.639,2.3,1.518,23,22.3725,,,目視時間の分布（秒）,,52.899,,,,,,,,7,24,28,58,3,5.172413793,,
,9,14.157,3.4,0.825,34,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,58,0,0,,
,10,14.982,2.3,0.297,23,10.03856097,,,5,0,0,0,0,2.904,0,0,0,,9,32,36,58,0,0,,
,11,15.279,1.2,0.726,12,10.03856097,,,4,0,0,0,0,0.825,1.32,0.231,0,,10,36,40,58,0,0,,
,12,16.005,2.3,1.023,23,10.03856097,,,3,0,0,8.877,11.583,1.98,0.396,0,0,,11,40,44,58,0,0,,
,13,17.028,3.4,0.726,34,10.03856097,,,2,0,0.627,9.207,10.008,0.858,1.914,0,0,,12,44,48,58,0,0,,
,14,17.754,2.6,0.561,26,16.35896161,,,1,0,0.726,0.981,0.297,0,0.165,0,0,,13,48,52,58,0,0,,
,15,18.315,2.4,0.066,24,14.915,,,,,,,,,,,,,14,52,56,58,0,0,,
,16,18.381,3.4,0.825,34,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,58,0,0,,
,17,19.206,2.3,0.693,23,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,58,0,0,,
,18,19.899,5.5,0.891,55,25.07753626,,,5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,,17,64,68,58,0,0,,
,19,20.79,1.4,0.297,14,27.89531692,,,4,0.0,0.0,0.0,0.0,1.6,2.5,0.4,0.0,,18,68,72,58,0,0,,
,20,21.087,2.3,0.297,23,10.03856097,,,3,0.0,0.0,16.8,21.9,3.7,0.7,0.0,0.0,,19,72,76,58,0,0,,
,21,21.384,2.4,0.429,24,7.4575,,,2,0.0,1.2,17.4,18.9,1.6,3.6,0.0,0.0,,20,76,80,58,0,0,,
,22,21.813,2.3,0.627,23,7.4575,,,1,0.0,1.4,1.9,0.6,0.0,0.3,0.0,0.0,,,,,,,100,,
,23,22.44,3.4,0.726,34,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,23.166,3.3,0.462,33,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,23.628,3.4,1.155,34,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,24.783,3.3,1.782,33,7.4575,,,5,18,18,18,18,5,18,18,18,,,,,,,,,
