,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.65,2.5,0.363,25,,53.13,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.013,3.5,0.165,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.178,2.4,0.396,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,39,39,53.42465753,,
,4,2.574,2.3,0.594,23,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,51,12,16.43835616,,
,5,3.168,1.3,0.858,13,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,55,4,5.479452055,,
,6,4.026,5.5,0.264,55,30.74071608,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,57,2,2.739726027,,
,7,4.29,2.4,1.221,24,21.49511354,,,,,,,,,,,,,6,20,24,63,6,8.219178082,,
,8,5.511,1.3,2.013,13,10.03856097,,,目視時間の分布（秒）,,53.13,,,,,,,,7,24,28,68,5,6.849315068,,
,9,7.524,2.3,1.65,23,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,73,5,6.849315068,,
,10,9.174,1.3,1.089,13,6.72,,,5,0,0,0,0,0.99,0,0,0,,9,32,36,73,0,0,,
,11,10.263,5.5,0.264,55,30.74071608,,,4,0,0,0,0.297,0.957,0.396,0,0,,10,36,40,73,0,0,,
,12,10.527,2.7,0.33,27,25.07753626,,,3,0,0,0,0.561,0.726,0.693,0,0,,11,40,44,73,0,0,,
,13,10.857,1.3,1.419,13,30.57756203,,,2,0,0,21.318,4.686,0.957,0.528,0.726,0,,12,44,48,73,0,0,,
,14,12.276,1.4,0.132,14,7.4575,,,1,0,2.343,16.071,0.495,0.693,0.165,0.528,0,,13,48,52,73,0,0,,
,15,12.408,1.3,0.792,13,7.4575,,,,,,,,,,,,,14,52,56,73,0,0,,
,16,13.2,2.3,1.122,23,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,73,0,0,,
,17,14.322,1.3,2.277,13,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,73,0,0,,
,18,16.599,2.3,2.046,23,6.72,,,5,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,,17,64,68,73,0,0,,
,19,18.645,1.3,0.594,13,6.72,,,4,0.0,0.0,0.0,0.6,1.8,0.7,0.0,0.0,,18,68,72,73,0,0,,
,20,19.239,1.2,0.495,12,7.4575,,,3,0.0,0.0,0.0,1.1,1.4,1.3,0.0,0.0,,19,72,76,73,0,0,,
,21,19.734,3.4,0.33,34,20.07712193,,,2,0.0,0.0,40.1,8.8,1.8,1.0,1.4,0.0,,20,76,80,73,0,0,,
,22,20.064,2.6,0.528,26,16.35896161,,,1,0.0,4.4,30.2,0.9,1.3,0.3,1.0,0.0,,,,,,,100,,
,23,20.592,1.6,0.165,16,6.72,,,,,,,,,,,,,,,,,,,,
,24,20.757,1.5,0.33,15,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,21.087,2.3,1.881,23,16.35896161,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,22.968,2.4,0.429,24,7.4575,,,5,19,19,19,19,5,19,19,19,,,,,,,,,
,27,23.397,1.3,0.561,13,10.03856097,,,4,19,19,19,17,7,16,19,19,,,,,,,,,
,28,23.958,2.7,0.396,27,30.57756203,,,3,19,19,19,12,9,10,19,19,,,,,,,,,
,29,24.354,5.5,0.165,55,25.07753626,,,2,19,19,1,3,6,13,8,19,,,,,,,,,
,30,24.519,4.6,0.396,46,10.03856097,,,1,19,4,2,15,10,18,13,19,,,,,,,,,
,31,24.915,2.4,0.66,24,20.07712193,,,,,,,,,,,,,,,,,,,,
,32,25.575,1.3,0.231,13,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,25.806,1.4,0.165,14,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,19,,,,,,,,,,,,
