,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.684,9.9,0.912,99,,54.648,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,6.596,4.4,0.672,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.268,2.4,0.858,24,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,22,22,34.375,,
,4,8.126,5.5,0.594,55,21.49511354,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,33,11,17.1875,,
,5,8.72,2.3,0.561,23,25.07753626,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,43,10,15.625,,
,6,9.281,1.3,0.825,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,51,8,12.5,,
,7,10.106,2.3,1.782,23,6.72,,,,,,,,,,,,,6,20,24,57,6,9.375,,
,8,11.888,2.4,0.594,24,7.4575,,,目視時間の分布（秒）,,53.736,,,,,,,,7,24,28,61,4,6.25,,
,9,12.482,3.5,0.627,35,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,64,3,4.6875,,
,10,13.109,3.7,0.462,37,14.915,,,5,0,0,0,0,2.574,0.396,0,0,,9,32,36,64,0,0,,
,11,13.571,2.6,0.396,26,10.03856097,,,4,0,0,0,1.266,3.894,0.429,0.825,0,,10,36,40,64,0,0,,
,12,13.967,2.5,0.33,25,7.4575,,,3,0.297,0,17.457,1.287,2.343,1.716,0.462,0,,11,40,44,64,0,0,,
,13,14.297,3.6,0.627,36,10.03856097,,,2,0,1.023,9.801,1.782,0.792,2.409,2.211,0,,12,44,48,64,0,0,,
,14,14.924,4.5,0.957,45,10.03856097,,,1,0,0,0.825,0.264,0.165,1.518,0,0,,13,48,52,64,0,0,,
,15,15.881,3.4,0.759,34,10.03856097,,,,,,,,,,,,,14,52,56,64,0,0,,
,16,16.64,4.5,0.429,45,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,64,0,0,,
,17,17.069,3.1,0.297,31,30.57756203,,,,1,2,3,4,5,6,7,8,,16,60,64,64,0,0,,
,18,17.366,2.2,1.023,22,10.03856097,,,5,0.0,0.0,0.0,0.0,4.8,0.7,0.0,0.0,,17,64,68,64,0,0,,
,19,18.389,1.4,0.264,14,16.35896161,,,4,0.0,0.0,0.0,2.4,7.2,0.8,1.5,0.0,,18,68,72,64,0,0,,
,20,18.653,1.5,0.165,15,7.4575,,,3,0.6,0.0,32.5,2.4,4.4,3.2,0.9,0.0,,19,72,76,64,0,0,,
,21,18.818,1.6,0.825,16,7.4575,,,2,0.0,1.9,18.2,3.3,1.5,4.5,4.1,0.0,,20,76,80,64,0,0,,
,22,19.643,3.6,0.198,36,13.44,,,1,0.0,0.0,1.5,0.5,0.3,2.8,0.0,0.0,,,,,,,100,,
,23,19.841,5.6,0.396,56,13.44,,,,,,,,,,,,,,,,,,,,
,24,20.237,5.5,0.99,55,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,21.227,2.3,2.442,23,25.07753626,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,23.669,3.3,2.508,33,6.72,,,5,23,23,23,23,4,19,23,23,,,,,,,,,
,27,26.177,2.3,0.99,23,6.72,,,4,23,23,23,12,3,18,14,23,,,,,,,,,
,28,27.167,2.4,0.33,24,7.4575,,,3,20,23,1,11,6,9,17,23,,,,,,,,,
,29,27.497,3.3,1.287,33,10.03856097,,,2,23,13,2,8,16,5,7,23,,,,,,,,,
,30,28.784,4.5,0.825,45,16.35896161,,,1,23,23,15,21,22,10,23,23,,,,,,,,,
,31,29.609,3.3,1.056,33,16.35896161,,,,,,,,,,,,,,,,,,,,
,32,30.665,2.6,1.155,26,23.35994769,,,,,,,,,,,,,,,,,,,,
,33,31.82,2.7,1.221,27,7.4575,,,目視個所Ｔｏｐ　No.1,3.3,1,,5.1,23,,,,,,,,,,,,
,34,33.041,4.7,0.396,47,13.44,,,目視個所Ｔｏｐ　No.2,2.3,2,,4.1,23,,,,,,,,,,,,
,35,33.437,3.3,1.188,33,30.57756203,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,20,,,,,,,,,,,,
,36,34.625,2.3,0.726,23,6.72,,,目視個所Ｔｏｐ　No.4,5.5,4,,2.1,23,,,,,,,,,,,,
