,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.518,1.4,0.396,14,,54.582,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.914,3.4,0.033,34,13.44,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.947,3.5,0.363,35,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,93,93,83.78378378,,
,4,2.31,3.4,0.198,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,107,14,12.61261261,,
,5,2.508,2.4,0.396,24,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,111,4,3.603603604,,
,6,2.904,3.4,0.264,34,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,111,0,0,,
,7,3.168,4.4,0.099,44,6.72,,,,,,,,,,,,,6,20,24,111,0,0,,
,8,3.267,5.4,0.033,54,6.72,,,目視時間の分布（秒）,,54.582,,,,,,,,7,24,28,111,0,0,,
,9,3.3,5.5,0.363,55,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,111,0,0,,
,10,3.663,4.5,0.066,45,6.72,,,5,0,0,0,0.033,3.3,0.594,0,0,,9,32,36,111,0,0,,
,11,3.729,3.4,0.198,34,10.03856097,,,4,0,0,0,0.297,1.485,0.858,0,0,,10,36,40,111,0,0,,
,12,3.927,2.4,0.066,24,6.72,,,3,0,0,7.095,6.897,2.574,4.785,0.693,0,,11,40,44,111,0,0,,
,13,3.993,2.3,1.65,23,7.4575,,,2,0,0,18.81,1.551,1.254,0.99,0.231,0,,12,44,48,111,0,0,,
,14,5.643,3.4,0.231,34,10.03856097,,,1,0,0.429,0.231,1.023,0.231,0.297,0.924,0,,13,48,52,111,0,0,,
