,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,8.553,9.9,1.056,99,,54.747,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,9.609,2.6,0.165,26,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,9.774,3.4,0.495,34,16.35896161,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,17,17,34.69387755,,
,4,10.269,2.4,1.023,24,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,29,12,24.48979592,,
,5,11.292,1.3,1.683,13,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,34,5,10.20408163,,
,6,12.975,4.5,0.627,45,25.07753626,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,36,2,4.081632653,,
,7,13.602,1.3,0.924,13,25.07753626,,,,,,,,,,,,,6,20,24,45,9,18.36734694,,
,8,14.526,0,0.858,0,,,,目視時間の分布（秒）,,44.221,,,,,,,,7,24,28,48,3,6.12244898,,
,9,15.384,4.5,1.287,45,,,,,1,2,3,4,5,6,7,8,,8,28,32,49,1,2.040816327,,
,10,16.671,2.4,3.597,24,15.37035804,,,5,0,0,0,0,0.132,0.891,1.188,0,,9,32,36,49,0,0,,
,11,20.268,2.7,0.297,27,22.3725,,,4,0,0,0,0,3.828,1.551,0,0,,10,36,40,49,0,0,,
,12,20.565,2.4,0.33,24,22.3725,,,3,0,0,0,3.069,0.33,1.452,1.122,0,,11,40,44,49,0,0,,
,13,20.895,1.3,0.396,13,10.03856097,,,2,0,0,10.33,8.25,0,0.561,1.749,0,,12,44,48,49,0,0,,
,14,21.291,2.3,0.957,23,6.72,,,1,0,0,6.237,1.056,1.089,1.122,0.264,0,,13,48,52,49,0,0,,
,15,22.248,3.4,0.363,34,10.03856097,,,,,,,,,,,,,14,52,56,49,0,0,,
,16,22.611,4.5,0.627,45,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,49,0,0,,
,17,23.238,1.5,1.089,15,20.16,,,,1,2,3,4,5,6,7,8,,16,60,64,49,0,0,,
,18,24.327,1.4,0.462,14,7.4575,,,5,0.0,0.0,0.0,0.0,0.3,2.0,2.7,0.0,,17,64,68,49,0,0,,
,19,24.789,2.4,0.66,24,6.72,,,4,0.0,0.0,0.0,0.0,8.7,3.5,0.0,0.0,,18,68,72,49,0,0,,
,20,25.449,2.3,0.264,23,7.4575,,,3,0.0,0.0,0.0,6.9,0.7,3.3,2.5,0.0,,19,72,76,49,0,0,,
,21,25.713,1.3,0.792,13,6.72,,,2,0.0,0.0,23.4,18.7,0.0,1.3,4.0,0.0,,20,76,80,49,0,0,,
,22,26.505,2.3,0.858,23,6.72,,,1,0.0,0.0,14.1,2.4,2.5,2.5,0.6,0.0,,,,,,,100,,
,23,27.363,1.6,0.429,16,23.35994769,,,,,,,,,,,,,,,,,,,,
,24,27.792,1.7,0.264,17,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,28.056,0,0.957,0,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,29.013,4.5,0.165,45,,,,5,19,19,19,19,18,14,9,19,,,,,,,,,
,27,29.178,5.6,0.891,56,10.03856097,,,4,19,19,19,19,4,7,19,19,,,,,,,,,
,28,30.069,2.3,1.452,23,30.1156829,,,3,19,19,19,5,16,8,10,19,,,,,,,,,
,29,31.521,1.3,2.112,13,6.72,,,2,19,19,1,2,19,15,6,19,,,,,,,,,
,30,33.633,2.3,1.287,23,6.72,,,1,19,19,3,13,12,10,17,19,,,,,,,,,
,31,34.92,1.6,0.693,16,23.35994769,,,,,,,,,,,,,,,,,,,,
,32,35.613,3.4,1.122,34,20.07712193,,,,,,,,,,,,,,,,,,,,
,33,36.735,2.3,0.99,23,10.03856097,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,19,,,,,,,,,,,,
,34,37.725,0,2.013,0,,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,19,,,,,,,,,,,,
,35,39.738,2.4,1.881,24,,,,目視個所Ｔｏｐ　No.3,1.3,3,,3.1,19,,,,,,,,,,,,
,36,41.619,2.7,0.429,27,22.3725,,,目視個所Ｔｏｐ　No.4,4.5,4,,2.1,19,,,,,,,,,,,,
,37,42.048,4.6,0.759,46,15.37035804,,,目視個所Ｔｏｐ　No.5,3.4,5,,1.1,19,,,,,,,,,,,,
,38,42.807,4.5,0.957,45,7.4575,,,目視個所（累積ではない）,18,,,5.2,19,,,,,,,,,,,,
,39,43.764,2.3,2.112,23,20.07712193,,,非目視個所,22,,,4.2,19,,,,,,,,,,,,
