,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.594,9.9,0.198,,,54.461,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.792,1.5,0.231,15,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.023,2.5,0.231,25,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,48.7804878,,
,4,1.254,3.5,0.33,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,29,9,21.95121951,,
,5,1.584,2.4,0.297,24,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,33,4,9.756097561,,
,6,1.881,1.3,0.759,13,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,33,0,0,,
,7,2.64,2.4,0.759,24,10.03856097,,,,,,,,,,,,,6,20,24,36,3,7.317073171,,
,8,3.399,2.3,0.792,23,7.4575,,,目視時間の分布（秒）,,54.263,,,,,,,,7,24,28,41,5,12.19512195,,
,9,4.191,1.3,0.759,13,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,41,0,0,,
,10,4.95,3.4,0.957,34,15.37035804,,,5,0,0,0,0,0.561,0.561,0,0,,9,32,36,41,0,0,,
,11,5.907,5.5,0.561,55,15.37035804,,,4,0,0,0,0,0.396,1.518,0,0,,10,36,40,41,0,0,,
,12,6.468,2.4,0.297,24,21.49511354,,,3,0,0,14.333,7.491,3.069,0,0,0,,11,40,44,41,0,0,,
,13,6.765,3.4,1.089,34,6.72,,,2,0,0.429,19.602,2.442,0.231,1.617,0,0,,12,44,48,41,0,0,,
,14,7.854,2.3,0.594,23,10.03856097,,,1,0,0,1.518,0,0.231,0,0.264,0,,13,48,52,41,0,0,,
,15,8.448,3.3,0.99,33,6.72,,,,,,,,,,,,,14,52,56,41,0,0,,
,16,9.438,2.3,1.749,23,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,41,0,0,,
,17,11.187,3.3,1.089,33,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,41,0,0,,
,18,12.276,2.2,0.429,22,10.03856097,,,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,17,64,68,41,0,0,,
,19,12.705,2.3,0.726,23,7.4575,,,4,0.0,0.0,0.0,0.0,0.7,2.8,0.0,0.0,,18,68,72,41,0,0,,
,20,13.431,3.3,0.693,33,6.72,,,3,0.0,0.0,26.4,13.8,5.7,0.0,0.0,0.0,,19,72,76,41,0,0,,
,21,14.124,5.6,0.561,56,26.09908727,,,2,0.0,0.8,36.1,4.5,0.4,3.0,0.0,0.0,,20,76,80,41,0,0,,
,22,14.685,1.7,0.264,17,27.89531692,,,1,0.0,0.0,2.8,0.0,0.4,0.0,0.5,0.0,,,,,,,100,,
,23,14.949,3.4,0.561,34,26.09908727,,,,,,,,,,,,,,,,,,,,
,24,15.51,2.3,1.386,23,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,16.896,3.3,4.29,33,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,21.186,2.3,1.122,23,6.72,,,5,16,16,16,16,9,9,16,16,,,,,,,,,
,27,22.308,2.6,1.617,26,22.3725,,,4,16,16,16,16,12,7,16,16,,,,,,,,,
,28,23.925,2.4,1.089,24,14.915,,,3,16,16,2,3,4,16,16,16,,,,,,,,,
,29,25.014,3.4,1.881,34,6.72,,,2,16,11,1,5,14,6,16,16,,,,,,,,,
,30,26.895,2.3,3.3,23,10.03856097,,,1,16,16,8,16,15,16,13,16,,,,,,,,,
,31,30.195,4.6,1.518,46,26.09908727,,,,,,,,,,,,,,,,,,,,
,32,31.713,2.3,2.31,23,26.09908727,,,,,,,,,,,,,,,,,,,,
,33,34.023,3.3,0.297,33,6.72,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,16,,,,,,,,,,,,
,34,34.32,2.3,4.29,23,6.72,,,目視個所Ｔｏｐ　No.2,3.3,2,,4.1,16,,,,,,,,,,,,
,35,38.61,3.4,2.64,34,10.03856097,,,目視個所Ｔｏｐ　No.3,3.4,3,,3.1,16,,,,,,,,,,,,
,36,41.25,3.5,2.739,35,7.4575,,,目視個所Ｔｏｐ　No.4,3.5,4,,2.1,16,,,,,,,,,,,,
,37,43.989,3.3,0.561,33,14.915,,,目視個所Ｔｏｐ　No.5,2.4,5,,1.1,16,,,,,,,,,,,,
,38,44.55,2.3,1.056,23,6.72,,,目視個所（累積ではない）,15,,,5.2,16,,,,,,,,,,,,
,39,45.606,4.5,0.396,45,20.07712193,,,非目視個所,25,,,4.2,16,,,,,,,,,,,,
,40,46.002,3.4,0.363,34,10.03856097,,,合計,40,,,3.2,16,,,,,,,,,,,,
,41,46.365,3.3,2.97,33,7.4575,,,,,,,2.2,11,,,,,,,,,,,,
,42,49.335,2.3,2.277,23,6.72,,,,,,,1.2,16,,,,,,,,,,,,
,43,51.612,3.3,3.443,33,6.72,,,,,,,5.3,16,,,,,,,,,,,,
,44,55.055,3.3,,,,,,,,,,4.3,16,,,,,1,2,3,4,5,6,7,8
,観測時間［秒］,54.461,,,,,,,,,,,3.3,2,,,,5,16,16,16,16,9,9,16,16
,,,,,最少移動距離,6.72,,,,,,,2.3,1,,,,4,16,16,16,16,12,7,16,16
,任意個所の最大目視時間［s］,,,4.29,最大移動距離,27.90,,,,,,,1.3,8,,,,3,16,16,2,3,4,16,16,16
,任意個所の目視時間の標準偏差,,,1.10,平均移動距離,11.82,,,,,,,5.4,16,,,,2,16,11,1,5,14,6,16,16
,,,,,距離標準偏差,6.83,,,,,,,4.4,16,,,,1,16,16,8,16,15,16,13,16
,,,,,,,,,,,,,3.4,3,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,1,,,,,,,2.4,5,,,,,,,,,,,,
