,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.804,9.9,0.957,,,54.801,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.761,3.5,0.264,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,5.025,2.4,0.627,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,33,33,45.20547945,,
,4,5.652,4.6,0.132,46,20.07712193,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,46,13,17.80821918,,
,5,5.784,2.4,1.617,24,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,50,4,5.479452055,,
,6,7.401,2.3,0.33,23,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,53,3,4.109589041,,
,7,7.731,1.3,2.541,13,6.72,,,,,,,,,,,,,6,20,24,64,11,15.06849315,,
,8,10.272,2.3,0.198,23,6.72,,,目視時間の分布（秒）,,53.844,,,,,,,,7,24,28,68,4,5.479452055,,
,9,10.47,2.4,0.99,24,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,72,4,5.479452055,,
,10,11.46,2.3,0.462,23,7.4575,,,5,0,0,0,0,1.932,3.3,0.231,0,,9,32,36,73,1,1.369863014,,
,11,11.922,1.3,0.495,13,6.72,,,4,0,0,0.363,1.022,1.716,0.132,0,0,,10,36,40,73,0,0,,
,12,12.417,2.3,0.495,23,6.72,,,3,0,0,6.803,10.57,0.264,1.056,0,0,,11,40,44,73,0,0,,
,13,12.912,3.3,0.165,33,6.72,,,2,0,0,13.585,6.567,0,0.429,2.079,0,,12,44,48,73,0,0,,
,14,13.077,2.4,0.495,24,10.03856097,,,1,0,0,3.795,0,0,0,0,0,,13,48,52,73,0,0,,
,15,13.572,3.4,0.528,34,6.72,,,,,,,,,,,,,14,52,56,73,0,0,,
,16,14.1,5.5,0.66,55,15.37035804,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,73,0,0,,
,17,14.76,2.4,0.363,24,21.49511354,,,,1,2,3,4,5,6,7,8,,16,60,64,73,0,0,,
,18,15.123,2.3,1.606,23,7.4575,,,5,0.0,0.0,0.0,0.0,3.6,6.1,0.4,0.0,,17,64,68,73,0,0,,
,19,16.729,1.3,0.264,13,6.72,,,4,0.0,0.0,0.7,1.9,3.2,0.2,0.0,0.0,,18,68,72,73,0,0,,
,20,16.993,2.3,1.914,23,6.72,,,3,0.0,0.0,12.6,19.6,0.5,2.0,0.0,0.0,,19,72,76,73,0,0,,
,21,18.907,3.4,2.145,34,10.03856097,,,2,0.0,0.0,25.2,12.2,0.0,0.8,3.9,0.0,,20,76,80,73,0,0,,
,22,21.052,4.4,0.396,44,6.72,,,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,21.448,4.3,0.363,43,7.4575,,,,,,,,,,,,,,,,,,,,
,24,21.811,3.3,0.759,33,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,22.57,2.3,1.749,23,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,24.319,3.4,2.442,34,10.03856097,,,5,17,17,17,17,8,6,15,17,,,,,,,,,
