,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.203,9.9,1.006,99,,54.791,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,6.209,3.4,0.195,34,,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,6.404,3.5,0.282,35,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,26,26,44.82758621,,
,4,6.686,2.4,0.411,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,36,10,17.24137931,,
,5,7.097,1.3,3.054,13,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,47,11,18.96551724,,
,6,10.151,2.3,0.198,23,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,47,0,0,,
,7,10.349,1.3,0.891,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,54,7,12.06896552,,
,8,11.24,3.4,0.627,34,15.37035804,,,,,,,,,,,,,7,24,28,57,3,5.172413793,,
,9,11.867,3.3,1.782,33,7.4575,,,目視時間の分布（秒）,,53.785,,,,,,,,8,28,32,58,1,1.724137931,,
,10,13.649,2.3,0.444,23,6.72,,,,1,2,3,4,5,6,7,8,,9,32,36,58,0,0,,
,11,14.093,1.2,1.353,12,10.03856097,,,5,0,0,0,0,3.234,0,0,0,,10,36,40,58,0,0,,
,12,15.446,1.4,0.429,14,14.915,,,4,0,0,0,0,3.269,0.955,0.693,0,,11,40,44,58,0,0,,
,13,15.875,5.5,1.749,55,27.89531692,,,3,0,0,13.508,2.373,0.282,1.815,0,0,,12,44,48,58,0,0,,
,14,17.624,2.4,0.909,24,21.49511354,,,2,0.594,1.999,5.908,2.622,0.132,1.386,0.693,0,,13,48,52,58,0,0,,
,15,18.533,1.3,0.906,13,10.03856097,,,1,0,3.927,9.372,0.429,0,0.594,0,0,,14,52,56,58,0,0,,
,16,19.439,2.3,1.503,23,6.72,,,,,,,,,,,,,15,56,60,58,0,0,,
,17,20.942,2.4,0.246,24,7.4575,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,58,0,0,,
,18,21.188,2.6,0.429,26,14.915,,,,1,2,3,4,5,6,7,8,,17,64,68,58,0,0,,
,19,21.617,2.7,0.165,27,7.4575,,,5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,18,68,72,58,0,0,,
,20,21.782,1.6,0.594,16,10.03856097,,,4,0.0,0.0,0.0,0.0,6.1,1.8,1.3,0.0,,19,72,76,58,0,0,,
,21,22.376,1.2,0.891,12,29.83,,,3,0.0,0.0,25.1,4.4,0.5,3.4,0.0,0.0,,20,76,80,58,0,0,,
,22,23.267,2.2,1.636,22,6.72,,,2,1.1,3.7,11.0,4.9,0.2,2.6,1.3,0.0,,,,,,,100,,
,23,24.903,2.3,0.198,23,7.4575,,,1,0.0,7.3,17.4,0.8,0.0,1.1,0.0,0.0,,,,,,,,,
,24,25.101,3.3,2.838,33,6.72,,,,,,,,,,,,,,,,,,,,
,25,27.939,1.3,3.201,13,13.44,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,31.14,2.4,0.792,24,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,31.932,3.4,0.693,34,6.72,,,5,20,20,20,20,6,20,20,20,,,,,,,,,
,28,32.625,2.5,0.132,25,10.03856097,,,4,20,20,20,20,5,12,13,20,,,,,,,,,
,29,32.757,4.5,0.825,45,13.44,,,3,20,20,1,8,18,10,20,20,,,,,,,,,
,30,33.582,1.3,0.429,13,25.07753626,,,2,16,9,3,7,19,11,14,20,,,,,,,,,
,31,34.011,4.5,1.122,45,25.07753626,,,1,20,4,2,17,20,15,20,20,,,,,,,,,
,32,35.133,5.5,0.924,55,6.72,,,,,,,,,,,,,,,,,,,,
,33,36.057,3.3,0.396,33,20.07712193,,,,,,,,,,,,,,,,,,,,
,34,36.453,1.2,1.683,12,15.37035804,,,目視個所Ｔｏｐ　No.1,3.3,1,,5.1,20,,,,,,,,,,,,
,35,38.136,2.1,0.594,21,10.03856097,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,20,,,,,,,,,,,,
,36,38.73,2.3,0.726,23,14.915,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,20,,,,,,,,,,,,
,37,39.456,3.3,0.693,33,6.72,,,目視個所Ｔｏｐ　No.4,1.2,4,,2.1,16,,,,,,,,,,,,
,38,40.149,1.3,0.891,13,13.44,,,目視個所Ｔｏｐ　No.5,4.5,5,,1.1,20,,,,,,,,,,,,
,39,41.04,2.3,0.528,23,6.72,,,目視個所（累積ではない）,19,,,5.2,20,,,,,,,,,,,,
,40,41.568,3.3,1.65,33,6.72,,,非目視個所,21,,,4.2,20,,,,,,,,,,,,
,41,43.218,2.6,0.264,26,23.35994769,,,合計,40,,,3.2,20,,,,,,,,,,,,
,42,43.482,3.6,1.452,36,6.72,,,,,,,2.2,9,,,,,,,,,,,,
,43,44.934,5.5,0.561,55,15.37035804,,,,,,,1.2,4,,,,,,,,,,,,
,44,45.495,2.6,0.429,26,21.49511354,,,,,,,5.3,20,,,,,,,,,,,,
,45,45.924,3.3,0.825,33,23.35994769,,,,,,,4.3,20,,,,,1,2,3,4,5,6,7,8
,46,46.749,4.6,0.955,46,23.35994769,,,,,,,3.3,1,,,,5,20,20,20,20,6,20,20,20
,47,47.704,4.5,0.365,45,7.4575,,,,,,,2.3,3,,,,4,20,20,20,20,5,12,13,20
,48,48.069,2.7,0.528,27,20.07712193,,,,,,,1.3,2,,,,3,20,20,1,8,18,10,20,20
,49,48.597,2.6,0.264,26,7.4575,,,,,,,5.4,20,,,,2,16,9,3,7,19,11,14,20
,50,48.861,3.6,0.363,36,6.72,,,,,,,4.4,20,,,,1,20,4,2,17,20,15,20,20
,51,49.224,4.7,0.693,47,10.03856097,,,,,,,3.4,8,,,,,,,,,,,,
,52,49.917,4.5,0.957,45,14.915,,,,,,,2.4,7,,,,,,,,,,,,
,53,50.874,2.4,0.264,24,15.37035804,,,,,,,1.4,17,,,,,,,,,,,,
,54,51.138,3.4,0.858,34,6.72,,,,,,,5.5,6,,,,,,,,,,,,
,55,51.996,3.3,1.419,33,7.4575,,,,,,,4.5,5,,,,,,,,,,,,
,56,53.415,2.3,0.991,23,6.72,,,,,,,3.5,18,,,,,,,,,,,,
,57,54.406,3.3,3.134,33,6.72,,,,,,,2.5,19,,,,,,,,,,,,
,58,57.54,2.3,1.32,23,6.72,,,,,,,1.5,20,,,,,,,,,,,,
,59,58.86,2.2,0.363,22,7.4575,,,,,,,5.6,20,,,,,,,,,,,,
,60,59.223,3.3,0.771,33,10.03856097,,,,,,,4.6,12,,,,,,,,,,,,
終了時刻,61,59.994,3.3,,,,,,,,,,3.6,10,,,,,,,,,,,,
,観測時間［s］,54.791,,,,,,,,,,,2.6,11,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.6,15,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.20,最大移動距離,29.83,,,,,,,5.7,20,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.73,平均移動距離,12.14,,,,,,,4.7,13,,,,,,,,,,,,
,,,,,距離標準偏差,6.42,,,,,,,3.7,20,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,14,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,1,,,,,,,1.7,20,,,,,,,,,,,,
,観察時間,54.791,秒,,9.9の秒数,1.006,,,,,,,5.8,20,,,,,,,,,,,,
,観察割合,1.001,,,0のカウント数,0,,,,,,,4.8,20,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,3.8,20,,,,,,,,,,,,
,総ロスト時間［秒］,1.006,,原本再生に占める9.9の割合,,0.018,,,,,,,2.8,20,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.018,,観察時間に占める9.9の割合,,0.018,,,,,,,1.8,20,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.018,,原本再生に占める0の割合,,0.000,,,,,,総計,40,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,53.785,,,,,,,,,,,,,,,,,,,,,
,,,,OK,53.785,,,,,,,,,,,,,,,,,,,,,
,,,,,53.785,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
