,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.353,5.4,0.033,54,,54.703,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.386,0,0.462,0,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.848,5.2,0.396,52,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,19,19,40.42553191,,
,4,2.244,3.5,0.066,35,26.09908727,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,25,6,12.76595745,,
,5,2.31,2.5,0.561,25,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,7,14.89361702,,
,6,2.871,4.5,0.891,45,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,33,1,2.127659574,,
,7,3.762,5.5,0.198,55,6.72,,,,,,,,,,,,,6,20,24,39,6,12.76595745,,
,8,3.96,2.4,1.749,24,21.49511354,,,目視時間の分布（秒）,,49.489,,,,,,,,7,24,28,45,6,12.76595745,,
,9,5.709,2.3,1.98,23,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,45,0,0,,
,10,7.689,2.4,0.759,24,7.4575,,,5,0,0.396,0,0.396,4.915,2.376,0.561,0,,9,32,36,46,1,2.127659574,,
,11,8.448,5.5,0.264,55,21.49511354,,,4,0,0,0.33,0,0.891,1.32,1.122,0,,10,36,40,46,0,0,,
,12,8.712,5.6,0.726,56,7.4575,,,3,0,0,9.306,9.765,0.066,0,0.132,0,,11,40,44,46,0,0,,
,13,9.438,3.4,0.825,34,20.07712193,,,2,0.792,0,12.369,2.508,0.561,1.155,0.099,0,,12,44,48,47,1,2.127659574,,
,14,10.263,2.3,5.703,23,10.03856097,,,1,0,0,0,0,0,0,0.429,0,,13,48,52,47,0,0,,
,15,15.966,3.3,1.089,33,6.72,,,,,,,,,,,,,14,52,56,47,0,0,,
,16,17.055,2.3,1.386,23,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,47,0,0,,
,17,18.441,3.4,1.551,34,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,47,0,0,,
