,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.201,2.5,0.429,25,,54.945,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.63,3.5,0.363,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.993,2.4,0.132,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,35,35,43.75,,
,4,3.125,2.3,0.792,23,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,46,11,13.75,,
,5,3.917,1.4,0.297,14,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,60,14,17.5,,
,6,4.214,2.3,0.495,23,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,65,5,6.25,,
,7,4.709,1.3,0.363,13,6.72,,,,,,,,,,,,,6,20,24,74,9,11.25,,
,8,5.072,2.3,1.221,23,6.72,,,目視時間の分布（秒）,,54.879,,,,,,,,7,24,28,79,5,6.25,,
,9,6.293,1.3,0.099,13,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,80,1,1.25,,
,10,6.392,1.2,0.726,12,7.4575,,,5,0,0,0,0,3.531,0,0,0,,9,32,36,80,0,0,,
,11,7.118,2.4,0.363,24,16.35896161,,,4,0,0,0,0.231,0.858,2.343,0,0,,10,36,40,80,0,0,,
,12,7.481,2.3,0.528,23,7.4575,,,3,0,0,2.475,0.759,2.112,0.627,0,0,,11,40,44,80,0,0,,
,13,8.009,5.5,0.33,55,25.07753626,,,2,0.924,0.561,21.318,2.343,1.848,2.178,0.429,0,,12,44,48,80,0,0,,
,14,8.339,2.4,0.198,24,21.49511354,,,1,0,2.607,5.841,0.858,0,3.036,0,0,,13,48,52,80,0,0,,
,15,8.537,2.3,0.858,23,7.4575,,,,,,,,,,,,,14,52,56,80,0,0,,
,16,9.395,2.4,0.396,24,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,80,0,0,,
,17,9.791,2.3,1.815,23,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,80,0,0,,
,18,11.606,1.2,1.287,12,10.03856097,,,5,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,,17,64,68,80,0,0,,
,19,12.893,2.3,2.046,23,10.03856097,,,4,0.0,0.0,0.0,0.4,1.6,4.3,0.0,0.0,,18,68,72,80,0,0,,
,20,14.939,2.6,0.231,26,22.3725,,,3,0.0,0.0,4.5,1.4,3.8,1.1,0.0,0.0,,19,72,76,80,0,0,,
,21,15.17,1.6,0.891,16,6.72,,,2,1.7,1.0,38.8,4.3,3.4,4.0,0.8,0.0,,20,76,80,80,0,0,,
,22,16.061,4.6,0.924,46,20.16,,,1,0.0,4.8,10.6,1.6,0.0,5.5,0.0,0.0,,,,,,,100,,
,23,16.985,4.5,0.429,45,7.4575,,,,,,,,,,,,,,,,,,,,
,24,17.414,5.5,0.462,55,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,17.876,3.5,0.726,35,13.44,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,18.602,3.3,1.122,33,14.915,,,5,20,20,20,20,3,20,20,20,,,,,,,,,
,27,19.724,1.2,0.594,12,15.37035804,,,4,20,20,20,19,13,8,20,20,,,,,,,,,
,28,20.318,1.3,0.561,13,7.4575,,,3,20,20,6,15,10,16,20,20,,,,,,,,,
,29,20.879,3.5,0.198,35,20.07712193,,,2,12,17,1,7,11,9,18,20,,,,,,,,,
,30,21.077,3.4,0.033,34,7.4575,,,1,20,5,2,14,20,4,20,20,,,,,,,,,
,31,21.11,1.4,0.561,14,13.44,,,,,,,,,,,,,,,,,,,,
,32,21.671,1.3,1.089,13,7.4575,,,,,,,,,,,,,,,,,,,,
,33,22.76,3.3,0.165,33,13.44,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,20,,,,,,,,,,,,
