,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.762,9.9,0.528,,,54.846,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.29,3.4,0.66,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.95,2.4,1.155,24,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,40,,
,4,6.105,4.5,0.495,45,15.37035804,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,7,14,,
,5,6.6,2.3,1.221,23,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,35,8,16,,
,6,7.821,2.4,1.716,24,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,37,2,4,,
,7,9.537,1.3,1.287,13,10.03856097,,,,,,,,,,,,,6,20,24,45,8,16,,
,8,10.824,2.4,0.231,24,10.03856097,,,目視時間の分布（秒）,,53.559,,,,,,,,7,24,28,49,4,8,,
,9,11.055,5.5,0.759,55,21.49511354,,,,1,2,3,4,5,6,7,8,,8,28,32,50,1,2,,
,10,11.814,1.3,2.541,13,30.74071608,,,5,0,0,0,0,2.244,0.132,0,0,,9,32,36,50,0,0,,
,11,14.355,4.5,0.297,45,25.07753626,,,4,0,0,0,0,1.518,1.782,0,0,,10,36,40,50,0,0,,
,12,14.652,5.5,0.231,55,6.72,,,3,0,0,4.356,4.257,0,0.759,0,0,,11,40,44,50,0,0,,
,13,14.883,2.4,0.363,24,21.49511354,,,2,0,0.264,19.734,6.93,2.409,0.627,0,0,,12,44,48,50,0,0,,
,14,15.246,1.3,0.693,13,10.03856097,,,1,0,0,8.151,0.396,0,0,0,0,,13,48,52,50,0,0,,
,15,15.939,2.4,1.188,24,10.03856097,,,,,,,,,,,,,14,52,56,50,0,0,,
,16,17.127,2.3,0.759,23,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,50,0,0,,
,17,17.886,9.9,0.297,99,,,,,1,2,3,4,5,6,7,8,,16,60,64,50,0,0,,
,18,18.183,5.5,0.132,55,,,,5,0.0,0.0,0.0,0.0,4.2,0.2,0.0,0.0,,17,64,68,50,0,0,,
,19,18.315,9.9,0.462,99,,,,4,0.0,0.0,0.0,0.0,2.8,3.3,0.0,0.0,,18,68,72,50,0,0,,
,20,18.777,2.4,0.396,24,,,,3,0.0,0.0,8.1,7.9,0.0,1.4,0.0,0.0,,19,72,76,50,0,0,,
,21,19.173,1.3,0.33,13,10.03856097,,,2,0.0,0.5,36.8,12.9,4.5,1.2,0.0,0.0,,20,76,80,50,0,0,,
,22,19.503,2.3,1.518,23,6.72,,,1,0.0,0.0,15.2,0.7,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,21.021,1.3,1.353,13,6.72,,,,,,,,,,,,,,,,,,,,
,24,22.374,2.3,2.046,23,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,24.42,5.5,0.627,55,25.07753626,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,25.047,2.4,0.099,24,21.49511354,,,5,15,15,15,15,7,14,15,15,,,,,,,,,
,27,25.146,2.3,0.264,23,7.4575,,,4,15,15,15,15,9,8,15,15,,,,,,,,,
,28,25.41,2.4,0.594,24,7.4575,,,3,15,15,4,5,15,10,15,15,,,,,,,,,
,29,26.004,2.6,0.627,26,14.915,,,2,15,13,1,3,6,11,15,15,,,,,,,,,
,30,26.631,5.5,0.495,55,21.49511354,,,1,15,15,2,12,15,15,15,15,,,,,,,,,
,31,27.126,3.4,0.858,34,15.37035804,,,,,,,,,,,,,,,,,,,,
,32,27.984,1.4,0.396,14,13.44,,,,,,,,,,,,,,,,,,,,
,33,28.38,1.3,0.891,13,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,15,,,,,,,,,,,,
,34,29.271,2.5,1.254,25,16.35896161,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,15,,,,,,,,,,,,
,35,30.525,5.6,0.132,56,21.49511354,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,15,,,,,,,,,,,,
,36,30.657,3.4,1.815,34,20.07712193,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,15,,,,,,,,,,,,
,37,32.472,1.3,0.363,13,15.37035804,,,目視個所Ｔｏｐ　No.5,3.4,5,,1.1,15,,,,,,,,,,,,
,38,32.835,2.3,1.617,23,6.72,,,目視個所（累積ではない）,14,,,5.2,15,,,,,,,,,,,,
,39,34.452,2.5,0.726,25,14.915,,,非目視個所,26,,,4.2,15,,,,,,,,,,,,
,40,35.178,2.3,2.805,23,14.915,,,合計,40,,,3.2,15,,,,,,,,,,,,
,41,37.983,2.4,1.122,24,7.4575,,,,,,,2.2,13,,,,,,,,,,,,
,42,39.105,2.3,5.214,23,7.4575,,,,,,,1.2,15,,,,,,,,,,,,
,43,44.319,4.6,1.782,46,26.09908727,,,,,,,5.3,15,,,,,,,,,,,,
,44,46.101,3.6,0.759,36,6.72,,,,,,,4.3,15,,,,,1,2,3,4,5,6,7,8
,45,46.86,1.3,0.693,13,26.09908727,,,,,,,3.3,4,,,,5,15,15,15,15,7,14,15,15
,46,47.553,2.2,0.264,22,10.03856097,,,,,,,2.3,1,,,,4,15,15,15,15,9,8,15,15
,47,47.817,2.3,0.891,23,7.4575,,,,,,,1.3,2,,,,3,15,15,4,5,15,10,15,15
,48,48.708,4.5,0.726,45,20.07712193,,,,,,,5.4,15,,,,2,15,13,1,3,6,11,15,15
,49,49.434,3.4,0.924,34,10.03856097,,,,,,,4.4,15,,,,1,15,15,2,12,15,15,15,15
,50,50.358,2.4,0.066,24,6.72,,,,,,,3.4,5,,,,,,,,,,,,
,51,50.424,2.3,0.528,23,7.4575,,,,,,,2.4,3,,,,,,,,,,,,
,52,50.952,3.3,1.65,33,6.72,,,,,,,1.4,12,,,,,,,,,,,,
,53,52.602,2.3,0.363,23,6.72,,,,,,,5.5,7,,,,,,,,,,,,
,54,52.965,3.3,2.706,33,6.72,,,,,,,4.5,9,,,,,,,,,,,,
,55,55.671,2.5,0.429,25,16.35896161,,,,,,,3.5,15,,,,,,,,,,,,
,56,56.1,2.3,2.508,23,14.915,,,,,,,2.5,6,,,,,,,,,,,,
,57,58.608,2.3,,,,,,,,,,1.5,15,,,,,,,,,,,,
,観測時間［秒］,54.846,,,,,,,,,,,5.6,14,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,4.6,8,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.21,最大移動距離,30.74,,,,,,,3.6,10,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.90,平均移動距離,13.28,,,,,,,2.6,11,,,,,,,,,,,,
,,,,,距離標準偏差,6.76,,,,,,,1.6,15,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,15,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,3,,,,,,,4.7,15,,,,,,,,,,,,
,観察時間,54.846,秒,,9.9の秒数,1.287,,,,,,,3.7,15,,,,,,,,,,,,
,観察割合,1.002,,,0のカウント数,0,,,,,,,2.7,15,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,1.7,15,,,,,,,,,,,,
