,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.815,1.5,0.33,15,,54.879,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.145,3.5,0.264,35,13.44,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.409,4.5,0.363,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,74,74,72.54901961,,
,4,2.772,4.4,0.495,44,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,95,21,20.58823529,,
,5,3.267,3.4,0.198,34,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,100,5,4.901960784,,
,6,3.465,2.4,0.627,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,101,1,0.980392157,,
,7,4.092,3.4,0.396,34,6.72,,,,,,,,,,,,,6,20,24,101,0,0,,
,8,4.488,3.3,0.528,33,7.4575,,,目視時間の分布（秒）,,53.394,,,,,,,,7,24,28,101,0,0,,
,9,5.016,2.2,0.957,22,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,102,1,0.980392157,,
,10,5.973,3.3,0.891,33,10.03856097,,,5,0,0,0,0.594,0.297,1.188,0,0,,9,32,36,102,0,0,,
,11,6.864,3.2,0.198,32,7.4575,,,4,0,0,6.336,2.607,0.726,0.792,0,0,,10,36,40,102,0,0,,
,12,7.062,2.2,0.264,22,6.72,,,3,0.198,3.498,23.76,1.353,0.627,0.198,0.759,0.396,,11,40,44,102,0,0,,
,13,7.326,3.2,0.264,32,6.72,,,2,0,4.818,2.376,0.627,0.033,1.089,0.693,0,,12,44,48,102,0,0,,
,14,7.59,3.3,0.231,33,7.4575,,,1,0,0,0,0,0.429,0,0,0,,13,48,52,102,0,0,,
,15,7.821,3.2,0.33,32,7.4575,,,,,,,,,,,,,14,52,56,102,0,0,,
,16,8.151,2.2,0.594,22,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,102,0,0,,
,17,8.745,2.3,0.033,23,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,102,0,0,,
,18,8.778,3.3,1.155,33,6.72,,,5,0.0,0.0,0.0,1.1,0.6,2.2,0.0,0.0,,17,64,68,102,0,0,,
,19,9.933,4.3,1.749,43,6.72,,,4,0.0,0.0,11.9,4.9,1.4,1.5,0.0,0.0,,18,68,72,102,0,0,,
,20,11.682,3.3,0.099,33,6.72,,,3,0.4,6.6,44.5,2.5,1.2,0.4,1.4,0.7,,19,72,76,102,0,0,,
,21,11.781,3.2,0.396,32,7.4575,,,2,0.0,9.0,4.4,1.2,0.1,2.0,1.3,0.0,,20,76,80,102,0,0,,
,22,12.177,3.3,1.023,33,7.4575,,,1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,,,,,,100,,
,23,13.2,2.3,0.429,23,6.72,,,,,,,,,,,,,,,,,,,,
,24,13.629,2.2,0.231,22,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,13.86,3.2,0.066,32,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,13.926,3.3,1.551,33,7.4575,,,5,23,23,23,16,19,8,23,23,,,,,,,,,
,27,15.477,3.5,0.132,35,14.915,,,4,23,23,2,5,12,10,23,23,,,,,,,,,
,28,15.609,3.6,0.033,36,7.4575,,,3,21,4,1,7,14,20,11,18,,,,,,,,,
,29,15.642,3.7,0.066,37,7.4575,,,2,23,3,6,15,22,9,13,23,,,,,,,,,
,30,15.708,2.7,0.198,27,6.72,,,1,23,23,23,23,17,23,23,23,,,,,,,,,
,31,15.906,3.8,0.231,38,10.03856097,,,,,,,,,,,,,,,,,,,,
,32,16.137,0,0.099,0,,,,,,,,,,,,,,,,,,,,,
,33,16.236,9.9,0.429,99,,,,目視個所Ｔｏｐ　No.1,3.3,1,,5.1,23,,,,,,,,,,,,
,34,16.665,5.5,0.132,55,,,,目視個所Ｔｏｐ　No.2,4.3,2,,4.1,23,,,,,,,,,,,,
,35,16.797,4.4,0.231,44,10.03856097,,,目視個所Ｔｏｐ　No.3,2.2,3,,3.1,21,,,,,,,,,,,,
,36,17.028,3.3,1.155,33,10.03856097,,,目視個所Ｔｏｐ　No.4,3.2,4,,2.1,23,,,,,,,,,,,,
,37,18.183,2.3,0.198,23,6.72,,,目視個所Ｔｏｐ　No.5,4.4,5,,1.1,23,,,,,,,,,,,,
,38,18.381,2.2,1.122,22,7.4575,,,目視個所（累積ではない）,22,,,5.2,23,,,,,,,,,,,,
,39,19.503,3.3,0.792,33,10.03856097,,,非目視個所,18,,,4.2,23,,,,,,,,,,,,
,40,20.295,3.2,0.363,32,7.4575,,,合計,40,,,3.2,4,,,,,,,,,,,,
,41,20.658,2.2,0.231,22,6.72,,,,,,,2.2,3,,,,,,,,,,,,
,42,20.889,3.2,0.066,32,6.72,,,,,,,1.2,23,,,,,,,,,,,,
,43,20.955,3.3,3.168,33,7.4575,,,,,,,5.3,23,,,,,,,,,,,,
,44,24.123,3.4,0.066,34,7.4575,,,,,,,4.3,2,,,,,1,2,3,4,5,6,7,8
,45,24.189,3.6,0.132,36,14.915,,,,,,,3.3,1,,,,5,23,23,23,16,19,8,23,23
,46,24.321,3.7,0.066,37,7.4575,,,,,,,2.3,6,,,,4,23,23,2,5,12,10,23,23
,47,24.387,2.7,0.231,27,6.72,,,,,,,1.3,23,,,,3,21,4,1,7,14,20,11,18
,48,24.618,3.5,0.132,35,16.35896161,,,,,,,5.4,16,,,,2,23,3,6,15,22,9,13,23
,49,24.75,2.6,0.264,26,10.03856097,,,,,,,4.4,5,,,,1,23,23,23,23,17,23,23,23
,50,25.014,2.7,0.264,27,7.4575,,,,,,,3.4,7,,,,,,,,,,,,
,51,25.278,3.8,0.165,38,10.03856097,,,,,,,2.4,15,,,,,,,,,,,,
,52,25.443,3.4,0.297,34,29.83,,,,,,,1.4,23,,,,,,,,,,,,
,53,25.74,3.3,2.079,33,7.4575,,,,,,,5.5,19,,,,,,,,,,,,
,54,27.819,2.2,0.66,22,10.03856097,,,,,,,4.5,12,,,,,,,,,,,,
,55,28.479,2.3,1.485,23,7.4575,,,,,,,3.5,14,,,,,,,,,,,,
,56,29.964,3.3,1.419,33,6.72,,,,,,,2.5,22,,,,,,,,,,,,
,57,31.383,3.4,0.099,34,7.4575,,,,,,,1.5,17,,,,,,,,,,,,
