,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.673,1.5,0.429,15,,54.885,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.102,2.4,1.683,24,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.785,3.4,0.066,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,93,93,85.32110092,,
,4,4.851,5.5,0.363,55,15.37035804,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,103,10,9.174311927,,
,5,5.214,4.5,0.066,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,109,6,5.504587156,,
,6,5.28,4.4,0.066,44,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,109,0,0,,
,7,5.346,2.4,0.132,24,13.44,,,,,,,,,,,,,6,20,24,109,0,0,,
,8,5.478,1.3,1.881,13,10.03856097,,,目視時間の分布（秒）,,52.608,,,,,,,,7,24,28,109,0,0,,
,9,7.359,2.3,1.386,23,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,109,0,0,,
,10,8.745,1.3,1.32,13,6.72,,,5,0,0,0,0,1.98,1.848,0,0,,9,32,36,109,0,0,,
,11,10.065,2.3,1.254,23,6.72,,,4,0,0,0,1.221,1.485,1.056,0.33,0,,10,36,40,109,0,0,,
,12,11.319,2.4,0.528,24,7.4575,,,3,0.066,0,5.187,3.564,1.518,0.99,0.693,0,,11,40,44,109,0,0,,
,13,11.847,3.4,0.396,34,6.72,,,2,0,0,7.359,13.233,0.627,0.825,1.749,0,,12,44,48,109,0,0,,
,14,12.243,2.4,0.495,24,6.72,,,1,0,0,7.953,0.099,0.627,0.198,0,0,,13,48,52,109,0,0,,
,15,12.738,2.5,0.198,25,7.4575,,,,,,,,,,,,,14,52,56,109,0,0,,
,16,12.936,2.6,0.066,26,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,109,0,0,,
,17,13.002,2.7,0.297,27,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,109,0,0,,
,18,13.299,2.6,0.033,26,7.4575,,,5,0.0,0.0,0.0,0.0,3.8,3.5,0.0,0.0,,17,64,68,109,0,0,,
,19,13.332,2.4,0.099,24,14.915,,,4,0.0,0.0,0.0,2.3,2.8,2.0,0.6,0.0,,18,68,72,109,0,0,,
,20,13.431,2.3,0.231,23,7.4575,,,3,0.1,0.0,9.9,6.8,2.9,1.9,1.3,0.0,,19,72,76,109,0,0,,
,21,13.662,1.3,1.089,13,6.72,,,2,0.0,0.0,14.0,25.2,1.2,1.6,3.3,0.0,,20,76,80,109,0,0,,
,22,14.751,2.3,0.396,23,6.72,,,1,0.0,0.0,15.1,0.2,1.2,0.4,0.0,0.0,,,,,,,100,,
,23,15.147,4.4,0.066,44,15.37035804,,,,,,,,,,,,,,,,,,,,
,24,15.213,4.5,0.066,45,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,15.279,5.5,0.627,55,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,15.906,4.5,0.033,45,6.72,,,5,22,22,22,22,6,7,22,22,,,,,,,,,
,27,15.939,4.4,0.099,44,7.4575,,,4,22,22,22,11,10,12,18,22,,,,,,,,,
,28,16.038,3.4,0.132,34,6.72,,,3,21,22,4,5,9,13,15,22,,,,,,,,,
,29,16.17,2.4,2.64,24,6.72,,,2,22,22,3,1,17,14,8,22,,,,,,,,,
,30,18.81,3.4,0.396,34,6.72,,,1,22,22,2,20,16,19,22,22,,,,,,,,,
,31,19.206,2.4,1.023,24,6.72,,,,,,,,,,,,,,,,,,,,
,32,20.229,2.5,0.033,25,7.4575,,,,,,,,,,,,,,,,,,,,
,33,20.262,2.6,0.198,26,7.4575,,,目視個所Ｔｏｐ　No.1,2.4,1,,5.1,22,,,,,,,,,,,,
,34,20.46,2.5,0.033,25,7.4575,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,22,,,,,,,,,,,,
,35,20.493,2.4,0.066,24,7.4575,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,21,,,,,,,,,,,,
,36,20.559,2.3,0.066,23,7.4575,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,22,,,,,,,,,,,,
,37,20.625,1.3,1.848,13,6.72,,,目視個所Ｔｏｐ　No.5,3.4,5,,1.1,22,,,,,,,,,,,,
,38,22.473,2.4,0.033,24,10.03856097,,,目視個所（累積ではない）,21,,,5.2,22,,,,,,,,,,,,
