,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.244,9.9,0.198,,,54.747,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.442,3.6,0.264,36,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.706,4.5,0.132,45,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,47,47,46.07843137,,
,4,2.838,3.5,0.165,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,69,22,21.56862745,,
,5,3.003,3.4,0.099,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,82,13,12.74509804,,
,6,3.102,2.4,0.957,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,85,3,2.941176471,,
,7,4.059,4.6,0.165,46,20.07712193,,,,,,,,,,,,,6,20,24,92,7,6.862745098,,
,8,4.224,2.4,0.165,24,20.07712193,,,目視時間の分布（秒）,,54.549,,,,,,,,7,24,28,98,6,5.882352941,,
,9,4.389,1.2,0.891,12,16.35896161,,,,1,2,3,4,5,6,7,8,,8,28,32,100,2,1.960784314,,
,10,5.28,2.3,0.297,23,10.03856097,,,5,0,0,0,0,0.825,2.376,0.198,0,,9,32,36,101,1,0.980392157,,
,11,5.577,5.6,0.363,56,30.1156829,,,4,0,0,0,0,0.99,0.726,1.386,0,,10,36,40,102,1,0.980392157,,
,12,5.94,2.7,0.594,27,21.49511354,,,3,0,0.627,4.818,10.851,0.561,0.825,0.495,0.462,,11,40,44,102,0,0,,
,13,6.534,4.6,0.099,46,15.37035804,,,2,0,1.551,9.213,12.045,0,0.363,0.891,0.726,,12,44,48,102,0,0,,
,14,6.633,5.6,0.693,56,6.72,,,1,0,0.891,2.64,0.165,0.297,0,0.627,0,,13,48,52,102,0,0,,
,15,7.326,2.4,0.825,24,25.07753626,,,,,,,,,,,,,14,52,56,102,0,0,,
,16,8.151,2.2,0.429,22,14.915,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,102,0,0,,
,17,8.58,1.3,0.858,13,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,102,0,0,,
,18,9.438,2.4,0.198,24,10.03856097,,,5,0.0,0.0,0.0,0.0,1.5,4.4,0.4,0.0,,17,64,68,102,0,0,,
,19,9.636,2.3,0.594,23,7.4575,,,4,0.0,0.0,0.0,0.0,1.8,1.3,2.5,0.0,,18,68,72,102,0,0,,
,20,10.23,3.4,0.132,34,10.03856097,,,3,0.0,1.1,8.8,19.9,1.0,1.5,0.9,0.8,,19,72,76,102,0,0,,
,21,10.362,2.4,0.825,24,6.72,,,2,0.0,2.8,16.9,22.1,0.0,0.7,1.6,1.3,,20,76,80,102,0,0,,
,22,11.187,3.4,1.452,34,6.72,,,1,0.0,1.6,4.8,0.3,0.5,0.0,1.1,0.0,,,,,,,100,,
,23,12.639,1.3,0.792,13,15.37035804,,,,,,,,,,,,,,,,,,,,
,24,13.431,5.6,0.132,56,34.97231986,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,13.563,5.5,0.66,55,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,14.223,2.8,0.726,28,30.1156829,,,5,25,25,25,25,12,6,23,25,,,,,,,,,
,27,14.949,1.7,0.396,17,10.03856097,,,4,25,25,25,25,9,14,8,25,,,,,,,,,
,28,15.345,1.5,0.297,15,14.915,,,3,25,16,4,2,18,13,19,20,,,,,,,,,
,29,15.642,2.4,0.759,24,10.03856097,,,2,25,7,3,1,25,21,10,15,,,,,,,,,
,30,16.401,2.3,0.429,23,7.4575,,,1,25,11,5,24,22,25,17,25,,,,,,,,,
,31,16.83,2.4,0.462,24,7.4575,,,,,,,,,,,,,,,,,,,,
,32,17.292,3.4,0.165,34,6.72,,,,,,,,,,,,,,,,,,,,
,33,17.457,2.4,0.495,24,6.72,,,目視個所Ｔｏｐ　No.1,2.4,1,,5.1,25,,,,,,,,,,,,
,34,17.952,2.3,1.023,23,7.4575,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,25,,,,,,,,,,,,
,35,18.975,3.4,0.396,34,10.03856097,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,25,,,,,,,,,,,,
,36,19.371,4.5,0.231,45,10.03856097,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,25,,,,,,,,,,,,
,37,19.602,3.4,0.264,34,10.03856097,,,目視個所Ｔｏｐ　No.5,1.3,5,,1.1,25,,,,,,,,,,,,
,38,19.866,2.3,0.396,23,10.03856097,,,目視個所（累積ではない）,24,,,5.2,25,,,,,,,,,,,,
,39,20.262,2.2,0.528,22,7.4575,,,非目視個所,16,,,4.2,25,,,,,,,,,,,,
,40,20.79,2.4,0.33,24,14.915,,,合計,40,,,3.2,16,,,,,,,,,,,,
,41,21.12,1.3,0.759,13,10.03856097,,,,,,,2.2,7,,,,,,,,,,,,
,42,21.879,3.5,0.396,35,20.07712193,,,,,,,1.2,11,,,,,,,,,,,,
,43,22.275,4.5,0.264,45,6.72,,,,,,,5.3,25,,,,,,,,,,,,
,44,22.539,3.4,1.65,34,10.03856097,,,,,,,4.3,25,,,,,1,2,3,4,5,6,7,8
,45,24.189,2.4,0.231,24,6.72,,,,,,,3.3,4,,,,5,25,25,25,25,12,6,23,25
,46,24.42,2.3,0.33,23,7.4575,,,,,,,2.3,3,,,,4,25,25,25,25,9,14,8,25
,47,24.75,2.4,0.33,24,7.4575,,,,,,,1.3,5,,,,3,25,16,4,2,18,13,19,20
,48,25.08,3.4,1.254,34,6.72,,,,,,,5.4,25,,,,2,25,7,3,1,25,21,10,15
,49,26.334,2.3,0.363,23,10.03856097,,,,,,,4.4,25,,,,1,25,11,5,24,22,25,17,25
,50,26.697,2.4,0.693,24,7.4575,,,,,,,3.4,2,,,,,,,,,,,,
,51,27.39,5.5,0.165,55,21.49511354,,,,,,,2.4,1,,,,,,,,,,,,
,52,27.555,3.4,0.858,34,15.37035804,,,,,,,1.4,24,,,,,,,,,,,,
,53,28.413,2.4,1.023,24,6.72,,,,,,,5.5,12,,,,,,,,,,,,
,54,29.436,5.6,0.495,56,25.07753626,,,,,,,4.5,9,,,,,,,,,,,,
,55,29.931,4.6,0.462,46,6.72,,,,,,,3.5,18,,,,,,,,,,,,
,56,30.393,3.8,0.363,38,16.35896161,,,,,,,2.5,25,,,,,,,,,,,,
,57,30.756,3.7,0.495,37,7.4575,,,,,,,1.5,22,,,,,,,,,,,,
,58,31.251,2.7,0.165,27,6.72,,,,,,,5.6,6,,,,,,,,,,,,
