,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.089,9.9,0.462,,,54.945,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.551,5.5,0.132,55,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.683,2.5,0.396,25,20.16,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,52,52,47.70642202,,
,4,2.079,2.4,0.627,24,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,76,24,22.01834862,,
,5,2.706,1.4,0.264,14,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,91,15,13.76146789,,
,6,2.97,1.3,1.056,13,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,95,4,3.669724771,,
,7,4.026,2.4,0.66,24,10.03856097,,,,,,,,,,,,,6,20,24,103,8,7.339449541,,
,8,4.686,5.6,0.462,56,25.07753626,,,目視時間の分布（秒）,,53.889,,,,,,,,7,24,28,106,3,2.752293578,,
,9,5.148,3.5,0.495,35,15.37035804,,,,1,2,3,4,5,6,7,8,,8,28,32,108,2,1.834862385,,
,10,5.643,5.6,0.363,56,15.37035804,,,5,0,0,0.198,0,0.792,3.564,0,0,,9,32,36,108,0,0,,
,11,6.006,2.4,0.924,24,25.07753626,,,4,0,0,0.495,1.452,1.254,1.914,1.386,0,,10,36,40,109,1,0.917431193,,
,12,6.93,1.4,0.132,14,6.72,,,3,0,0,3.366,6.93,2.013,1.32,2.046,0.561,,11,40,44,109,0,0,,
,13,7.062,2.3,0.231,23,10.03856097,,,2,0,0.66,11.88,5.577,1.089,0.396,0.165,0,,12,44,48,109,0,0,,
,14,7.293,1.3,0.66,13,6.72,,,1,0,0.132,4.356,1.617,0.726,0,0,0,,13,48,52,109,0,0,,
,15,7.953,2.3,0.198,23,6.72,,,,,,,,,,,,,14,52,56,109,0,0,,
,16,8.151,1.4,0.198,14,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,109,0,0,,
,17,8.349,2.4,0.594,24,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,109,0,0,,
,18,8.943,2.3,0.594,23,7.4575,,,5,0.0,0.0,0.4,0.0,1.5,6.6,0.0,0.0,,17,64,68,109,0,0,,
,19,9.537,1.3,1.485,13,6.72,,,4,0.0,0.0,0.9,2.7,2.3,3.6,2.6,0.0,,18,68,72,109,0,0,,
,20,11.022,1.4,0.231,14,7.4575,,,3,0.0,0.0,6.2,12.9,3.7,2.4,3.8,1.0,,19,72,76,109,0,0,,
,21,11.253,2.4,1.221,24,6.72,,,2,0.0,1.2,22.0,10.3,2.0,0.7,0.3,0.0,,20,76,80,109,0,0,,
,22,12.474,2.3,1.188,23,7.4575,,,1,0.0,0.2,8.1,3.0,1.3,0.0,0.0,0.0,,,,,,,100,,
,23,13.662,1.3,0.363,13,6.72,,,,,,,,,,,,,,,,,,,,
,24,14.025,2.7,0.165,27,30.57756203,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,14.19,3.7,0.792,37,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,14.982,5.6,1.122,56,15.37035804,,,5,25,25,22,25,16,5,25,25,,,,,,,,,
,27,16.104,3.4,0.297,34,20.07712193,,,4,25,25,20,11,14,9,12,25,,,,,,,,,
,28,16.401,2.3,0.825,23,10.03856097,,,3,25,25,6,2,8,13,7,19,,,,,,,,,
,29,17.226,3.7,0.099,37,30.57756203,,,2,25,18,1,3,15,21,23,25,,,,,,,,,
,30,17.325,3.5,0.165,35,14.915,,,1,25,24,4,10,17,25,25,25,,,,,,,,,
,31,17.49,3.4,1.221,34,7.4575,,,,,,,,,,,,,,,,,,,,
,32,18.711,4.4,0.363,44,6.72,,,,,,,,,,,,,,,,,,,,
,33,19.074,3.4,0.165,34,6.72,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,25,,,,,,,,,,,,
,34,19.239,2.3,1.386,23,10.03856097,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,25,,,,,,,,,,,,
,35,20.625,3.4,0.627,34,10.03856097,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,25,,,,,,,,,,,,
,36,21.252,2.5,0.165,25,10.03856097,,,目視個所Ｔｏｐ　No.4,1.3,4,,2.1,25,,,,,,,,,,,,
,37,21.417,3.6,0.528,36,10.03856097,,,目視個所Ｔｏｐ　No.5,5.6,5,,1.1,25,,,,,,,,,,,,
,38,21.945,3.7,0.396,37,7.4575,,,目視個所（累積ではない）,24,,,5.2,25,,,,,,,,,,,,
,39,22.341,3.4,1.221,34,22.3725,,,非目視個所,16,,,4.2,25,,,,,,,,,,,,
,40,23.562,2.3,1.683,23,10.03856097,,,合計,40,,,3.2,25,,,,,,,,,,,,
,41,25.245,3.3,0.132,33,6.72,,,,,,,2.2,18,,,,,,,,,,,,
,42,25.377,3.4,1.881,34,7.4575,,,,,,,1.2,24,,,,,,,,,,,,
,43,27.258,1.3,0.297,13,15.37035804,,,,,,,5.3,22,,,,,,,,,,,,
,44,27.555,2.3,0.825,23,6.72,,,,,,,4.3,20,,,,,1,2,3,4,5,6,7,8
,45,28.38,2.4,0.462,24,7.4575,,,,,,,3.3,6,,,,5,25,25,22,25,16,5,25,25
,46,28.842,3.4,0.33,34,6.72,,,,,,,2.3,1,,,,4,25,25,20,11,14,9,12,25
,47,29.172,3.3,0.132,33,7.4575,,,,,,,1.3,4,,,,3,25,25,6,2,8,13,7,19
,48,29.304,3.5,0.132,35,14.915,,,,,,,5.4,25,,,,2,25,18,1,3,15,21,23,25
,49,29.436,4.4,0.363,44,10.03856097,,,,,,,4.4,11,,,,1,25,24,4,10,17,25,25,25
,50,29.799,4.3,0.495,43,7.4575,,,,,,,3.4,2,,,,,,,,,,,,
,51,30.294,4.4,0.528,44,7.4575,,,,,,,2.4,3,,,,,,,,,,,,
,52,30.822,3.3,0.396,33,10.03856097,,,,,,,1.4,10,,,,,,,,,,,,
,53,31.218,1.3,0.231,13,13.44,,,,,,,5.5,16,,,,,,,,,,,,
,54,31.449,2.6,0.033,26,23.35994769,,,,,,,4.5,14,,,,,,,,,,,,
,55,31.482,3.6,0.33,36,6.72,,,,,,,3.5,8,,,,,,,,,,,,
,56,31.812,4.7,0.066,47,10.03856097,,,,,,,2.5,15,,,,,,,,,,,,
,57,31.878,3.7,0.462,37,6.72,,,,,,,1.5,17,,,,,,,,,,,,
,58,32.34,2.2,0.429,22,37.88820471,,,,,,,5.6,5,,,,,,,,,,,,
,59,32.769,0,0.165,0,,,,,,,,4.6,9,,,,,,,,,,,,
,60,32.934,5.6,0.495,56,,,,,,,,3.6,13,,,,,,,,,,,,
,61,33.429,3.6,0.099,36,13.44,,,,,,,2.6,21,,,,,,,,,,,,
,62,33.528,4.5,0.495,45,10.03856097,,,,,,,1.6,25,,,,,,,,,,,,
,63,34.023,0,0.198,0,,,,,,,,5.7,25,,,,,,,,,,,,
,64,34.221,4.5,0.462,45,,,,,,,,4.7,12,,,,,,,,,,,,
,65,34.683,4.4,0.198,44,7.4575,,,,,,,3.7,7,,,,,,,,,,,,
,66,34.881,4.5,0.132,45,7.4575,,,,,,,2.7,23,,,,,,,,,,,,
,67,35.013,3.4,0.132,34,10.03856097,,,,,,,1.7,25,,,,,,,,,,,,
,68,35.145,2.3,0.396,23,10.03856097,,,,,,,5.8,25,,,,,,,,,,,,
,69,35.541,1.4,0.165,14,10.03856097,,,,,,,4.8,25,,,,,,,,,,,,
,70,35.706,1.2,0.132,12,14.915,,,,,,,3.8,19,,,,,,,,,,,,
,71,35.838,2.4,0.165,24,16.35896161,,,,,,,2.8,25,,,,,,,,,,,,
,72,36.003,2.3,0.66,23,7.4575,,,,,,,1.8,25,,,,,,,,,,,,
,73,36.663,1.4,0.627,14,10.03856097,,,,,,総計,40,,,,,,,,,,,,,
,74,37.29,2.2,0.231,22,16.35896161,,,,,,,,,,,,,,,,,,,,
,75,37.521,2.3,0.33,23,7.4575,,,,,,,,,,,,,,,,,,,,
,76,37.851,1.3 ,0.264,13,6.72,,,,,,,,,,,,,,,,,,,,
,77,38.115,2.3,0.066,23,6.72,,,,,,,,,,,,,,,,,,,,
,78,38.181,3.4,0.462,34,10.03856097,,,,,,,,,,,,,,,,,,,,
,79,38.643,4.6,0.759,46,16.35896161,,,,,,,,,,,,,,,,,,,,
,80,39.402,5.6,0.33,56,6.72,,,,,,,,,,,,,,,,,,,,
,81,39.732,4.7,0.495,47,10.03856097,,,,,,,,,,,,,,,,,,,,
,82,40.227,3.8,0.561,38,10.03856097,,,,,,,,,,,,,,,,,,,,
,83,40.788,3.5,0.363,35,22.3725,,,,,,,,,,,,,,,,,,,,
,84,41.151,3.4,0.132,34,7.4575,,,,,,,,,,,,,,,,,,,,
,85,41.283,3.6,0.132,36,14.915,,,,,,,,,,,,,,,,,,,,
,86,41.415,2.6,0.363,26,6.72,,,,,,,,,,,,,,,,,,,,
,87,41.778,5.6,0.264,56,20.16,,,,,,,,,,,,,,,,,,,,
,88,42.042,3.6,0.231,36,13.44,,,,,,,,,,,,,,,,,,,,
,89,42.273,3.5,0.561,35,7.4575,,,,,,,,,,,,,,,,,,,,
,90,42.834,3.3,0.132,33,14.915,,,,,,,,,,,,,,,,,,,,
,91,42.966,3.5,0.066,35,14.915,,,,,,,,,,,,,,,,,,,,
,92,43.032,4.5,0.099,45,6.72,,,,,,,,,,,,,,,,,,,,
,93,43.131,4.6,0.198,46,7.4575,,,,,,,,,,,,,,,,,,,,
,94,43.329,5.3,0.198,53,23.35994769,,,,,,,,,,,,,,,,,,,,
,95,43.527,0,0.231,0,,,,,,,,,,,,,,,,,,,,,
,96,43.758,4.6,0.429,46,,,,,,,,,,,,,,,,,,,,,
,97,44.187,3.5,0.132,35,10.03856097,,,,,,,,,,,,,,,,,,,,
,98,44.319,4.6,0.528,46,10.03856097,,,,,,,,,,,,,,,,,,,,
,99,44.847,4.7,0.132,47,7.4575,,,,,,,,,,,,,,,,,,,,
,100,44.979,3.7,0.297,37,6.72,,,,,,,,,,,,,,,,,,,,
,101,45.276,4.7,0.693,47,6.72,,,,,,,,,,,,,,,,,,,,
,102,45.969,5.5,0.528,55,16.35896161,,,,,,,,,,,,,,,,,,,,
,103,46.497,2.4,0.462,24,21.49511354,,,,,,,,,,,,,,,,,,,,
,104,46.959,3.4,0.462,34,6.72,,,,,,,,,,,,,,,,,,,,
,105,47.421,3.3,1.551,33,7.4575,,,,,,,,,,,,,,,,,,,,
,106,48.972,2.3,3.366,23,6.72,,,,,,,,,,,,,,,,,,,,
,107,52.338,2.4,0.198,24,7.4575,,,,,,,,,,,,,,,,,,,,
,108,52.536,1.5,0.726,15,10.03856097,,,,,,,,,,,,,,,,,,,,
,109,53.262,2.5,0.528,25,6.72,,,,,,,,,,,,,,,,,,,,
,110,53.79,4.5,0.066,45,13.44,,,,,,,,,,,,,,,,,,,,
,111,53.856,3.5,0.099,35,6.72,,,,,,,,,,,,,,,,,,,,
,112,53.955,5.5,0.132,55,13.44,,,,,,,,,,,,,,,,,,,,
,113,54.087,5.6,0.528,56,7.4575,,,,,,,,,,,,,,,,,,,,
,114,54.615,3.3,0.99,33,26.09908727,,,,,,,,,,,,,,,,,,,,
,115,55.605,2.3,0.132,23,6.72,,,,,,,,,,,,,,,,,,,,
,116,55.737,2.4,0.264,24,7.4575,,,,,,,,,,,,,,,,,,,,
,117,56.001,3.3,0.033,33,10.03856097,,,,,,,,,,,,,,,,,,,,
,118,56.034,3.3,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,54.945,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.37,最大移動距離,37.89,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.46,平均移動距離,11.38,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,6.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,1,,,,,,,,,,,,,,,,,,,,
,観察時間,54.945,秒,,9.9の秒数,0.462,,,,,,,,,,,,,,,,,,,,
,観察割合,1.004,,,0のカウント数,3,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0.594,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,1.056,,原本再生に占める9.9の割合,,0.008,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.019,,観察時間に占める9.9の割合,,0.008,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.019,,原本再生に占める0の割合,,0.011,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.011,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,53.889,,,,,,,,,,,,,,,,,,,,,
,,,,OK,53.889,,,,,,,,,,,,,,,,,,,,,
,,,,,53.889,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
