,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.947,4.5,0.66,45,,55.374,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.607,3.5,0.099,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.706,3.4,0.66,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,73,73,83.90804598,,
,4,3.366,3.3,0.66,33,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,82,9,10.34482759,,
,5,4.026,2.3,0.66,23,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,87,5,5.747126437,,
,6,4.686,1.3,0.66,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,87,0,0,,
,7,5.346,2.3,0.462,23,6.72,,,,,,,,,,,,,6,20,24,87,0,0,,
,8,5.808,3.4,0.099,34,10.03856097,,,目視時間の分布（秒）,,49.5,,,,,,,,7,24,28,87,0,0,,
,9,5.907,4.4,0.099,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,87,0,0,,
,10,6.006,4.5,0.858,45,7.4575,,,5,0,0,0,0.132,3.861,0.363,0,0,,9,32,36,87,0,0,,
,11,6.864,4.4,0.066,44,7.4575,,,4,0,0,0,1.848,7.161,0.099,0,0,,10,36,40,87,0,0,,
,12,6.93,3.4,0.066,34,6.72,,,3,0,0,4.95,10.593,1.023,0.099,0.165,0,,11,40,44,87,0,0,,
,13,6.996,2.4,0.132,24,6.72,,,2,0,0,4.488,8.448,0.594,0,0.726,0,,12,44,48,87,0,0,,
