,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.65,1.5,0.132,15,,54.907,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.782,3.5,0.33,35,13.44,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.112,4.5,0.462,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,48,48,81.3559322,,
,4,2.574,3.4,0.231,34,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,53,5,8.474576271,,
,5,2.805,2.4,0.891,24,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,57,4,6.779661017,,
,6,3.696,4.4,0.165,44,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,58,1,1.694915254,,
,7,3.861,0,0.099,0,,,,,,,,,,,,,,6,20,24,59,1,1.694915254,,
,8,3.96,5.5,0.33,55,,,,目視時間の分布（秒）,,54.61,,,,,,,,7,24,28,59,0,0,,
,9,4.29,4.5,0.099,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,59,0,0,,
,10,4.389,3.4,0.033,34,10.03856097,,,5,0,0,0,0,0.33,0,0,0,,9,32,36,59,0,0,,
,11,4.422,2.4,0.495,24,6.72,,,4,0,0,0,0.165,0.561,0.858,0,0,,10,36,40,59,0,0,,
,12,4.917,2.3,1.419,23,7.4575,,,3,0,0,0.132,1.452,0.858,0.462,0.495,0,,11,40,44,59,0,0,,
,13,6.336,1.3,3.531,13,6.72,,,2,0,0,18.48,5.412,0.066,0.099,1.485,0,,12,44,48,59,0,0,,
,14,9.867,2.3,1.485,23,6.72,,,1,0,0,23.458,0.165,0.132,0,0,0,,13,48,52,59,0,0,,
,15,11.352,1.3,1.881,13,6.72,,,,,,,,,,,,,14,52,56,59,0,0,,
,16,13.233,2.3,1.023,23,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,59,0,0,,
,17,14.256,1.3,0.594,13,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,59,0,0,,
,18,14.85,2.3,0.231,23,6.72,,,5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,,17,64,68,59,0,0,,
,19,15.081,2.4,1.287,24,7.4575,,,4,0.0,0.0,0.0,0.3,1.0,1.6,0.0,0.0,,18,68,72,59,0,0,,
,20,16.368,2.3,0.429,23,7.4575,,,3,0.0,0.0,0.2,2.7,1.6,0.8,0.9,0.0,,19,72,76,59,0,0,,
,21,16.797,1.3,0.495,13,6.72,,,2,0.0,0.0,33.8,9.9,0.1,0.2,2.7,0.0,,20,76,80,59,0,0,,
,22,17.292,2.3,0.627,23,6.72,,,1,0.0,0.0,43.0,0.3,0.2,0.0,0.0,0.0,,,,,,,100,,
,23,17.919,1.3,0.264,13,6.72,,,,,,,,,,,,,,,,,,,,
,24,18.183,2.3,1.32,23,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,19.503,2.4,0.858,24,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,20.361,2.3,1.32,23,7.4575,,,5,18,18,18,18,11,18,18,18,,,,,,,,,
,27,21.681,2.4,0.165,24,7.4575,,,4,18,18,18,12,8,6,18,18,,,,,,,,,
,28,21.846,3.4,0.297,34,6.72,,,3,18,18,15,5,7,10,9,18,,,,,,,,,
,29,22.143,2.4,0.033,24,6.72,,,2,18,18,2,3,17,16,4,18,,,,,,,,,
,30,22.176,2.3,4.983,23,7.4575,,,1,18,18,1,13,14,18,18,18,,,,,,,,,
