,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.574,4.5,1.452,45,,54.747,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,4.026,3.4,0.363,34,10.03856097,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,4.389,2.4,0.858,24,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,21,21,42.85714286,,
,4,5.247,1.3,0.33,13,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,35,14,28.57142857,,
,5,5.577,4.5,0.396,45,25.07753626,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,38,3,6.12244898,,
,6,5.973,5.5,0.759,55,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,40,2,4.081632653,,
,7,6.732,2.3,0.462,23,25.07753626,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,46,6,12.24489796,,
,8,7.194,2.4,0.561,24,7.4575,,,,,,,,,,,,,7,24,28,48,2,4.081632653,,
,9,7.755,1.3,0.066,13,10.03856097,,,目視時間の分布（秒）,,54.549,,,,,,,,8,28,32,48,0,0,,
,10,7.821,1.4,0.396,14,7.4575,,,,1,2,3,4,5,6,7,8,,9,32,36,48,0,0,,
,11,8.217,2.4,1.287,24,6.72,,,5,0,0,0,0,1.485,0.462,0,0,,10,36,40,48,0,0,,
,12,9.504,1.6,0.33,16,16.35896161,,,4,0,0,0,0,2.211,1.122,0,0,,11,40,44,49,1,2.040816327,,
,13,9.834,1.3,3.828,13,22.3725,,,3,0,0,2.64,3.465,0.198,3.366,0,0,,12,44,48,49,0,0,,
,14,13.662,2.4,2.97,24,10.03856097,,,2,0,0,4.086,22.803,0.399,1.224,1.485,0,,13,48,52,49,0,0,,
,15,16.632,9.9,0.198,99,,,,1,0,0.759,5.082,1.749,1.419,0.594,0,0,,14,52,56,49,0,0,,
,16,16.83,1.3,0.627,13,,,,,,,,,,,,,,15,56,60,49,0,0,,
,17,17.457,2.4,0.627,24,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,49,0,0,,
,18,18.084,2.5,0.162,25,7.4575,,,,1,2,3,4,5,6,7,8,,17,64,68,49,0,0,,
,19,18.246,2.6,0.498,26,7.4575,,,5,0.0,0.0,0.0,0.0,2.7,0.8,0.0,0.0,,18,68,72,49,0,0,,
,20,18.744,2.7,0.429,27,7.4575,,,4,0.0,0.0,0.0,0.0,4.1,2.1,0.0,0.0,,19,72,76,49,0,0,,
,21,19.173,1.6,0.264,16,10.03856097,,,3,0.0,0.0,4.8,6.4,0.4,6.2,0.0,0.0,,20,76,80,49,0,0,,
,22,19.437,2.7,1.056,27,10.03856097,,,2,0.0,0.0,7.5,41.8,0.7,2.2,2.7,0.0,,,,,,,100,,
,23,20.493,1.4,1.221,14,23.35994769,,,1,0.0,1.4,9.3,3.2,2.6,1.1,0.0,0.0,,,,,,,,,
,24,21.714,1.3,0.231,13,7.4575,,,,,,,,,,,,,,,,,,,,
,25,21.945,1.4,0.132,14,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,22.077,2.4,1.32,24,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,23.397,3.5,0.198,35,10.03856097,,,5,19,19,19,19,9,16,19,19,,,,,,,,,
,28,23.595,2.4,5.379,24,10.03856097,,,4,19,19,19,19,7,13,19,19,,,,,,,,,
,29,28.974,2.3,0.522,23,7.4575,,,3,19,19,6,4,18,5,19,19,,,,,,,,,
,30,29.496,2.5,0.237,25,14.915,,,2,19,19,3,1,17,12,10,19,,,,,,,,,
,31,29.733,3.4,1.023,34,10.03856097,,,1,19,14,2,8,11,15,19,19,,,,,,,,,
,32,30.756,2.4,2.904,24,6.72,,,,,,,,,,,,,,,,,,,,
,33,33.66,1.5,1.419,15,10.03856097,,,,,,,,,,,,,,,,,,,,
,34,35.079,1.2,0.759,12,22.3725,,,目視個所Ｔｏｐ　No.1,2.4,1,,5.1,19,,,,,,,,,,,,
,35,35.838,5.6,0.462,56,40.15424386,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,19,,,,,,,,,,,,
,36,36.3,3.4,0.231,34,20.07712193,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,19,,,,,,,,,,,,
,37,36.531,2.4,0.66,24,6.72,,,目視個所Ｔｏｐ　No.4,3.4,4,,2.1,19,,,,,,,,,,,,
,38,37.191,2.6,0.726,26,14.915,,,目視個所Ｔｏｐ　No.5,3.6,5,,1.1,19,,,,,,,,,,,,
,39,37.917,2.4,5.115,24,14.915,,,目視個所（累積ではない）,18,,,5.2,19,,,,,,,,,,,,
,40,43.032,3.6,1.188,36,16.35896161,,,非目視個所,22,,,4.2,19,,,,,,,,,,,,
,41,44.22,4.6,1.122,46,6.72,,,合計,40,,,3.2,19,,,,,,,,,,,,
,42,45.342,3.6,2.178,36,6.72,,,,,,,2.2,19,,,,,,,,,,,,
,43,47.52,4.5,0.363,45,10.03856097,,,,,,,1.2,14,,,,,,,,,,,,
,44,47.883,3.4,1.155,34,10.03856097,,,,,,,5.3,19,,,,,,,,,,,,
,45,49.038,3.3,0.66,33,7.4575,,,,,,,4.3,19,,,,,1,2,3,4,5,6,7,8
,46,49.698,2.3,1.188,23,6.72,,,,,,,3.3,6,,,,5,19,19,19,19,9,16,19,19
,47,50.886,2.4,1.122,24,7.4575,,,,,,,2.3,3,,,,4,19,19,19,19,7,13,19,19
,48,52.008,5.5,0.726,55,21.49511354,,,,,,,1.3,2,,,,3,19,19,6,4,18,5,19,19
,49,52.734,3.3,1.452,33,20.07712193,,,,,,,5.4,19,,,,2,19,19,3,1,17,12,10,19
,50,54.186,3.4,0.693,34,7.4575,,,,,,,4.4,19,,,,1,19,14,2,8,11,15,19,19
,51,54.879,2.3,1.914,23,10.03856097,,,,,,,3.4,4,,,,,,,,,,,,
,52,56.793,3.3,0.528,33,6.72,,,,,,,2.4,1,,,,,,,,,,,,
,53,57.321,3.3,,,,,,,,,,1.4,8,,,,,,,,,,,,
,観測時間［s］,54.747,,,,,,,,,,,5.5,9,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,4.5,7,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.38,最大移動距離,40.15,,,,,,,3.5,18,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.12,平均移動距離,11.99,,,,,,,2.5,17,,,,,,,,,,,,
,,,,,距離標準偏差,6.88,,,,,,,1.5,11,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,16,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,1,,,,,,,4.6,13,,,,,,,,,,,,
,観察時間,54.747,秒,,9.9の秒数,0.198,,,,,,,3.6,5,,,,,,,,,,,,
,観察割合,1.001,,,0のカウント数,0,,,,,,,2.6,12,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,1.6,15,,,,,,,,,,,,
,総ロスト時間［秒］,0.198,,原本再生に占める9.9の割合,,0.004,,,,,,,5.7,19,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.004,,観察時間に占める9.9の割合,,0.004,,,,,,,4.7,19,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.004,,原本再生に占める0の割合,,0.000,,,,,,,3.7,19,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,2.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,19,,,,,,,,,,,,
,,,,チェックデジット,54.549,,,,,,,,5.8,19,,,,,,,,,,,,
,,,,OK,54.549,,,,,,,,4.8,19,,,,,,,,,,,,
,,,,,54.549,,,,,,,,3.8,19,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,19,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,19,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
