,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.914,9.9,5.973,,,37.653,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,7.887,1.3,0.099,13,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.986,0,0.825,0,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,11,11,64.70588235,,
,4,8.811,1.3,0.528,13,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,13,2,11.76470588,,
,5,9.339,4.5,0.759,45,25.07753626,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,15,2,11.76470588,,
,6,10.098,2.6,0.957,26,15.37035804,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,15,0,0,,
,7,11.055,9.9,15.741,99,,,,,,,,,,,,,,6,20,24,16,1,5.882352941,,
,8,26.796,2.2,0.825,22,,,,目視時間の分布（秒）,,12.375,,,,,,,,7,24,28,17,1,5.882352941,,
,9,27.621,9.9,0.429,99,,,,,1,2,3,4,5,6,7,8,,8,28,32,17,0,0,,
,10,28.05,1.3,0.396,13,,,,5,0,0,0,0,0,0,0,0,,9,32,36,17,0,0,,
,11,28.446,9.9,0.66,99,,,,4,0,0,0,0,0.759,0,0,0,,10,36,40,17,0,0,,
,12,29.106,2.3,0.363,23,,,,3,0,0,0,0,0,0,0,0,,11,40,44,17,0,0,,
,13,29.469,1.6,0.792,16,23.35994769,,,2,0,0.825,0.759,1.815,0,1.782,0.429,0,,12,44,48,17,0,0,,
,14,30.261,2.7,0.429,27,10.03856097,,,1,0,0.495,2.343,1.518,0.165,1.485,0,0,,13,48,52,17,0,0,,
,15,30.69,2.6,0.825,26,7.4575,,,,,,,,,,,,,14,52,56,17,0,0,,
