,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.825,2.4,0.429,24,,54.731,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.254,3.5,0.396,35,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.65,3.6,0.066,36,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,45,45,78.94736842,,
,4,1.716,4.6,0.363,46,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,52,7,12.28070175,,
,5,2.079,3.4,0.099,34,16.35896161,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,55,3,5.263157895,,
,6,2.178,2.4,0.264,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,57,2,3.50877193,,
,7,2.442,2.3,0.693,23,7.4575,,,,,,,,,,,,,6,20,24,57,0,0,,
,8,3.135,2.4,0.726,24,7.4575,,,目視時間の分布（秒）,,54.731,,,,,,,,7,24,28,57,0,0,,
,9,3.861,2.5,0.231,25,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,57,0,0,,
,10,4.092,1.6,0.165,16,10.03856097,,,5,0,0,0,0,0.66,0,0,0,,9,32,36,57,0,0,,
,11,4.257,2.5,0.066,25,10.03856097,,,4,0,0,0,0.132,0.66,0.396,0,0,,10,36,40,57,0,0,,
,12,4.323,2.4,1.914,24,7.4575,,,3,0,0,0.033,0.594,0.528,0.231,0.198,0,,11,40,44,57,0,0,,
,13,6.237,2.2,0.264,22,14.915,,,2,0,2.244,20.114,10.197,3.663,0,0.726,0,,12,44,48,57,0,0,,
,14,6.501,1.2,0.132,12,6.72,,,1,0,0.231,6.765,0.033,0.264,5.907,1.155,0,,13,48,52,57,0,0,,
,15,6.633,2.2,0.099,22,6.72,,,,,,,,,,,,,14,52,56,57,0,0,,
,16,6.732,2.3,0.066,23,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,57,0,0,,
,17,6.798,3.4,0.231,34,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,57,0,0,,
,18,7.029,4.5,0.363,45,10.03856097,,,5,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,,17,64,68,57,0,0,,
,19,7.392,4.6,0.033,46,7.4575,,,4,0.0,0.0,0.0,0.2,1.2,0.7,0.0,0.0,,18,68,72,57,0,0,,
,20,7.425,3.6,0.132,36,6.72,,,3,0.0,0.0,0.1,1.1,1.0,0.4,0.4,0.0,,19,72,76,57,0,0,,
,21,7.557,3.7,0.198,37,7.4575,,,2,0.0,4.1,36.8,18.6,6.7,0.0,1.3,0.0,,20,76,80,57,0,0,,
,22,7.755,2.7,0.726,27,6.72,,,1,0.0,0.4,12.4,0.1,0.5,10.8,2.1,0.0,,,,,,,100,,
,23,8.481,1.7,1.155,17,6.72,,,,,,,,,,,,,,,,,,,,
,24,9.636,1.6,0.264,16,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,9.9,3.6,0.033,36,13.44,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,9.933,3.5,0.132,35,7.4575,,,5,21,21,21,21,10,21,21,21,,,,,,,,,
,27,10.065,4.5,0.198,45,6.72,,,4,21,21,21,18,9,13,21,21,,,,,,,,,
,28,10.263,5.5,0.66,55,6.72,,,3,21,21,19,11,12,15,17,21,,,,,,,,,
,29,10.923,4.5,0.099,45,6.72,,,2,21,6,1,2,5,21,8,21,,,,,,,,,
,30,11.022,4.4,0.132,44,7.4575,,,1,21,16,3,19,14,4,7,21,,,,,,,,,
,31,11.154,3.4,0.264,34,6.72,,,,,,,,,,,,,,,,,,,,
,32,11.418,2.4,0.33,24,6.72,,,,,,,,,,,,,,,,,,,,
,33,11.748,2.3,0.132,23,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,21,,,,,,,,,,,,
,34,11.88,1.3,1.485,13,6.72,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,21,,,,,,,,,,,,
,35,13.365,2.3,3.531,23,6.72,,,目視個所Ｔｏｐ　No.3,1.3,3,,3.1,21,,,,,,,,,,,,
,36,16.896,1.3,0.099,13,6.72,,,目視個所Ｔｏｐ　No.4,1.6,4,,2.1,21,,,,,,,,,,,,
,37,16.995,2.2,1.881,22,10.03856097,,,目視個所Ｔｏｐ　No.5,2.5,5,,1.1,21,,,,,,,,,,,,
,38,18.876,1.2,0.099,12,6.72,,,目視個所（累積ではない）,20,,,5.2,21,,,,,,,,,,,,
,39,18.975,1.3,0.198,13,7.4575,,,非目視個所,20,,,4.2,21,,,,,,,,,,,,
,40,19.173,2.3,3.762,23,6.72,,,合計,40,,,3.2,21,,,,,,,,,,,,
,41,22.935,1.3,2.178,13,6.72,,,,,,,2.2,6,,,,,,,,,,,,
,42,25.113,1.4,0.033,14,7.4575,,,,,,,1.2,16,,,,,,,,,,,,
,43,25.146,1.5,0.264,15,7.4575,,,,,,,5.3,21,,,,,,,,,,,,
,44,25.41,1.6,5.478,16,7.4575,,,,,,,4.3,21,,,,,1,2,3,4,5,6,7,8
,45,30.888,2.4,4.752,24,16.35896161,,,,,,,3.3,19,,,,5,21,21,21,21,10,21,21,21
,46,35.64,2.3,1.848,23,7.4575,,,,,,,2.3,1,,,,4,21,21,21,18,9,13,21,21
,47,37.488,1.3,1.749,13,6.72,,,,,,,1.3,3,,,,3,21,21,19,11,12,15,17,21
,48,39.237,2.3,1.815,23,6.72,,,,,,,5.4,21,,,,2,21,6,1,2,5,21,8,21
,49,41.052,2.4,1.089,24,7.4575,,,,,,,4.4,18,,,,1,21,16,3,19,14,4,7,21
,50,42.141,2.5,3.366,25,7.4575,,,,,,,3.4,11,,,,,,,,,,,,
,51,45.507,2.3,4.191,23,14.915,,,,,,,2.4,2,,,,,,,,,,,,
,52,49.698,1.3,0.33,13,6.72,,,,,,,1.4,19,,,,,,,,,,,,
,53,50.028,2.3,0.693,23,6.72,,,,,,,5.5,10,,,,,,,,,,,,
,54,50.721,2.4,0.693,24,7.4575,,,,,,,4.5,9,,,,,,,,,,,,
,55,51.414,3.3,0.033,33,10.03856097,,,,,,,3.5,12,,,,,,,,,,,,
,56,51.447,2.3,0.297,23,6.72,,,,,,,2.5,5,,,,,,,,,,,,
,57,51.744,1.3,0.726,13,6.72,,,,,,,1.5,14,,,,,,,,,,,,
,58,52.47,2.3,3.086,23,6.72,,,,,,,5.6,21,,,,,,,,,,,,
,59,55.556,2.3,,,,,,,,,,4.6,13,,,,,,,,,,,,
,観測時間［秒］,54.731,,,,,,,,,,,3.6,15,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,2.6,21,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.48,最大移動距離,16.36,,,,,,,1.6,4,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.30,平均移動距離,8.13,,,,,,,5.7,21,,,,,,,,,,,,
,,,,,距離標準偏差,2.44,,,,,,,4.7,21,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,17,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,0,,,,,,,2.7,8,,,,,,,,,,,,
,観察時間,54.731,秒,,9.9の秒数,0,,,,,,,1.7,7,,,,,,,,,,,,
,観察割合,1.000,,,0のカウント数,0,,,,,,,5.8,21,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,4.8,21,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,3.8,21,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,2.8,21,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,1.8,21,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,54.731,,,,,,,,,,,,,,,,,,,,,
,,,,OK,54.731,,,,,,,,,,,,,,,,,,,,,
,,,,,54.731,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
