,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.881,1.4,0.264,14,,54.417,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.145,1.3,0.033,13,7.4575,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,2.178,1.2,0.165,12,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,91,91,82.72727273,,
,4,2.343,1.1,0.066,11,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,106,15,13.63636364,,
,5,2.409,1.2,0.066,12,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,109,3,2.727272727,,
,6,2.475,1.3,0.099,13,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,109,0,0,,
,7,2.574,2.4,1.089,24,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,110,1,0.909090909,,
,8,3.663,2.3,0.363,23,7.4575,,,,,,,,,,,,,7,24,28,110,0,0,,
,9,4.026,2.4,0.165,24,7.4575,,,目視時間の分布（秒）,,54.417,,,,,,,,8,28,32,110,0,0,,
,10,4.191,3.4,0.099,34,6.72,,,,1,2,3,4,5,6,7,8,,9,32,36,110,0,0,,
,11,4.29,4.5,0.165,45,10.03856097,,,5,0,0,0,0,1.617,0,0,0,,10,36,40,110,0,0,,
,12,4.455,3.4,0.099,34,10.03856097,,,4,0,0,0,0.33,3.663,3.729,2.31,0,,11,40,44,110,0,0,,
,13,4.554,2.4,0.099,24,6.72,,,3,0,0,1.287,3.366,2.079,1.089,0,0,,12,44,48,110,0,0,,
,14,4.653,1.3,5.841,13,10.03856097,,,2,0.528,0.264,11.682,4.884,2.409,0.627,0.231,0,,13,48,52,110,0,0,,
,15,10.494,2.3,0.561,23,6.72,,,1,0.066,0.528,10.494,1.089,0.297,0.363,1.485,0,,14,52,56,110,0,0,,
,16,11.055,2.4,0.099,24,7.4575,,,,,,,,,,,,,15,56,60,110,0,0,,
,17,11.154,2.5,0.528,25,7.4575,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,110,0,0,,
,18,11.682,3.5,0.297,35,6.72,,,,1,2,3,4,5,6,7,8,,17,64,68,110,0,0,,
,19,11.979,2.5,0.462,25,6.72,,,5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,18,68,72,110,0,0,,
,20,12.441,1.5,0.198,15,6.72,,,4,0.0,0.0,0.0,0.6,6.7,6.9,4.2,0.0,,19,72,76,110,0,0,,
,21,12.639,1.4,0.561,14,7.4575,,,3,0.0,0.0,2.4,6.2,3.8,2.0,0.0,0.0,,20,76,80,110,0,0,,
,22,13.2,1.3,1.023,13,7.4575,,,2,1.0,0.5,21.5,9.0,4.4,1.2,0.4,0.0,,,,,,,100,,
,23,14.223,2.4,0.33,24,10.03856097,,,1,0.1,1.0,19.3,2.0,0.5,0.7,2.7,0.0,,,,,,,,,
,24,14.553,2.5,0.462,25,7.4575,,,,,,,,,,,,,,,,,,,,
,25,15.015,2.3,0.066,23,14.915,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,15.081,3.3,0.759,33,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,15.84,4.4,0.066,44,10.03856097,,,5,24,24,24,24,10,24,24,24,,,,,,,,,
,28,15.906,4.5,0.099,45,7.4575,,,4,24,24,24,19,5,4,8,24,,,,,,,,,
,29,16.005,5.5,1.32,55,6.72,,,3,24,24,12,6,9,13,24,24,,,,,,,,,
,30,17.325,4.5,0.066,45,6.72,,,2,16,21,1,3,7,15,22,24,,,,,,,,,
,31,17.391,4.6,0.099,46,7.4575,,,1,23,17,2,14,20,18,11,24,,,,,,,,,
,32,17.49,3.6,0.231,36,6.72,,,,,,,,,,,,,,,,,,,,
,33,17.721,2.6,0.132,26,6.72,,,,,,,,,,,,,,,,,,,,
,34,17.853,2.7,0.231,27,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,24,,,,,,,,,,,,
,35,18.084,1.7,0.759,17,6.72,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,24,,,,,,,,,,,,
,36,18.843,1.5,0.033,15,14.915,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,24,,,,,,,,,,,,
,37,18.876,1.4,0.264,14,7.4575,,,目視個所Ｔｏｐ　No.4,4.6,4,,2.1,16,,,,,,,,,,,,
,38,19.14,1.3,0.858,13,7.4575,,,目視個所Ｔｏｐ　No.5,4.5,5,,1.1,23,,,,,,,,,,,,
,39,19.998,1.2,0.297,12,7.4575,,,目視個所（累積ではない）,23,,,5.2,24,,,,,,,,,,,,
,40,20.295,2.2,0.099,22,6.72,,,非目視個所,17,,,4.2,24,,,,,,,,,,,,
,41,20.394,2.1,0.528,21,7.4575,,,合計,40,,,3.2,24,,,,,,,,,,,,
,42,20.922,2.2,0.165,22,7.4575,,,,,,,2.2,21,,,,,,,,,,,,
,43,21.087,2.3,0.726,23,7.4575,,,,,,,1.2,17,,,,,,,,,,,,
,44,21.813,3.4,0.198,34,10.03856097,,,,,,,5.3,24,,,,,,,,,,,,
,45,22.011,3.5,0.132,35,7.4575,,,,,,,4.3,24,,,,,1,2,3,4,5,6,7,8
,46,22.143,3.6,0.858,36,7.4575,,,,,,,3.3,12,,,,5,24,24,24,24,10,24,24,24
,47,23.001,3.5,0.099,35,7.4575,,,,,,,2.3,1,,,,4,24,24,24,19,5,4,8,24
,48,23.1,3.4,0.099,34,7.4575,,,,,,,1.3,2,,,,3,24,24,12,6,9,13,24,24
,49,23.199,2.4,0.297,24,6.72,,,,,,,5.4,24,,,,2,16,21,1,3,7,15,22,24
,50,23.496,3.4,1.32,34,6.72,,,,,,,4.4,19,,,,1,23,17,2,14,20,18,11,24
,51,24.816,3.5,0.528,35,7.4575,,,,,,,3.4,6,,,,,,,,,,,,
,52,25.344,3.4,0.264,34,7.4575,,,,,,,2.4,3,,,,,,,,,,,,
,53,25.608,2.4,1.089,24,6.72,,,,,,,1.4,14,,,,,,,,,,,,
,54,26.697,2.3,0.231,23,7.4575,,,,,,,5.5,10,,,,,,,,,,,,
,55,26.928,1.3,0.792,13,6.72,,,,,,,4.5,5,,,,,,,,,,,,
,56,27.72,2.4,0.396,24,10.03856097,,,,,,,3.5,9,,,,,,,,,,,,
,57,28.116,4.4,0.033,44,13.44,,,,,,,2.5,7,,,,,,,,,,,,
,58,28.149,4.5,1.023,45,7.4575,,,,,,,1.5,20,,,,,,,,,,,,
,59,29.172,3.5,0.198,35,6.72,,,,,,,5.6,24,,,,,,,,,,,,
,60,29.37,2.6,0.363,26,10.03856097,,,,,,,4.6,4,,,,,,,,,,,,
,61,29.733,3.5,0.231,35,10.03856097,,,,,,,3.6,13,,,,,,,,,,,,
,62,29.964,4.5,0.297,45,6.72,,,,,,,2.6,15,,,,,,,,,,,,
,63,30.261,4.6,0.759,46,7.4575,,,,,,,1.6,18,,,,,,,,,,,,
,64,31.02,4.5,1.221,45,7.4575,,,,,,,5.7,24,,,,,,,,,,,,
,65,32.241,4.6,0.264,46,7.4575,,,,,,,4.7,8,,,,,,,,,,,,
,66,32.505,4.5,0.099,45,7.4575,,,,,,,3.7,24,,,,,,,,,,,,
,67,32.604,3.4,0.066,34,10.03856097,,,,,,,2.7,22,,,,,,,,,,,,
,68,32.67,2.4,0.165,24,6.72,,,,,,,1.7,11,,,,,,,,,,,,
,69,32.835,2.3,0.627,23,7.4575,,,,,,,5.8,24,,,,,,,,,,,,
,70,33.462,2.4,0.066,24,7.4575,,,,,,,4.8,24,,,,,,,,,,,,
,71,33.528,1.5,0.066,15,10.03856097,,,,,,,3.8,24,,,,,,,,,,,,
,72,33.594,1.6,0.132,16,7.4575,,,,,,,2.8,24,,,,,,,,,,,,
,73,33.726,1.7,0.726,17,7.4575,,,,,,,1.8,24,,,,,,,,,,,,
,74,34.452,1.6,0.231,16,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,75,34.683,1.3,1.023,13,22.3725,,,,,,,,,,,,,,,,,,,,
,76,35.706,2.3,2.904,23,6.72,,,,,,,,,,,,,,,,,,,,
,77,38.61,3.3,0.462,33,6.72,,,,,,,,,,,,,,,,,,,,
,78,39.072,2.3,1.419,23,6.72,,,,,,,,,,,,,,,,,,,,
,79,40.491,1.3,0.231,13,6.72,,,,,,,,,,,,,,,,,,,,
,80,40.722,2.3,0.033,23,6.72,,,,,,,,,,,,,,,,,,,,
,81,40.755,2.4,0.099,24,7.4575,,,,,,,,,,,,,,,,,,,,
,82,40.854,2.5,0.231,25,7.4575,,,,,,,,,,,,,,,,,,,,
,83,41.085,3.5,0.396,35,6.72,,,,,,,,,,,,,,,,,,,,
,84,41.481,4.5,0.132,45,6.72,,,,,,,,,,,,,,,,,,,,
,85,41.613,4.6,2.541,46,7.4575,,,,,,,,,,,,,,,,,,,,
,86,44.154,4.7,2.31,47,7.4575,,,,,,,,,,,,,,,,,,,,
,87,46.464,4.6,0.066,46,7.4575,,,,,,,,,,,,,,,,,,,,
,88,46.53,4.5,0.528,45,7.4575,,,,,,,,,,,,,,,,,,,,
,89,47.058,3.5,0.198,35,6.72,,,,,,,,,,,,,,,,,,,,
,90,47.256,3.4,1.056,34,7.4575,,,,,,,,,,,,,,,,,,,,
,91,48.312,2.3,1.518,23,10.03856097,,,,,,,,,,,,,,,,,,,,
,92,49.83,3.3,0.066,33,6.72,,,,,,,,,,,,,,,,,,,,
,93,49.896,4.4,0.198,44,10.03856097,,,,,,,,,,,,,,,,,,,,
,94,50.094,5.5,0.297,55,10.03856097,,,,,,,,,,,,,,,,,,,,
,95,50.391,4.5,0.033,45,6.72,,,,,,,,,,,,,,,,,,,,
,96,50.424,4.4,0.033,44,7.4575,,,,,,,,,,,,,,,,,,,,
,97,50.457,3.4,0.165,34,6.72,,,,,,,,,,,,,,,,,,,,
,98,50.622,2.4,0.33,24,6.72,,,,,,,,,,,,,,,,,,,,
,99,50.952,2.3,1.221,23,7.4575,,,,,,,,,,,,,,,,,,,,
,100,52.173,1.3,0.594,13,6.72,,,,,,,,,,,,,,,,,,,,
,101,52.767,2.3,0.33,23,6.72,,,,,,,,,,,,,,,,,,,,
,102,53.097,2.4,0.033,24,7.4575,,,,,,,,,,,,,,,,,,,,
,103,53.13,2.5,0.33,25,7.4575,,,,,,,,,,,,,,,,,,,,
,104,53.46,2.4,0.099,24,7.4575,,,,,,,,,,,,,,,,,,,,
,105,53.559,2.3,1.683,23,7.4575,,,,,,,,,,,,,,,,,,,,
,106,55.242,2.4,0.297,24,7.4575,,,,,,,,,,,,,,,,,,,,
,107,55.539,2.5,0.33,25,7.4575,,,,,,,,,,,,,,,,,,,,
,108,55.869,2.6,0.132,26,7.4575,,,,,,,,,,,,,,,,,,,,
,109,56.001,2.5,0.066,25,7.4575,,,,,,,,,,,,,,,,,,,,
,110,56.067,2.4,0.231,24,7.4575,,,,,,,,,,,,,,,,,,,,
,111,56.298,2.3,0.825,23,7.4575,,,,,,,,,,,,,,,,,,,,
,112,57.123,2.4,0.264,24,7.4575,,,,,,,,,,,,,,,,,,,,
,113,57.387,1.4,0.171,14,6.72,,,,,,,,,,,,,,,,,,,,
,114,57.558,1.4,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,54.417,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.84,最大移動距離,22.37,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.73,平均移動距離,7.91,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,2.06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,0,,,,,,,,,,,,,,,,,,,,
,観察時間,54.417,秒,,9.9の秒数,0,,,,,,,,,,,,,,,,,,,,
,観察割合,0.994,,,0のカウント数,0,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,54.417,,,,,,,,,,,,,,,,,,,,,
,,,,OK,54.417,,,,,,,,,,,,,,,,,,,,,
,,,,,54.417,,,,,,,,,,,,,,,,,,,,,
