,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.924,3.6,0.429,36,,55.209,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.353,3.5,0.627,35,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.98,3.4,0.462,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,113,113,84.96240602,,
,4,2.442,3.3,0.165,33,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,127,14,10.52631579,,
,5,2.607,2.3,0.792,23,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,133,6,4.511278195,,
,6,3.399,2.2,0.495,22,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,133,0,0,,
,7,3.894,1.2,0.231,12,6.72,,,,,,,,,,,,,6,20,24,133,0,0,,
,8,4.125,2.3,1.155,23,10.03856097,,,目視時間の分布（秒）,,55.209,,,,,,,,7,24,28,133,0,0,,
,9,5.28,2.4,0.297,24,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,133,0,0,,
,10,5.577,3.4,0.198,34,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,133,0,0,,
,11,5.775,4.5,0.891,45,10.03856097,,,4,0,0,0.957,0.066,0.891,0,0,0,,10,36,40,133,0,0,,
,12,6.666,3.4,0.165,34,10.03856097,,,3,0,0.396,6.633,2.112,0.99,1.419,0,0,,11,40,44,133,0,0,,
,13,6.831,2.3,0.33,23,10.03856097,,,2,0,6.006,20.361,7.821,1.914,2.739,1.122,0,,12,44,48,133,0,0,,
,14,7.161,2.2,0.297,22,7.4575,,,1,0,1.023,0.759,0,0,0,0,0,,13,48,52,133,0,0,,
,15,7.458,1.2,0.363,12,6.72,,,,,,,,,,,,,14,52,56,133,0,0,,
,16,7.821,2.2,0.561,22,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,133,0,0,,
,17,8.382,2.3,0.033,23,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,133,0,0,,
,18,8.415,2.4,0.363,24,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,133,0,0,,
,19,8.778,2.3,2.112,23,7.4575,,,4,0.0,0.0,1.7,0.1,1.6,0.0,0.0,0.0,,18,68,72,133,0,0,,
,20,10.89,2.4,0.396,24,7.4575,,,3,0.0,0.7,12.0,3.8,1.8,2.6,0.0,0.0,,19,72,76,133,0,0,,
,21,11.286,2.3,1.947,23,7.4575,,,2,0.0,10.9,36.9,14.2,3.5,5.0,2.0,0.0,,20,76,80,133,0,0,,
,22,13.233,1.2,0.132,12,10.03856097,,,1,0.0,1.9,1.4,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,13.365,2.2,0.231,22,6.72,,,,,,,,,,,,,,,,,,,,
,24,13.596,2.3,0.726,23,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,14.322,1.3,0.363,13,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,14.685,2.3,0.198,23,6.72,,,5,17,17,17,17,17,17,17,17,,,,,,,,,
,27,14.883,2.4,0.759,24,7.4575,,,4,17,17,12,16,13,17,17,17,,,,,,,,,
,28,15.642,2.5,0.231,25,7.4575,,,3,17,15,3,6,11,8,17,17,,,,,,,,,
,29,15.873,2.6,0.297,26,7.4575,,,2,17,4,1,2,7,5,9,17,,,,,,,,,
,30,16.17,2.5,0.363,25,7.4575,,,1,17,10,14,17,17,17,17,17,,,,,,,,,
,31,16.533,2.6,0.858,26,7.4575,,,,,,,,,,,,,,,,,,,,
,32,17.391,2.5,0.099,25,7.4575,,,,,,,,,,,,,,,,,,,,
,33,17.49,2.3,0.165,23,14.915,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,17,,,,,,,,,,,,
,34,17.655,2.2,0.858,22,7.4575,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,17,,,,,,,,,,,,
,35,18.513,2.3,1.881,23,7.4575,,,目視個所Ｔｏｐ　No.3,3.3,3,,3.1,17,,,,,,,,,,,,
,36,20.394,2.4,0.495,24,7.4575,,,目視個所Ｔｏｐ　No.4,2.2,4,,2.1,17,,,,,,,,,,,,
,37,20.889,3.3,0.132,33,10.03856097,,,目視個所Ｔｏｐ　No.5,2.6,5,,1.1,17,,,,,,,,,,,,
,38,21.021,2.3,0.561,23,6.72,,,目視個所（累積ではない）,16,,,5.2,17,,,,,,,,,,,,
,39,21.582,2.2,0.132,22,7.4575,,,非目視個所,24,,,4.2,17,,,,,,,,,,,,
,40,21.714,1.2,0.033,12,6.72,,,合計,40,,,3.2,15,,,,,,,,,,,,
,41,21.747,2.2,0.165,22,6.72,,,,,,,2.2,4,,,,,,,,,,,,
,42,21.912,2.3,0.759,23,7.4575,,,,,,,1.2,10,,,,,,,,,,,,
,43,22.671,3.3,0.396,33,6.72,,,,,,,5.3,17,,,,,,,,,,,,
,44,23.067,2.4,0.066,24,10.03856097,,,,,,,4.3,12,,,,,1,2,3,4,5,6,7,8
,45,23.133,2.5,0.099,25,7.4575,,,,,,,3.3,3,,,,5,17,17,17,17,17,17,17,17
,46,23.232,2.4,0.066,24,7.4575,,,,,,,2.3,1,,,,4,17,17,12,16,13,17,17,17
,47,23.298,2.3,0.132,23,7.4575,,,,,,,1.3,14,,,,3,17,15,3,6,11,8,17,17
