,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.475,9.9,0.297,,,54.813,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.772,3.5,0.198,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.97,4.5,0.297,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,32,32,48.48484848,,
,4,3.267,3.5,0.165,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,46,14,21.21212121,,
,5,3.432,3.4,1.056,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,53,7,10.60606061,,
,6,4.488,2.4,0.297,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,54,1,1.515151515,,
,7,4.785,2.3,1.32,23,7.4575,,,,,,,,,,,,,6,20,24,63,9,13.63636364,,
,8,6.105,4.5,0.165,45,20.07712193,,,目視時間の分布（秒）,,53.724,,,,,,,,7,24,28,65,2,3.03030303,,
,9,6.27,5.5,1.32,55,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,66,1,1.515151515,,
,10,7.59,2.4,0.957,24,21.49511354,,,5,0,0,0,0,5.082,0.99,0,0,,9,32,36,66,0,0,,
,11,8.547,1.5,0.198,15,10.03856097,,,4,0,0,0,0.792,1.188,0.891,0.264,0,,10,36,40,66,0,0,,
,12,8.745,1.6,0.462,16,7.4575,,,3,0,0,4.851,7.491,1.65,0.627,2.178,0,,11,40,44,66,0,0,,
,13,9.207,2.5,1.419,25,10.03856097,,,2,0.594,0.957,12.309,3.894,1.848,0.627,3.465,0,,12,44,48,66,0,0,,
,14,10.626,3.4,0.858,34,10.03856097,,,1,0,0,0,1.254,0.726,1.419,0.132,0.495,,13,48,52,66,0,0,,
,15,11.484,2.5,0.099,25,10.03856097,,,,,,,,,,,,,14,52,56,66,0,0,,
,16,11.583,2.3,0.66,23,14.915,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,66,0,0,,
,17,12.243,1.5,0.198,15,16.35896161,,,,1,2,3,4,5,6,7,8,,16,60,64,66,0,0,,
,18,12.441,1.6,0.297,16,7.4575,,,5,0.0,0.0,0.0,0.0,9.5,1.8,0.0,0.0,,17,64,68,66,0,0,,
,19,12.738,1.7,0.132,17,7.4575,,,4,0.0,0.0,0.0,1.5,2.2,1.7,0.5,0.0,,18,68,72,66,0,0,,
,20,12.87,2.7,0.792,27,6.72,,,3,0.0,0.0,9.0,13.9,3.1,1.2,4.1,0.0,,19,72,76,66,0,0,,
,21,13.662,4.4,0.627,44,26.09908727,,,2,1.1,1.8,22.9,7.2,3.4,1.2,6.4,0.0,,20,76,80,66,0,0,,
,22,14.289,3.4,0.297,34,6.72,,,1,0.0,0.0,0.0,2.3,1.4,2.6,0.2,0.9,,,,,,,100,,
,23,14.586,2.3,1.353,23,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,15.939,1.4,0.759,14,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,16.698,2.4,0.264,24,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,16.962,3.4,1.749,34,6.72,,,5,24,24,24,24,3,13,24,24,,,,,,,,,
,27,18.711,3.5,0.462,35,7.4575,,,4,24,24,24,16,12,15,22,24,,,,,,,,,
,28,19.173,5.5,2.178,55,13.44,,,3,24,24,4,2,9,19,7,24,,,,,,,,,
,29,21.351,2.6,0.33,26,21.49511354,,,2,20,14,1,5,8,18,6,24,,,,,,,,,
,30,21.681,2.7,0.924,27,7.4575,,,1,24,24,24,11,17,10,23,21,,,,,,,,,
,31,22.605,3.7,1.32,37,6.72,,,,,,,,,,,,,,,,,,,,
,32,23.925,2.4,1.089,24,23.35994769,,,,,,,,,,,,,,,,,,,,
,33,25.014,2.3,0.99,23,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,24,,,,,,,,,,,,
,34,26.004,2.2,0.297,22,7.4575,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,24,,,,,,,,,,,,
,35,26.301,2.3,1.122,23,7.4575,,,目視個所Ｔｏｐ　No.3,5.5,3,,3.1,24,,,,,,,,,,,,
,36,27.423,2.1,0.594,21,14.915,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,20,,,,,,,,,,,,
,37,28.017,2.2,0.66,22,7.4575,,,目視個所Ｔｏｐ　No.5,2.4,5,,1.1,24,,,,,,,,,,,,
,38,28.677,1.5,0.33,15,23.35994769,,,目視個所（累積ではない）,23,,,5.2,24,,,,,,,,,,,,
,39,29.007,1.6,0.66,16,7.4575,,,非目視個所,17,,,4.2,24,,,,,,,,,,,,
,40,29.667,3.5,0.363,35,15.37035804,,,合計,40,,,3.2,24,,,,,,,,,,,,
,41,30.03,3.4,0.66,34,7.4575,,,,,,,2.2,14,,,,,,,,,,,,
,42,30.69,5.5,0.726,55,15.37035804,,,,,,,1.2,24,,,,,,,,,,,,
,43,31.416,5.6,0.363,56,7.4575,,,,,,,5.3,24,,,,,,,,,,,,
,44,31.779,4.7,0.264,47,10.03856097,,,,,,,4.3,24,,,,,1,2,3,4,5,6,7,8
,45,32.043,3.7,0.495,37,6.72,,,,,,,3.3,4,,,,5,24,24,24,24,3,13,24,24
,46,32.538,2.7,1.551,27,6.72,,,,,,,2.3,1,,,,4,24,24,24,16,12,15,22,24
,47,34.089,2.4,0.924,24,22.3725,,,,,,,1.3,24,,,,3,24,24,4,2,9,19,7,24
,48,35.013,3.4,1.782,34,6.72,,,,,,,5.4,24,,,,2,20,14,1,5,8,18,6,24
,49,36.795,2.3,4.389,23,10.03856097,,,,,,,4.4,16,,,,1,24,24,24,11,17,10,23,21
,50,41.184,2.5,0.33,25,14.915,,,,,,,3.4,2,,,,,,,,,,,,
,51,41.514,2.6,0.297,26,7.4575,,,,,,,2.4,5,,,,,,,,,,,,
,52,41.811,0,0.792,0,,,,,,,,1.4,11,,,,,,,,,,,,
,53,42.603,5.6,0.627,56,,,,,,,,5.5,3,,,,,,,,,,,,
,54,43.23,3.7,0.363,37,15.37035804,,,,,,,4.5,12,,,,,,,,,,,,
,55,43.593,4.6,0.891,46,10.03856097,,,,,,,3.5,9,,,,,,,,,,,,
,56,44.484,3.6,0.627,36,6.72,,,,,,,2.5,8,,,,,,,,,,,,
,57,45.111,2.7,0.198,27,10.03856097,,,,,,,1.5,17,,,,,,,,,,,,
,58,45.309,2.4,0.363,24,22.3725,,,,,,,5.6,13,,,,,,,,,,,,
,59,45.672,3.5,0.462,35,10.03856097,,,,,,,4.6,15,,,,,,,,,,,,
,60,46.134,1.8,0.495,18,26.09908727,,,,,,,3.6,19,,,,,,,,,,,,
,61,46.629,1.4,0.495,14,29.83,,,,,,,2.6,18,,,,,,,,,,,,
,62,47.124,4.5,0.726,45,21.49511354,,,,,,,1.6,10,,,,,,,,,,,,
,63,47.85,3.4,1.089,34,10.03856097,,,,,,,5.7,24,,,,,,,,,,,,
,64,48.939,3.3,1.584,33,7.4575,,,,,,,4.7,22,,,,,,,,,,,,
,65,50.523,2.3,0.99,23,6.72,,,,,,,3.7,7,,,,,,,,,,,,
,66,51.513,3.3,2.277,33,6.72,,,,,,,2.7,6,,,,,,,,,,,,
,67,53.79,5.5,0.858,55,20.07712193,,,,,,,1.7,23,,,,,,,,,,,,
,68,54.648,4.4,0.165,44,10.03856097,,,,,,,5.8,24,,,,,,,,,,,,
,69,54.813,3.3,0.99,33,10.03856097,,,,,,,4.8,24,,,,,,,,,,,,
,70,55.803,2.3,1.485,23,6.72,,,,,,,3.8,24,,,,,,,,,,,,
,71,57.288,2.3,,,,,,,,,,2.8,24,,,,,,,,,,,,
,観測時間［s］,54.813,,,,,,,,,,,1.8,21,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,総計,40,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.39,最大移動距離,29.83,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.66,平均移動距離,11.61,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,6.14,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,1,,,,,,,,,,,,,,,,,,,,
,観察時間,54.813,秒,,9.9の秒数,0.297,,,,,,,,,,,,,,,,,,,,
