,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.046,9.9,1.683,,,28.347,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.729,2.3,0.792,23,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.521,3.2,0.495,32,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,15,15,36.58536585,,
,4,5.016,3.5,0.297,35,22.3725,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,19,4,9.756097561,,
,5,5.313,4.4,0.528,44,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,30,11,26.82926829,,
,6,5.841,5.7,0.561,57,23.35994769,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,33,3,7.317073171,,
,7,6.402,0,0.231,0,,,,,,,,,,,,,,6,20,24,41,8,19.51219512,,
,8,6.633,4.6,0.495,46,,,,目視時間の分布（秒）,,25.905,,,,,,,,7,24,28,41,0,0,,
,9,7.128,0,0.528,0,,,,,1,2,3,4,5,6,7,8,,8,28,32,41,0,0,,
,10,7.656,4.8,1.353,48,,,,5,0,0,0.33,1.452,0.198,0,0.561,0,,9,32,36,41,0,0,,
,11,9.009,3.8,0.264,38,6.72,,,4,0,0.528,0,0.693,0.396,2.343,0,1.947,,10,36,40,41,0,0,,
,12,9.273,4.8,0.594,48,6.72,,,3,0,1.023,1.584,3.267,2.442,1.815,0,0.264,,11,40,44,41,0,0,,
,13,9.867,2.8,0.561,28,13.44,,,2,0,0,3.3,0.132,0,0,0,0.561,,12,44,48,41,0,0,,
,14,10.428,3.5,0.594,35,23.35994769,,,1,0,1.056,1.089,0,0,0.165,0.759,0,,13,48,52,41,0,0,,
