,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.354,9.9,0.264,,,28.512,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,5.618,3.3,0.33,33,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,5.948,3.5,0.66,35,14.915,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,16,16,28.57142857,,
,4,6.608,2.6,0.627,26,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,11,19.64285714,,
,5,7.235,2.3,0.099,23,22.3725,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,35,8,14.28571429,,
,6,7.334,1.3,0.231,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,4,7.142857143,,
,7,7.565,2.4,0.462,24,10.03856097,,,,,,,,,,,,,6,20,24,46,7,12.5,,
,8,8.027,2.7,0.924,27,22.3725,,,目視時間の分布（秒）,,28.248,,,,,,,,7,24,28,46,0,0,,
,9,8.951,3.6,0.198,36,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,52,6,10.71428571,,
,10,9.149,3.5,0.363,35,7.4575,,,5,0.33,1.749,0.792,0.891,0.066,0.858,0.231,0.858,,9,32,36,53,1,1.785714286,,
,11,9.512,4.5,0.198,45,6.72,,,4,0,0.924,0.5,0,0.198,0.495,0,0.792,,10,36,40,56,3,5.357142857,,
,12,9.71,3.4,0.33,34,10.03856097,,,3,0,2.277,4.483,2.079,1.023,0.198,0.891,0.363,,11,40,44,56,0,0,,
,13,10.04,4.3,0.33,43,10.03856097,,,2,0,0,0.891,0.561,0.363,2.805,1.749,0,,12,44,48,56,0,0,,
