,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.31,9.9,0.594,,,28.182,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.904,3.3,0.198,33,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.102,3.4,0.264,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,19,19,40.42553191,,
,4,3.366,3.5,0.528,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,24,5,10.63829787,,
,5,3.894,2.3,0.592,23,16.35896161,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,31,7,14.89361702,,
,6,4.486,3.2,0.959,32,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,34,3,6.382978723,,
,7,5.445,3.7,0.561,37,37.2875,,,,,,,,,,,,,6,20,24,39,5,10.63829787,,
,8,6.006,3.3,0.594,33,29.83,,,目視時間の分布（秒）,,27.423,,,,,,,,7,24,28,40,1,2.127659574,,
,9,6.6,3.2,0.429,32,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,44,4,8.510638298,,
,10,7.029,3.4,1.155,34,14.915,,,5,0,0,0,0,0,0,0,0,,9,32,36,44,0,0,,
,11,8.184,3.2,0.693,32,14.915,,,4,0.231,0,0.726,0,0,0.297,0.693,1.089,,10,36,40,46,2,4.255319149,,
,12,8.877,4.3,0.726,43,10.03856097,,,3,1.155,3.071,0.891,3.201,2.64,0.495,0.858,0,,11,40,44,47,1,2.127659574,,
,13,9.603,4.1,0.231,41,14.915,,,2,0,0.957,1.516,1.617,0.561,0,0.495,0,,12,44,48,47,0,0,,
,14,9.834,3.1,0.627,31,6.72,,,1,0,3.201,2.706,0,0,0,0.396,0.627,,13,48,52,47,0,0,,
