,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.244,3.5,0.594,35,,28.446,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.838,2.4,0.132,24,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.97,1.4,0.264,14,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,13,13,27.08333333,,
,4,4.234,3.5,0.726,35,15.37035804,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,14,29.16666667,,
,5,4.96,2.4,0.231,24,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,5,10.41666667,,
,6,5.191,4.5,0.033,45,15.37035804,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,35,3,6.25,,
,7,5.224,4.6,0.396,46,7.4575,,,,,,,,,,,,,6,20,24,41,6,12.5,,
,8,5.62,5.3,0.33,53,23.35994769,,,目視時間の分布（秒）,,28.446,,,,,,,,7,24,28,43,2,4.166666667,,
,9,5.95,3.2,0.528,32,15.37035804,,,,1,2,3,4,5,6,7,8,,8,28,32,47,4,8.333333333,,
,10,6.478,2.6,0.429,26,30.57756203,,,5,0.363,0,0.924,0,0,0,0.957,0,,9,32,36,48,1,2.083333333,,
,11,6.907,3.4,0.198,34,16.35896161,,,4,0,0.858,4.224,0.198,0.033,0.396,0,0.561,,10,36,40,48,0,0,,
,12,7.105,4.3,0.66,43,10.03856097,,,3,0,0.528,0.924,8.91,2.079,0,0.297,0.462,,11,40,44,48,0,0,,
,13,7.765,4.2,0.396,42,7.4575,,,2,0,0,2.772,0.726,0,0.429,0,0.495,,12,44,48,48,0,0,,
