,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.442,9.9,0.594,,,28.281,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.036,0,0.891,0,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.927,3.3,0.429,33,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,11,11,28.94736842,,
,4,4.356,3.4,0.231,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,17,6,15.78947368,,
,5,4.587,2.3,0.528,23,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,23,6,15.78947368,,
,6,5.115,1.3,2.343,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,27,4,10.52631579,,
,7,7.458,2.4,0.858,24,10.03856097,,,,,,,,,,,,,6,20,24,29,2,5.263157895,,
,8,8.316,3.8,0.429,38,30.57756203,,,目視時間の分布（秒）,,25.443,,,,,,,,7,24,28,30,1,2.631578947,,
,9,8.745,4.8,0.462,48,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,32,2,5.263157895,,
,10,9.207,3.7,0.099,37,10.03856097,,,5,0,0,0,0,0,0,0,0,,9,32,36,34,2,5.263157895,,
,11,9.306,1.3,0.165,13,32.71792322,,,4,0.264,0,0.627,0,0,0,0,0.462,,10,36,40,38,4,10.52631579,,
,12,9.471,1.2,0.396,12,7.4575,,,3,0,0.495,2.64,1.188,0,0,0.099,0.429,,11,40,44,38,0,0,,
,13,9.867,3.2,0.495,32,13.44,,,2,1.023,0,0.99,2.706,0.858,1.155,0.66,0,,12,44,48,38,0,0,,
,14,10.362,2.1,1.023,21,10.03856097,,,1,0,4.059,3.399,0.561,0,0.462,1.716,1.65,,13,48,52,38,0,0,,
