,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.168,9.9,0.594,,,25.575,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.762,4.4,0.033,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.795,3.5,0.363,35,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,13,13,30.95238095,,
,4,4.158,3.3,0.825,33,14.915,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,21,8,19.04761905,,
,5,4.983,4.2,0.363,42,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,11,26.19047619,,
,6,5.346,4.6,0.429,46,29.83,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,34,2,4.761904762,,
,7,5.775,4.4,0.528,44,14.915,,,,,,,,,,,,,6,20,24,37,3,7.142857143,,
,8,6.303,3.4,0.396,34,6.72,,,目視時間の分布（秒）,,24.981,,,,,,,,7,24,28,39,2,4.761904762,,
,9,6.699,4.6,1.056,46,16.35896161,,,,1,2,3,4,5,6,7,8,,8,28,32,42,3,7.142857143,,
,10,7.755,2.3,0.462,23,26.09908727,,,5,0,0,0.429,0,0,0,0,0,,9,32,36,42,0,0,,
,11,8.217,3.2,0.396,32,10.03856097,,,4,0,0.363,0.231,0.561,1.089,1.485,0,0,,10,36,40,42,0,0,,
,12,8.613,2.1,0.33,21,10.03856097,,,3,0,3.3,1.551,0.396,1.188,0.363,0,0,,11,40,44,42,0,0,,
,13,8.943,2.3,0.462,23,14.915,,,2,0.33,0.726,4.884,0.231,0.132,0.66,0,0,,12,44,48,42,0,0,,
,14,9.405,2.5,0.132,25,14.915,,,1,0,3.399,3.663,0,0,0,0,0,,13,48,52,42,0,0,,
